,name,time,field,value
0,Anglogold - Tropicana,2024-01-09 00:00:00,SigWaveHgt,0.0
0,Anglogold - Tropicana,2024-01-09 00:00:00,T,29.7999992371
0,Anglogold - Tropicana,2024-01-09 00:00:00,Wind_Dir,36.2000007629
0,Anglogold - Tropicana,2024-01-09 00:00:00,Wind_Mag,11.1000003815
0,Anglogold - Tropicana,2024-01-09 01:00:00,T,32.2000007629
0,Anglogold - Tropicana,2024-01-09 01:00:00,Wind_Dir,33.5999984741
0,Anglogold - Tropicana,2024-01-09 01:00:00,Wind_Mag,9.80000019073
0,Anglogold - Tropicana,2024-01-09 02:00:00,T,34.2999992371
0,Anglogold - Tropicana,2024-01-09 02:00:00,Wind_Dir,39.9000015259
0,Anglogold - Tropicana,2024-01-09 02:00:00,Wind_Mag,8.60000038147
0,Anglogold - Tropicana,2024-01-09 03:00:00,SigWaveHgt,0.0
0,Anglogold - Tropicana,2024-01-09 03:00:00,T,36.5999984741
0,Anglogold - Tropicana,2024-01-09 03:00:00,Wind_Dir,48.2999992371
0,Anglogold - Tropicana,2024-01-09 03:00:00,Wind_Mag,7.90000009537
0,Anglogold - Tropicana,2024-01-09 04:00:00,T,37.9000015259
0,Anglogold - Tropicana,2024-01-09 04:00:00,Wind_Dir,60.7000007629
0,Anglogold - Tropicana,2024-01-09 04:00:00,Wind_Mag,6.69999980927
0,Anglogold - Tropicana,2024-01-09 05:00:00,T,38.7999992371
0,Anglogold - Tropicana,2024-01-09 05:00:00,Wind_Dir,79.4000015259
0,Anglogold - Tropicana,2024-01-09 05:00:00,Wind_Mag,5.59999990463
0,Anglogold - Tropicana,2024-01-09 06:00:00,SigWaveHgt,0.0
0,Anglogold - Tropicana,2024-01-09 06:00:00,T,39.4000015259
0,Anglogold - Tropicana,2024-01-09 06:00:00,Wind_Dir,129.699996948
0,Anglogold - Tropicana,2024-01-09 06:00:00,Wind_Mag,2.5
0,Anglogold - Tropicana,2024-01-09 07:00:00,T,39.5
0,Anglogold - Tropicana,2024-01-09 07:00:00,Wind_Dir,122.199996948
0,Anglogold - Tropicana,2024-01-09 07:00:00,Wind_Mag,3.09999990463
0,Anglogold - Tropicana,2024-01-09 08:00:00,T,39.5
0,Anglogold - Tropicana,2024-01-09 08:00:00,Wind_Dir,109.300003052
0,Anglogold - Tropicana,2024-01-09 08:00:00,Wind_Mag,3.09999990463
0,Anglogold - Tropicana,2024-01-09 09:00:00,SigWaveHgt,0.0
0,Anglogold - Tropicana,2024-01-09 09:00:00,T,39.0999984741
0,Anglogold - Tropicana,2024-01-09 09:00:00,Wind_Dir,102.199996948
0,Anglogold - Tropicana,2024-01-09 09:00:00,Wind_Mag,3.79999995232
0,Anglogold - Tropicana,2024-01-09 10:00:00,T,38.0
0,Anglogold - Tropicana,2024-01-09 10:00:00,Wind_Dir,100.599998474
0,Anglogold - Tropicana,2024-01-09 10:00:00,Wind_Mag,4.30000019073
0,Anglogold - Tropicana,2024-01-09 11:00:00,T,36.2999992371
0,Anglogold - Tropicana,2024-01-09 11:00:00,Wind_Dir,98.6999969482
0,Anglogold - Tropicana,2024-01-09 11:00:00,Wind_Mag,5.40000009537
0,Anglogold - Tropicana,2024-01-09 12:00:00,SigWaveHgt,0.0
0,Anglogold - Tropicana,2024-01-09 12:00:00,T,34.9000015259
0,Anglogold - Tropicana,2024-01-09 12:00:00,Wind_Dir,89.4000015259
0,Anglogold - Tropicana,2024-01-09 12:00:00,Wind_Mag,7.19999980927
0,Anglogold - Tropicana,2024-01-09 13:00:00,T,33.9000015259
0,Anglogold - Tropicana,2024-01-09 13:00:00,Wind_Dir,80.4000015259
0,Anglogold - Tropicana,2024-01-09 13:00:00,Wind_Mag,9.80000019073
