,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s]
0,000,  2024-04-28 12:00,  2024-04-28 20:00,131,17,1.88,96,7,1.84,96,7,0.42,72,9
1,001,  2024-04-28 13:00,  2024-04-28 21:00,129,17,1.78,96,7,1.74,96,7,0.42,72,9
2,002,  2024-04-28 14:00,  2024-04-28 22:00,126,17,1.73,96,7,1.69,96,7,0.42,72,9
3,003,  2024-04-28 15:00,  2024-04-28 23:00,124,17,1.7,96,7,1.67,96,7,0.41,72,9
4,004,  2024-04-28 16:00,  2024-04-29 00:00,125,17,1.68,96,7,1.64,96,7,0.41,72,9
5,005,  2024-04-28 17:00,  2024-04-29 01:00,125,17,1.66,96,7,1.62,96,7,0.4,72,9
6,006,  2024-04-28 18:00,  2024-04-29 02:00,122,18,1.66,96,7,1.62,96,7,0.4,72,9
7,007,  2024-04-28 19:00,  2024-04-29 03:00,121,19,1.67,96,7,1.63,96,6,0.4,72,9
8,008,  2024-04-28 20:00,  2024-04-29 04:00,123,19,1.67,96,6,1.64,96,6,0.39,72,9
9,009,  2024-04-28 21:00,  2024-04-29 05:00,124,18,1.68,84,6,1.65,96,6,0.39,72,9
10,010,  2024-04-28 22:00,  2024-04-29 06:00,127,18,1.69,84,6,1.66,96,6,0.4,72,9
11,011,  2024-04-28 23:00,  2024-04-29 07:00,127,19,1.71,84,6,1.68,96,6,0.4,72,9
12,012,  2024-04-29 00:00,  2024-04-29 08:00,122,20,1.75,96,6,1.72,96,6,0.41,72,9
13,013,  2024-04-29 01:00,  2024-04-29 09:00,119,20,1.79,96,6,1.76,96,6,0.41,72,9
14,014,  2024-04-29 02:00,  2024-04-29 10:00,118,21,1.82,84,6,1.78,96,6,0.42,72,9
15,015,  2024-04-29 03:00,  2024-04-29 11:00,116,21,1.85,96,6,1.81,96,6,0.43,72,9
16,016,  2024-04-29 04:00,  2024-04-29 12:00,114,21,1.87,84,7,1.84,96,6,0.43,72,9
17,017,  2024-04-29 05:00,  2024-04-29 13:00,112,21,1.88,84,7,1.85,96,6,0.44,72,9
18,018,  2024-04-29 06:00,  2024-04-29 14:00,114,21,1.87,84,7,1.83,84,7,0.45,72,9
19,019,  2024-04-29 07:00,  2024-04-29 15:00,116,21,1.85,84,7,1.81,84,7,0.46,72,9
20,020,  2024-04-29 08:00,  2024-04-29 16:00,119,21,1.84,84,7,1.8,84,7,0.47,72,9
21,021,  2024-04-29 09:00,  2024-04-29 17:00,120,20,1.82,84,7,1.78,84,7,0.47,72,9
22,022,  2024-04-29 10:00,  2024-04-29 18:00,121,19,1.79,84,7,1.74,84,7,0.48,72,9
23,023,  2024-04-29 11:00,  2024-04-29 19:00,121,19,1.76,84,7,1.71,84,7,0.49,72,9
24,024,  2024-04-29 12:00,  2024-04-29 20:00,119,19,1.76,84,7,1.71,84,7,0.49,72,9
25,025,  2024-04-29 13:00,  2024-04-29 21:00,118,19,1.76,84,7,1.71,84,7,0.49,72,9
26,026,  2024-04-29 14:00,  2024-04-29 22:00,119,19,1.75,84,7,1.7,84,7,0.49,72,9
27,027,  2024-04-29 15:00,  2024-04-29 23:00,121,18,1.72,84,7,1.67,84,7,0.49,72,9
28,028,  2024-04-29 16:00,  2024-04-30 00:00,126,17,1.67,84,7,1.62,84,7,0.49,72,9
29,029,  2024-04-29 17:00,  2024-04-30 01:00,133,16,1.63,84,7,1.58,84,7,0.49,72,9
30,030,  2024-04-29 18:00,  2024-04-30 02:00,138,15,1.59,84,7,1.53,84,7,0.48,72,9
31,031,  2024-04-29 19:00,  2024-04-30 03:00,142,15,1.55,84,7,1.5,84,8,0.48,72,9
32,032,  2024-04-29 20:00,  2024-04-30 04:00,144,15,1.53,84,7,1.47,84,8,0.48,72,9
33,033,  2024-04-29 21:00,  2024-04-30 05:00,144,15,1.51,84,7,1.45,84,8,0.47,72,9
34,034,  2024-04-29 22:00,  2024-04-30 06:00,143,16,1.49,84,7,1.44,84,8,0.47,72,9
35,035,  2024-04-29 23:00,  2024-04-30 07:00,139,16,1.48,84,7,1.43,84,8,0.46,72,9
36,036,  2024-04-30 00:00,  2024-04-30 08:00,134,15,1.45,84,8,1.4,84,8,0.46,72,9
37,037,  2024-04-30 01:00,  2024-04-30 09:00,128,16,1.42,84,8,1.37,84,8,0.45,72,9
38,038,  2024-04-30 02:00,  2024-04-30 10:00,120,15,1.4,84,8,1.35,84,8,0.44,72,9
39,039,  2024-04-30 03:00,  2024-04-30 11:00,116,16,1.38,84,8,1.34,84,8,0.44,72,9
40,040,  2024-04-30 04:00,  2024-04-30 12:00,113,16,1.37,84,8,1.32,84,8,0.43,72,9
41,041,  2024-04-30 05:00,  2024-04-30 13:00,114,15,1.36,84,8,1.31,84,8,0.42,72,9
42,042,  2024-04-30 06:00,  2024-04-30 14:00,118,16,1.35,84,8,1.3,84,8,0.42,72,9
43,043,  2024-04-30 07:00,  2024-04-30 15:00,119,17,1.36,84,8,1.31,84,8,0.41,72,9
44,044,  2024-04-30 08:00,  2024-04-30 16:00,120,17,1.39,84,8,1.35,84,8,0.4,72,9
45,045,  2024-04-30 09:00,  2024-04-30 17:00,120,17,1.43,84,8,1.39,84,8,0.4,72,9
46,046,  2024-04-30 10:00,  2024-04-30 18:00,127,17,1.46,84,7,1.42,84,8,0.39,72,9
47,047,  2024-04-30 11:00,  2024-04-30 19:00,133,17,1.46,84,7,1.42,84,8,0.39,72,9
48,048,  2024-04-30 12:00,  2024-04-30 20:00,135,17,1.45,84,7,1.41,84,7,0.38,72,9
49,049,  2024-04-30 13:00,  2024-04-30 21:00,136,16,1.43,84,6,1.4,84,6,0.38,72,9
50,050,  2024-04-30 14:00,  2024-04-30 22:00,137,16,1.42,84,7,1.38,84,7,0.38,72,9
51,051,  2024-04-30 15:00,  2024-04-30 23:00,139,17,1.41,84,7,1.38,84,7,0.37,72,9
52,052,  2024-04-30 16:00,  2024-05-01 00:00,141,16,1.4,84,7,1.36,84,7,0.37,72,9
53,053,  2024-04-30 17:00,  2024-05-01 01:00,138,16,1.39,84,7,1.35,84,7,0.37,72,9
54,054,  2024-04-30 18:00,  2024-05-01 02:00,137,17,1.39,84,7,1.35,84,7,0.38,72,9
55,055,  2024-04-30 19:00,  2024-05-01 03:00,137,17,1.4,84,7,1.36,84,7,0.38,72,9
56,056,  2024-04-30 20:00,  2024-05-01 04:00,132,17,1.42,84,7,1.38,84,7,0.39,72,9
57,057,  2024-04-30 21:00,  2024-05-01 05:00,128,17,1.46,84,7,1.42,84,7,0.39,72,9
58,058,  2024-04-30 22:00,  2024-05-01 06:00,125,17,1.51,84,7,1.47,84,7,0.4,72,9
59,059,  2024-04-30 23:00,  2024-05-01 07:00,124,19,1.57,84,7,1.53,84,7,0.41,72,9
60,060,  2024-05-01 00:00,  2024-05-01 08:00,116,20,1.64,84,7,1.6,84,7,0.42,72,9
61,061,  2024-05-01 01:00,  2024-05-01 09:00,111,20,1.71,84,7,1.67,84,7,0.44,72,9
62,062,  2024-05-01 02:00,  2024-05-01 10:00,112,21,1.78,84,7,1.73,84,7,0.46,72,9
63,063,  2024-05-01 03:00,  2024-05-01 11:00,111,21,1.82,84,7,1.78,84,7,0.49,72,9
64,064,  2024-05-01 04:00,  2024-05-01 12:00,112,22,1.88,84,7,1.83,84,7,0.52,72,9
65,065,  2024-05-01 05:00,  2024-05-01 13:00,114,22,1.94,84,7,1.89,84,7,0.55,72,9
66,066,  2024-05-01 06:00,  2024-05-01 14:00,114,22,2.0,84,7,1.95,84,7,0.58,72,9
67,067,  2024-05-01 07:00,  2024-05-01 15:00,116,22,2.06,84,7,2.0,84,7,0.6,72,9
68,068,  2024-05-01 08:00,  2024-05-01 16:00,119,23,2.12,84,7,2.06,84,7,0.63,72,9
69,069,  2024-05-01 09:00,  2024-05-01 17:00,123,23,2.18,84,7,2.12,84,7,0.65,72,9
70,070,  2024-05-01 10:00,  2024-05-01 18:00,124,22,2.2,84,7,2.13,84,7,0.67,72,9
71,071,  2024-05-01 11:00,  2024-05-01 19:00,123,22,2.21,84,7,2.14,84,7,0.68,72,9
72,072,  2024-05-01 12:00,  2024-05-01 20:00,120,22,2.23,84,7,2.16,84,7,0.7,72,9
73,073,  2024-05-01 13:00,  2024-05-01 21:00,119,22,2.25,84,7,2.17,84,8,0.71,72,9
74,074,  2024-05-01 14:00,  2024-05-01 22:00,122,22,2.26,84,7,2.19,84,8,0.73,72,9
75,075,  2024-05-01 15:00,  2024-05-01 23:00,123,22,2.29,84,7,2.21,84,8,0.74,72,9
76,076,  2024-05-01 16:00,  2024-05-02 00:00,124,21,2.29,84,8,2.21,84,8,0.76,72,9
77,077,  2024-05-01 17:00,  2024-05-02 01:00,124,20,2.25,84,8,2.17,84,8,0.77,72,9
78,078,  2024-05-01 18:00,  2024-05-02 02:00,125,20,2.22,84,8,2.13,84,8,0.77,72,9
79,079,  2024-05-01 19:00,  2024-05-02 03:00,127,19,2.19,84,8,2.1,84,8,0.77,72,9
80,080,  2024-05-01 20:00,  2024-05-02 04:00,129,19,2.15,84,8,2.05,84,8,0.76,72,9
81,081,  2024-05-01 21:00,  2024-05-02 05:00,134,18,2.09,84,8,2.0,84,8,0.75,72,9
82,082,  2024-05-01 22:00,  2024-05-02 06:00,137,18,2.03,84,8,1.94,84,8,0.74,72,9
83,083,  2024-05-01 23:00,  2024-05-02 07:00,136,19,1.99,84,8,1.89,84,8,0.73,72,9
84,084,  2024-05-02 00:00,  2024-05-02 08:00,133,19,1.96,84,8,1.87,84,8,0.73,72,9
85,085,  2024-05-02 01:00,  2024-05-02 09:00,130,19,1.95,84,8,1.85,84,8,0.72,72,9
86,086,  2024-05-02 02:00,  2024-05-02 10:00,126,19,1.93,84,8,1.83,84,8,0.72,72,9
87,087,  2024-05-02 03:00,  2024-05-02 11:00,124,19,1.93,84,8,1.83,84,9,0.72,72,9
88,088,  2024-05-02 04:00,  2024-05-02 12:00,121,20,1.93,84,8,1.83,84,9,0.72,72,9
89,089,  2024-05-02 05:00,  2024-05-02 13:00,122,20,1.93,84,8,1.83,84,9,0.73,60,9
90,090,  2024-05-02 06:00,  2024-05-02 14:00,121,20,1.93,84,8,1.83,84,9,0.73,60,9
91,091,  2024-05-02 07:00,  2024-05-02 15:00,124,21,1.94,84,8,1.83,84,9,0.73,60,9
92,092,  2024-05-02 08:00,  2024-05-02 16:00,128,21,1.95,84,8,1.85,84,9,0.74,60,9
93,093,  2024-05-02 09:00,  2024-05-02 17:00,132,20,1.96,84,8,1.86,84,9,0.74,60,9
94,094,  2024-05-02 10:00,  2024-05-02 18:00,132,20,1.97,84,8,1.87,84,9,0.74,60,9
95,095,  2024-05-02 11:00,  2024-05-02 19:00,134,20,2.0,84,8,1.9,84,9,0.74,60,9
96,096,  2024-05-02 12:00,  2024-05-02 20:00,136,20,2.02,84,8,1.93,84,8,0.74,60,9
97,097,  2024-05-02 13:00,  2024-05-02 21:00,140,19,2.0,84,8,1.91,84,8,0.73,60,9
98,098,  2024-05-02 14:00,  2024-05-02 22:00,141,18,1.95,84,8,1.85,84,8,0.72,60,9
99,099,  2024-05-02 15:00,  2024-05-02 23:00,142,18,1.88,84,8,1.78,84,8,0.71,60,9
100,100,  2024-05-02 16:00,  2024-05-03 00:00,144,17,1.8,84,8,1.71,84,9,0.69,60,9
101,101,  2024-05-02 17:00,  2024-05-03 01:00,148,16,1.72,84,8,1.62,84,9,0.68,60,9
102,102,  2024-05-02 18:00,  2024-05-03 02:00,149,15,1.65,84,8,1.55,84,9,0.66,60,9
103,103,  2024-05-02 19:00,  2024-05-03 03:00,145,15,1.59,72,8,1.5,84,9,0.64,60,9
104,104,  2024-05-02 20:00,  2024-05-03 04:00,146,16,1.58,72,8,1.49,84,9,0.63,60,9
105,105,  2024-05-02 21:00,  2024-05-03 05:00,147,16,1.59,72,8,1.51,84,9,0.61,60,9
106,106,  2024-05-02 22:00,  2024-05-03 06:00,145,17,1.62,72,8,1.54,84,9,0.6,60,9
107,107,  2024-05-02 23:00,  2024-05-03 07:00,141,18,1.67,84,8,1.59,84,9,0.59,60,9
108,108,  2024-05-03 00:00,  2024-05-03 08:00,138,20,1.71,84,8,1.65,84,8,0.58,60,9
109,109,  2024-05-03 01:00,  2024-05-03 09:00,136,19,1.73,84,8,1.66,84,8,0.57,60,9
110,110,  2024-05-03 02:00,  2024-05-03 10:00,132,20,1.73,84,8,1.67,84,8,0.56,60,9
111,111,  2024-05-03 03:00,  2024-05-03 11:00,130,20,1.74,84,8,1.68,84,8,0.55,60,9
112,112,  2024-05-03 04:00,  2024-05-03 12:00,129,20,1.76,84,7,1.7,84,8,0.54,60,9
113,113,  2024-05-03 05:00,  2024-05-03 13:00,127,21,1.79,84,7,1.74,84,6,0.54,60,9
114,114,  2024-05-03 06:00,  2024-05-03 14:00,125,21,1.83,84,6,1.77,84,6,0.54,60,9
115,115,  2024-05-03 07:00,  2024-05-03 15:00,127,21,1.86,84,6,1.8,84,6,0.54,60,9
116,116,  2024-05-03 08:00,  2024-05-03 16:00,130,21,1.89,84,6,1.83,84,6,0.54,60,9
117,117,  2024-05-03 09:00,  2024-05-03 17:00,133,21,1.91,84,6,1.86,84,6,0.54,72,9
118,118,  2024-05-03 10:00,  2024-05-03 18:00,133,21,1.93,84,7,1.88,84,6,0.55,72,9
119,119,  2024-05-03 11:00,  2024-05-03 19:00,130,20,1.94,84,7,1.88,84,6,0.55,72,9
120,120,  2024-05-03 12:00,  2024-05-03 20:00,130,20,1.93,84,7,1.88,84,7,0.56,72,9
121,121,  2024-05-03 13:00,  2024-05-03 21:00,132,20,1.93,84,7,1.87,84,7,0.57,72,9
122,122,  2024-05-03 14:00,  2024-05-03 22:00,135,20,1.94,84,7,1.88,84,7,0.57,72,9
123,123,  2024-05-03 15:00,  2024-05-03 23:00,134,20,1.95,84,7,1.89,84,7,0.58,72,9
124,124,  2024-05-03 16:00,  2024-05-04 00:00,135,19,1.94,84,7,1.88,84,7,0.59,72,9
125,125,  2024-05-03 17:00,  2024-05-04 01:00,140,18,1.9,84,7,1.83,84,7,0.6,72,9
126,126,  2024-05-03 18:00,  2024-05-04 02:00,138,19,1.89,84,7,1.82,84,8,0.6,72,9
127,127,  2024-05-03 19:00,  2024-05-04 03:00,137,20,1.91,84,7,1.85,96,7,0.61,72,9
128,128,  2024-05-03 20:00,  2024-05-04 04:00,134,20,1.97,84,7,1.9,96,7,0.61,72,9
129,129,  2024-05-03 21:00,  2024-05-04 05:00,134,20,2.02,96,7,1.96,96,7,0.62,72,9
130,130,  2024-05-03 22:00,  2024-05-04 06:00,133,20,2.05,96,7,1.99,96,7,0.63,72,9
131,131,  2024-05-03 23:00,  2024-05-04 07:00,129,21,2.1,96,7,2.03,96,7,0.65,72,9
132,132,  2024-05-04 00:00,  2024-05-04 08:00,122,22,2.15,96,7,2.08,96,8,0.66,72,9
