,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s]
0,000,  2024-04-28 12:00,  2024-04-28 20:00,220,5,1.07,228,17,0.39,24,9,1.0,228,18
1,001,  2024-04-28 13:00,  2024-04-28 21:00,210,6,1.07,228,17,0.39,24,9,1.0,228,17
2,002,  2024-04-28 14:00,  2024-04-28 22:00,201,6,1.08,228,17,0.4,24,9,1.01,228,17
3,003,  2024-04-28 15:00,  2024-04-28 23:00,194,6,1.09,228,17,0.4,24,9,1.02,228,17
4,004,  2024-04-28 16:00,  2024-04-29 00:00,190,6,1.1,228,17,0.41,24,9,1.03,228,17
5,005,  2024-04-28 17:00,  2024-04-29 01:00,187,6,1.11,228,16,0.41,24,9,1.04,228,17
6,006,  2024-04-28 18:00,  2024-04-29 02:00,182,8,1.12,228,16,0.42,24,7,1.05,228,17
7,007,  2024-04-28 19:00,  2024-04-29 03:00,171,10,1.14,228,16,0.42,36,7,1.06,228,17
8,008,  2024-04-28 20:00,  2024-04-29 04:00,161,11,1.15,228,16,0.43,36,7,1.07,228,17
9,009,  2024-04-28 21:00,  2024-04-29 05:00,148,11,1.16,228,16,0.44,36,7,1.07,228,17
10,010,  2024-04-28 22:00,  2024-04-29 06:00,139,12,1.17,228,16,0.45,36,6,1.08,228,17
11,011,  2024-04-28 23:00,  2024-04-29 07:00,140,13,1.18,228,16,0.46,36,6,1.08,228,17
12,012,  2024-04-29 00:00,  2024-04-29 08:00,143,12,1.22,228,16,0.56,36,6,1.09,228,17
13,013,  2024-04-29 01:00,  2024-04-29 09:00,139,11,1.22,228,16,0.57,36,6,1.09,228,17
14,014,  2024-04-29 02:00,  2024-04-29 10:00,137,10,1.22,228,16,0.58,36,6,1.08,228,17
15,015,  2024-04-29 03:00,  2024-04-29 11:00,137,9,1.22,228,16,0.57,36,6,1.08,228,17
16,016,  2024-04-29 04:00,  2024-04-29 12:00,150,7,1.2,228,16,0.55,36,6,1.08,228,15
17,017,  2024-04-29 05:00,  2024-04-29 13:00,165,5,1.19,228,15,0.53,36,6,1.07,228,15
18,018,  2024-04-29 06:00,  2024-04-29 14:00,197,3,1.18,228,15,0.52,36,7,1.07,228,15
19,019,  2024-04-29 07:00,  2024-04-29 15:00,238,4,1.17,228,15,0.5,36,7,1.06,228,15
20,020,  2024-04-29 08:00,  2024-04-29 16:00,249,6,1.16,228,15,0.49,36,7,1.06,228,15
21,021,  2024-04-29 09:00,  2024-04-29 17:00,245,6,1.15,228,15,0.48,36,7,1.05,228,15
22,022,  2024-04-29 10:00,  2024-04-29 18:00,232,6,1.15,228,15,0.48,36,9,1.05,228,15
23,023,  2024-04-29 11:00,  2024-04-29 19:00,223,6,1.14,228,15,0.48,36,9,1.04,228,15
24,024,  2024-04-29 12:00,  2024-04-29 20:00,220,5,1.14,228,15,0.48,36,9,1.04,228,15
25,025,  2024-04-29 13:00,  2024-04-29 21:00,200,3,1.13,228,15,0.49,36,9,1.03,228,15
26,026,  2024-04-29 14:00,  2024-04-29 22:00,171,2,1.13,228,15,0.49,36,9,1.03,228,15
27,027,  2024-04-29 15:00,  2024-04-29 23:00,170,2,1.13,228,15,0.5,36,9,1.02,228,15
28,028,  2024-04-29 16:00,  2024-04-30 00:00,174,4,1.12,228,15,0.5,36,9,1.01,228,15
29,029,  2024-04-29 17:00,  2024-04-30 01:00,191,6,1.12,228,15,0.52,36,9,1.0,228,15
30,030,  2024-04-29 18:00,  2024-04-30 02:00,191,7,1.13,228,15,0.54,36,9,1.0,228,15
31,031,  2024-04-29 19:00,  2024-04-30 03:00,179,6,1.13,228,15,0.57,36,9,0.99,228,15
32,032,  2024-04-29 20:00,  2024-04-30 04:00,165,6,1.14,228,14,0.6,36,9,0.98,228,15
33,033,  2024-04-29 21:00,  2024-04-30 05:00,151,6,1.14,228,14,0.61,36,9,0.97,228,15
34,034,  2024-04-29 22:00,  2024-04-30 06:00,114,8,1.14,228,14,0.62,36,9,0.96,228,14
35,035,  2024-04-29 23:00,  2024-04-30 07:00,105,8,1.13,228,14,0.63,36,9,0.95,228,14
36,036,  2024-04-30 00:00,  2024-04-30 08:00,102,7,1.13,228,14,0.63,36,9,0.95,228,14
37,037,  2024-04-30 01:00,  2024-04-30 09:00,101,8,1.12,228,14,0.63,36,9,0.94,228,14
38,038,  2024-04-30 02:00,  2024-04-30 10:00,91,10,1.11,228,14,0.63,36,9,0.93,228,14
39,039,  2024-04-30 03:00,  2024-04-30 11:00,79,12,1.1,228,14,0.63,36,9,0.92,228,14
40,040,  2024-04-30 04:00,  2024-04-30 12:00,72,12,1.12,228,14,0.67,36,9,0.91,228,14
41,041,  2024-04-30 05:00,  2024-04-30 13:00,66,12,1.13,228,14,0.7,36,9,0.9,228,14
42,042,  2024-04-30 06:00,  2024-04-30 14:00,55,14,1.16,228,14,0.76,36,9,0.89,228,14
43,043,  2024-04-30 07:00,  2024-04-30 15:00,49,14,1.21,228,14,0.84,36,9,0.88,228,14
44,044,  2024-04-30 08:00,  2024-04-30 16:00,42,13,1.24,228,14,0.9,36,9,0.87,228,14
45,045,  2024-04-30 09:00,  2024-04-30 17:00,32,11,1.25,228,14,0.92,36,9,0.87,228,14
46,046,  2024-04-30 10:00,  2024-04-30 18:00,27,10,1.26,228,14,0.93,36,5,0.86,228,14
47,047,  2024-04-30 11:00,  2024-04-30 19:00,22,11,1.26,228,13,0.95,36,5,0.85,228,14
48,048,  2024-04-30 12:00,  2024-04-30 20:00,13,11,1.26,228,13,0.96,36,5,0.84,228,14
49,049,  2024-04-30 13:00,  2024-04-30 21:00,10,11,1.27,228,13,0.97,36,6,0.83,228,14
50,050,  2024-04-30 14:00,  2024-04-30 22:00,5,9,1.26,228,13,0.97,36,6,0.82,228,14
51,051,  2024-04-30 15:00,  2024-04-30 23:00,8,6,1.25,228,13,0.97,36,6,0.82,228,14
52,052,  2024-04-30 16:00,  2024-05-01 00:00,20,3,1.24,228,13,0.95,36,6,0.81,228,14
53,053,  2024-04-30 17:00,  2024-05-01 01:00,102,3,1.21,228,13,0.92,36,6,0.8,228,14
54,054,  2024-04-30 18:00,  2024-05-01 02:00,86,5,1.19,228,13,0.9,36,6,0.79,228,14
55,055,  2024-04-30 19:00,  2024-05-01 03:00,83,6,1.16,228,13,0.87,36,6,0.79,228,14
56,056,  2024-04-30 20:00,  2024-05-01 04:00,87,8,1.14,228,13,0.85,36,6,0.78,228,14
57,057,  2024-04-30 21:00,  2024-05-01 05:00,91,11,1.12,228,13,0.83,36,6,0.77,228,14
58,058,  2024-04-30 22:00,  2024-05-01 06:00,90,13,1.14,228,13,0.86,36,6,0.76,228,14
59,059,  2024-04-30 23:00,  2024-05-01 07:00,91,14,1.16,228,13,0.9,36,6,0.75,228,14
60,060,  2024-05-01 00:00,  2024-05-01 08:00,91,15,1.2,228,13,0.96,36,7,0.74,228,14
61,061,  2024-05-01 01:00,  2024-05-01 09:00,88,16,1.25,228,13,1.02,48,7,0.74,228,14
62,062,  2024-05-01 02:00,  2024-05-01 10:00,77,18,1.33,228,13,1.13,48,4,0.73,228,12
63,063,  2024-05-01 03:00,  2024-05-01 11:00,70,18,1.42,228,13,1.23,48,4,0.72,228,12
64,064,  2024-05-01 04:00,  2024-05-01 12:00,66,17,1.47,228,13,1.3,48,5,0.71,228,12
65,065,  2024-05-01 05:00,  2024-05-01 13:00,60,15,1.47,36,13,1.31,36,5,0.7,228,12
66,066,  2024-05-01 06:00,  2024-05-01 14:00,47,13,1.45,36,13,1.28,36,6,0.69,228,12
67,067,  2024-05-01 07:00,  2024-05-01 15:00,30,13,1.41,36,13,1.25,36,6,0.68,228,12
68,068,  2024-05-01 08:00,  2024-05-01 16:00,21,13,1.37,36,13,1.21,36,6,0.67,228,12
69,069,  2024-05-01 09:00,  2024-05-01 17:00,16,11,1.33,36,13,1.17,36,6,0.67,228,12
70,070,  2024-05-01 10:00,  2024-05-01 18:00,9,10,1.3,36,12,1.13,36,6,0.66,228,12
71,071,  2024-05-01 11:00,  2024-05-01 19:00,10,7,1.28,36,12,1.11,36,7,0.66,228,12
72,072,  2024-05-01 12:00,  2024-05-01 20:00,8,4,1.28,36,12,1.11,36,7,0.66,228,12
