,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s]
0,000,  2024-04-28 12:00,  2024-04-28 20:00,110,11,1.77,216,18,0.97,204,7,1.49,216,18
1,001,  2024-04-28 13:00,  2024-04-28 21:00,98,11,1.77,216,18,0.96,204,7,1.49,216,18
2,002,  2024-04-28 14:00,  2024-04-28 22:00,89,11,1.77,216,18,0.96,204,7,1.49,216,18
3,003,  2024-04-28 15:00,  2024-04-28 23:00,84,10,1.77,216,17,0.95,48,7,1.5,216,17
4,004,  2024-04-28 16:00,  2024-04-29 00:00,85,9,1.77,216,17,0.95,48,7,1.51,216,17
5,005,  2024-04-28 17:00,  2024-04-29 01:00,75,9,1.78,216,17,0.94,48,6,1.52,216,17
6,006,  2024-04-28 18:00,  2024-04-29 02:00,64,7,1.79,216,17,0.94,48,6,1.54,216,17
7,007,  2024-04-28 19:00,  2024-04-29 03:00,83,5,1.81,216,17,0.94,48,6,1.55,216,17
8,008,  2024-04-28 20:00,  2024-04-29 04:00,109,7,1.83,216,16,0.94,48,6,1.57,216,17
9,009,  2024-04-28 21:00,  2024-04-29 05:00,129,8,1.84,216,16,0.94,48,6,1.59,216,17
10,010,  2024-04-28 22:00,  2024-04-29 06:00,136,10,1.85,216,16,0.95,48,7,1.6,216,17
11,011,  2024-04-28 23:00,  2024-04-29 07:00,141,12,1.87,216,16,0.96,48,7,1.61,216,17
12,012,  2024-04-29 00:00,  2024-04-29 08:00,137,13,1.89,216,16,1.0,48,7,1.61,216,17
13,013,  2024-04-29 01:00,  2024-04-29 09:00,129,14,1.91,216,16,1.04,48,7,1.61,216,17
14,014,  2024-04-29 02:00,  2024-04-29 10:00,122,15,1.93,216,16,1.08,48,7,1.6,216,17
15,015,  2024-04-29 03:00,  2024-04-29 11:00,116,15,1.94,216,16,1.12,48,7,1.6,216,17
