,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s]
0,000,  2024-04-27 12:00,  2024-04-27 20:00,63,5,0.76,228,15,0.42,216,10,0.64,228,15
1,001,  2024-04-27 13:00,  2024-04-27 21:00,57,5,0.77,228,15,0.42,216,10,0.65,228,15
2,002,  2024-04-27 14:00,  2024-04-27 22:00,54,4,0.77,228,15,0.42,216,10,0.66,228,15
3,003,  2024-04-27 15:00,  2024-04-27 23:00,58,4,0.78,228,15,0.42,216,10,0.67,228,15
4,004,  2024-04-27 16:00,  2024-04-28 00:00,62,4,0.79,228,15,0.42,216,10,0.68,228,15
5,005,  2024-04-27 17:00,  2024-04-28 01:00,47,1,0.81,228,14,0.42,216,10,0.7,228,15
6,006,  2024-04-27 18:00,  2024-04-28 02:00,231,1,0.82,228,14,0.42,216,10,0.71,228,15
7,007,  2024-04-27 19:00,  2024-04-28 03:00,135,3,0.83,228,14,0.42,216,10,0.73,228,14
8,008,  2024-04-27 20:00,  2024-04-28 04:00,159,6,0.85,228,14,0.43,216,10,0.74,228,14
9,009,  2024-04-27 21:00,  2024-04-28 05:00,163,8,0.86,228,20,0.43,216,10,0.76,228,20
10,010,  2024-04-27 22:00,  2024-04-28 06:00,159,9,0.88,228,20,0.44,216,10,0.77,228,20
11,011,  2024-04-27 23:00,  2024-04-28 07:00,154,11,0.89,228,20,0.44,216,10,0.79,228,20
12,012,  2024-04-28 00:00,  2024-04-28 08:00,146,12,0.91,228,20,0.45,216,10,0.8,228,20
13,013,  2024-04-28 01:00,  2024-04-28 09:00,139,12,0.93,228,20,0.46,228,10,0.81,228,20
14,014,  2024-04-28 02:00,  2024-04-28 10:00,133,12,0.95,228,19,0.48,228,10,0.83,228,20
15,015,  2024-04-28 03:00,  2024-04-28 11:00,125,12,1.0,228,19,0.55,228,10,0.84,228,20
16,016,  2024-04-28 04:00,  2024-04-28 12:00,117,11,1.02,228,19,0.58,228,10,0.85,228,18
17,017,  2024-04-28 05:00,  2024-04-28 13:00,109,10,1.04,228,18,0.59,228,10,0.87,228,18
18,018,  2024-04-28 06:00,  2024-04-28 14:00,96,9,1.06,228,18,0.59,228,10,0.88,228,18
19,019,  2024-04-28 07:00,  2024-04-28 15:00,90,8,1.07,228,18,0.59,228,10,0.9,228,18
20,020,  2024-04-28 08:00,  2024-04-28 16:00,81,8,1.08,228,18,0.59,228,10,0.91,228,18
21,021,  2024-04-28 09:00,  2024-04-28 17:00,63,11,1.1,228,18,0.6,228,10,0.93,228,18
22,022,  2024-04-28 10:00,  2024-04-28 18:00,55,12,1.14,228,18,0.65,36,10,0.94,228,18
23,023,  2024-04-28 11:00,  2024-04-28 19:00,51,12,1.18,228,18,0.71,48,10,0.95,228,18
24,024,  2024-04-28 12:00,  2024-04-28 20:00,45,12,1.22,228,18,0.77,48,10,0.96,228,18
25,025,  2024-04-28 13:00,  2024-04-28 21:00,38,11,1.25,228,18,0.8,48,5,0.96,228,18
26,026,  2024-04-28 14:00,  2024-04-28 22:00,22,9,1.26,228,18,0.82,48,5,0.97,228,18
27,027,  2024-04-28 15:00,  2024-04-28 23:00,4,8,1.27,228,17,0.82,48,5,0.97,228,18
28,028,  2024-04-28 16:00,  2024-04-29 00:00,351,7,1.27,228,17,0.81,48,5,0.98,228,17
29,029,  2024-04-28 17:00,  2024-04-29 01:00,343,4,1.26,228,17,0.8,48,5,0.99,228,17
30,030,  2024-04-28 18:00,  2024-04-29 02:00,244,1,1.26,228,17,0.78,48,5,0.99,228,17
31,031,  2024-04-28 19:00,  2024-04-29 03:00,162,5,1.25,228,16,0.76,48,5,1.0,228,17
32,032,  2024-04-28 20:00,  2024-04-29 04:00,162,7,1.25,228,16,0.74,48,6,1.02,228,17
33,033,  2024-04-28 21:00,  2024-04-29 05:00,162,9,1.24,228,16,0.71,48,6,1.03,228,17
34,034,  2024-04-28 22:00,  2024-04-29 06:00,155,12,1.24,228,16,0.69,48,6,1.04,228,17
35,035,  2024-04-28 23:00,  2024-04-29 07:00,141,12,1.25,228,16,0.69,48,6,1.04,228,17
36,036,  2024-04-29 00:00,  2024-04-29 08:00,131,12,1.28,228,16,0.74,48,6,1.05,228,17
37,037,  2024-04-29 01:00,  2024-04-29 09:00,132,12,1.3,228,16,0.77,48,6,1.06,228,17
38,038,  2024-04-29 02:00,  2024-04-29 10:00,133,13,1.32,228,16,0.8,48,6,1.06,228,17
39,039,  2024-04-29 03:00,  2024-04-29 11:00,126,12,1.33,228,16,0.82,48,6,1.06,228,17
40,040,  2024-04-29 04:00,  2024-04-29 12:00,118,12,1.34,228,16,0.84,48,6,1.06,228,17
41,041,  2024-04-29 05:00,  2024-04-29 13:00,109,11,1.34,228,16,0.84,48,6,1.06,228,17
42,042,  2024-04-29 06:00,  2024-04-29 14:00,92,11,1.34,228,16,0.84,48,6,1.05,228,17
43,043,  2024-04-29 07:00,  2024-04-29 15:00,78,13,1.34,228,16,0.85,48,6,1.05,228,15
44,044,  2024-04-29 08:00,  2024-04-29 16:00,69,15,1.38,228,15,0.92,48,6,1.04,228,15
45,045,  2024-04-29 09:00,  2024-04-29 17:00,64,15,1.43,228,15,0.99,48,6,1.04,228,15
46,046,  2024-04-29 10:00,  2024-04-29 18:00,59,16,1.48,228,15,1.07,48,4,1.03,228,15
47,047,  2024-04-29 11:00,  2024-04-29 19:00,55,15,1.51,228,15,1.11,48,5,1.03,228,15
48,048,  2024-04-29 12:00,  2024-04-29 20:00,46,14,1.49,228,15,1.1,48,5,1.02,228,15
49,049,  2024-04-29 13:00,  2024-04-29 21:00,36,12,1.46,228,15,1.05,48,6,1.01,228,15
50,050,  2024-04-29 14:00,  2024-04-29 22:00,30,11,1.42,228,15,1.01,48,6,1.01,228,15
51,051,  2024-04-29 15:00,  2024-04-29 23:00,30,11,1.39,228,15,0.98,48,6,1.0,228,15
