,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s]
0,000,  2024-04-22 00:00,  2024-04-22 08:00,174,12,1.83,228,14,0.98,240,10.0,1.55,228,14.0
1,001,  2024-04-22 01:00,  2024-04-22 09:00,167,12,1.83,228,14,0.98,240,10.0,1.55,228,14.0
2,002,  2024-04-22 02:00,  2024-04-22 10:00,155,12,1.84,228,14,0.97,240,10.0,1.56,228,15.0
3,003,  2024-04-22 03:00,  2024-04-22 11:00,150,12,1.83,228,14,0.96,240,10.0,1.56,228,15.0
4,004,  2024-04-22 04:00,  2024-04-22 12:00,150,12,1.83,228,14,0.96,240,10.0,1.56,228,14.0
5,005,  2024-04-22 05:00,  2024-04-22 13:00,145,12,1.83,228,14,0.96,240,10.0,1.56,228,14.0
6,006,  2024-04-22 06:00,  2024-04-22 14:00,137,11,1.83,228,14,0.95,240,10.0,1.56,228,14.0
7,007,  2024-04-22 07:00,  2024-04-22 15:00,130,10,1.82,228,14,0.94,240,10.0,1.56,228,14.0
8,008,  2024-04-22 08:00,  2024-04-22 16:00,120,9,1.81,228,14,0.93,228,10.0,1.55,228,14.0
9,009,  2024-04-22 09:00,  2024-04-22 17:00,109,7,1.8,228,14,0.92,228,10.0,1.55,228,14.0
10,010,  2024-04-22 10:00,  2024-04-22 18:00,92,5,1.79,228,14,0.91,228,10.0,1.54,228,14.0
11,011,  2024-04-22 11:00,  2024-04-22 19:00,77,4,1.78,228,14,0.9,228,10.0,1.53,228,14.0
12,012,  2024-04-22 12:00,  2024-04-22 20:00,51,5,1.76,228,14,0.89,228,10.0,1.52,228,14.0
13,013,  2024-04-22 13:00,  2024-04-22 21:00,28,6,1.76,228,14,0.89,228,10.0,1.52,228,14.0
14,014,  2024-04-22 14:00,  2024-04-22 22:00,8,6,1.76,228,14,0.89,228,10.0,1.52,228,14.0
15,015,  2024-04-22 15:00,  2024-04-22 23:00,353,4,1.76,228,14,0.89,228,10.0,1.52,228,14.0
16,016,  2024-04-22 16:00,  2024-04-23 00:00,335,3,1.76,228,14,0.89,228,10.0,1.52,228,14.0
17,017,  2024-04-22 17:00,  2024-04-23 01:00,294,3,1.77,228,14,0.89,228,10.0,1.53,228,14.0
18,018,  2024-04-22 18:00,  2024-04-23 02:00,258,4,1.79,228,14,0.9,228,10.0,1.55,228,14.0
19,019,  2024-04-22 19:00,  2024-04-23 03:00,235,5,1.81,228,14,0.91,228,10.0,1.56,228,14.0
20,020,  2024-04-22 20:00,  2024-04-23 04:00,226,5,1.82,228,14,0.92,228,10.0,1.57,228,14.0
21,021,  2024-04-22 21:00,  2024-04-23 05:00,226,6,1.84,228,14,0.93,228,10.0,1.59,228,14.0
22,022,  2024-04-22 22:00,  2024-04-23 06:00,222,6,1.86,228,14,0.94,228,10.0,1.6,228,14.0
23,023,  2024-04-22 23:00,  2024-04-23 07:00,210,5,1.88,228,14,0.96,228,10.0,1.62,228,14.0
24,024,  2024-04-23 00:00,  2024-04-23 08:00,150,3,1.91,228,14,0.99,228,10.0,1.63,228,14.0
25,025,  2024-04-23 01:00,  2024-04-23 09:00,124,6,1.95,228,14,1.04,228,10.0,1.65,228,14.0
26,026,  2024-04-23 02:00,  2024-04-23 10:00,123,7,2.0,228,14,1.1,228,10.0,1.67,228,14.0
27,027,  2024-04-23 03:00,  2024-04-23 11:00,122,8,2.06,228,14,1.17,228,10.0,1.69,216,14.0
28,028,  2024-04-23 04:00,  2024-04-23 12:00,123,8,2.1,216,14,1.22,228,10.0,1.71,216,15.0
29,029,  2024-04-23 05:00,  2024-04-23 13:00,122,8,2.15,216,15,1.27,216,10.0,1.73,216,15.0
30,030,  2024-04-23 06:00,  2024-04-23 14:00,119,9,2.19,216,15,1.31,216,10.0,1.76,216,15.0
31,031,  2024-04-23 07:00,  2024-04-23 15:00,117,9,2.22,216,15,1.33,216,10.0,1.78,216,15.0
32,032,  2024-04-23 08:00,  2024-04-23 16:00,118,9,2.27,216,15,1.35,216,10.0,1.82,216,15.0
33,033,  2024-04-23 09:00,  2024-04-23 17:00,117,9,2.29,216,15,1.35,216,10.0,1.85,216,15.0
34,034,  2024-04-23 10:00,  2024-04-23 18:00,115,8,2.31,216,15,1.35,216,10.0,1.88,216,15.0
