,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s]
0,000,  2024-04-25 18:00,  2024-04-26 02:00,358,5,0.47,252,13,0.35,240,10,0.32,252,12
1,001,  2024-04-25 19:00,  2024-04-26 03:00,37,2,0.46,252,13,0.34,240,10,0.32,252,12
2,002,  2024-04-25 20:00,  2024-04-26 04:00,90,4,0.45,252,13,0.33,240,10,0.32,252,12
3,003,  2024-04-25 21:00,  2024-04-26 05:00,109,4,0.44,252,13,0.31,240,10,0.31,252,12
4,004,  2024-04-25 22:00,  2024-04-26 06:00,125,6,0.43,252,13,0.3,240,10,0.31,252,12
5,005,  2024-04-25 23:00,  2024-04-26 07:00,130,9,0.42,252,13,0.29,240,10,0.31,252,12
6,006,  2024-04-26 00:00,  2024-04-26 08:00,132,11,0.41,252,13,0.28,240,10,0.31,252,12
7,007,  2024-04-26 01:00,  2024-04-26 09:00,126,12,0.41,252,13,0.28,240,10,0.3,252,14
8,008,  2024-04-26 02:00,  2024-04-26 10:00,122,11,0.41,252,13,0.28,240,10,0.3,252,14
9,009,  2024-04-26 03:00,  2024-04-26 11:00,108,10,0.42,252,13,0.3,240,10,0.3,252,14
10,010,  2024-04-26 04:00,  2024-04-26 12:00,80,11,0.43,252,13,0.31,240,10,0.3,252,14
11,011,  2024-04-26 05:00,  2024-04-26 13:00,59,12,0.43,252,13,0.32,240,10,0.29,252,14
12,012,  2024-04-26 06:00,  2024-04-26 14:00,49,12,0.44,252,13,0.33,240,10,0.29,252,14
13,013,  2024-04-26 07:00,  2024-04-26 15:00,45,12,0.47,252,13,0.37,240,10,0.29,252,14
14,014,  2024-04-26 08:00,  2024-04-26 16:00,40,11,0.48,252,13,0.39,240,10,0.29,252,14
15,015,  2024-04-26 09:00,  2024-04-26 17:00,38,11,0.48,252,13,0.38,240,10,0.29,252,14
16,016,  2024-04-26 10:00,  2024-04-26 18:00,36,10,0.47,252,13,0.38,240,10,0.29,252,14
17,017,  2024-04-26 11:00,  2024-04-26 19:00,32,9,0.46,252,13,0.36,240,10,0.29,252,14
18,018,  2024-04-26 12:00,  2024-04-26 20:00,26,8,0.45,252,13,0.35,240,10,0.29,252,14
19,019,  2024-04-26 13:00,  2024-04-26 21:00,17,8,0.45,252,13,0.34,240,10,0.3,252,14
20,020,  2024-04-26 14:00,  2024-04-26 22:00,7,8,0.44,252,13,0.33,240,10,0.3,252,14
21,021,  2024-04-26 15:00,  2024-04-26 23:00,351,7,0.44,252,14,0.32,240,10,0.3,252,14
22,022,  2024-04-26 16:00,  2024-04-27 00:00,332,7,0.43,252,14,0.31,240,10,0.3,252,14
23,023,  2024-04-26 17:00,  2024-04-27 01:00,312,6,0.43,252,16,0.3,240,10,0.31,252,17
24,024,  2024-04-26 18:00,  2024-04-27 02:00,277,5,0.42,252,16,0.29,240,10,0.31,252,17
25,025,  2024-04-26 19:00,  2024-04-27 03:00,244,5,0.42,252,16,0.28,240,10,0.31,252,17
26,026,  2024-04-26 20:00,  2024-04-27 04:00,212,6,0.41,252,16,0.27,240,10,0.31,252,17
27,027,  2024-04-26 21:00,  2024-04-27 05:00,184,6,0.41,252,16,0.26,240,10,0.32,252,17
28,028,  2024-04-26 22:00,  2024-04-27 06:00,155,8,0.41,252,16,0.25,240,10,0.32,252,17
29,029,  2024-04-26 23:00,  2024-04-27 07:00,147,11,0.4,252,16,0.25,240,10,0.32,252,17
30,030,  2024-04-27 00:00,  2024-04-27 08:00,139,11,0.4,252,16,0.24,240,10,0.33,252,17
31,031,  2024-04-27 01:00,  2024-04-27 09:00,131,11,0.4,252,16,0.24,240,10,0.33,252,17
32,032,  2024-04-27 02:00,  2024-04-27 10:00,126,11,0.4,252,16,0.23,240,10,0.33,252,17
33,033,  2024-04-27 03:00,  2024-04-27 11:00,120,9,0.4,252,16,0.23,240,10,0.33,252,17
34,034,  2024-04-27 04:00,  2024-04-27 12:00,113,7,0.4,252,16,0.22,240,10,0.34,252,17
35,035,  2024-04-27 05:00,  2024-04-27 13:00,92,4,0.4,252,16,0.22,240,10,0.34,252,15
36,036,  2024-04-27 06:00,  2024-04-27 14:00,45,3,0.4,252,15,0.22,240,10,0.34,252,15
37,037,  2024-04-27 07:00,  2024-04-27 15:00,9,3,0.4,252,15,0.21,240,10,0.35,252,15
38,038,  2024-04-27 08:00,  2024-04-27 16:00,357,3,0.41,252,15,0.21,240,10,0.35,252,15
39,039,  2024-04-27 09:00,  2024-04-27 17:00,5,3,0.41,252,15,0.21,240,10,0.36,252,15
40,040,  2024-04-27 10:00,  2024-04-27 18:00,14,3,0.42,252,15,0.2,240,10,0.36,252,15
41,041,  2024-04-27 11:00,  2024-04-27 19:00,18,3,0.42,252,15,0.2,240,10,0.37,252,15
42,042,  2024-04-27 12:00,  2024-04-27 20:00,24,3,0.43,264,15,0.2,240,10,0.38,264,15
43,043,  2024-04-27 13:00,  2024-04-27 21:00,27,2,0.43,264,15,0.2,240,10,0.39,264,15
44,044,  2024-04-27 14:00,  2024-04-27 22:00,15,2,0.44,264,15,0.2,240,10,0.39,264,15
45,045,  2024-04-27 15:00,  2024-04-27 23:00,318,1,0.45,264,15,0.2,240,10,0.4,264,15
46,046,  2024-04-27 16:00,  2024-04-28 00:00,285,3,0.45,264,15,0.2,240,10,0.41,264,15
47,047,  2024-04-27 17:00,  2024-04-28 01:00,269,4,0.46,264,15,0.2,240,10,0.42,264,15
48,048,  2024-04-27 18:00,  2024-04-28 02:00,218,4,0.47,264,15,0.2,240,10,0.43,264,15
49,049,  2024-04-27 19:00,  2024-04-28 03:00,192,6,0.48,264,15,0.2,240,10,0.44,264,15
50,050,  2024-04-27 20:00,  2024-04-28 04:00,183,8,0.49,264,20,0.19,240,10,0.45,264,20
51,051,  2024-04-27 21:00,  2024-04-28 05:00,172,10,0.5,264,20,0.19,240,10,0.46,264,20
52,052,  2024-04-27 22:00,  2024-04-28 06:00,169,11,0.51,264,20,0.19,240,10,0.47,264,20
53,053,  2024-04-27 23:00,  2024-04-28 07:00,169,10,0.52,264,20,0.2,240,10,0.48,264,20
54,054,  2024-04-28 00:00,  2024-04-28 08:00,162,9,0.53,264,20,0.2,240,10,0.49,264,20
55,055,  2024-04-28 01:00,  2024-04-28 09:00,146,9,0.53,264,20,0.2,240,10,0.5,264,20
56,056,  2024-04-28 02:00,  2024-04-28 10:00,118,9,0.54,264,20,0.2,240,10,0.51,264,20
57,057,  2024-04-28 03:00,  2024-04-28 11:00,106,9,0.55,264,20,0.21,240,10,0.51,264,20
58,058,  2024-04-28 04:00,  2024-04-28 12:00,96,7,0.56,264,20,0.21,240,10,0.52,264,20
59,059,  2024-04-28 05:00,  2024-04-28 13:00,74,5,0.57,264,19,0.21,240,10,0.53,264,20
60,060,  2024-04-28 06:00,  2024-04-28 14:00,50,6,0.58,264,19,0.22,240,10,0.53,264,20
61,061,  2024-04-28 07:00,  2024-04-28 15:00,35,7,0.58,264,19,0.22,240,10,0.54,264,18
62,062,  2024-04-28 08:00,  2024-04-28 16:00,29,8,0.59,264,18,0.23,240,10,0.55,264,18
63,063,  2024-04-28 09:00,  2024-04-28 17:00,21,10,0.6,264,18,0.23,240,10,0.56,264,18
64,064,  2024-04-28 10:00,  2024-04-28 18:00,15,10,0.61,264,18,0.24,240,10,0.56,264,18
65,065,  2024-04-28 11:00,  2024-04-28 19:00,9,10,0.62,264,18,0.25,12,10,0.57,264,18
66,066,  2024-04-28 12:00,  2024-04-28 20:00,350,9,0.63,264,18,0.26,12,10,0.57,264,18
67,067,  2024-04-28 13:00,  2024-04-28 21:00,337,7,0.63,264,18,0.26,24,10,0.58,264,18
68,068,  2024-04-28 14:00,  2024-04-28 22:00,324,4,0.64,264,18,0.27,24,10,0.58,264,18
69,069,  2024-04-28 15:00,  2024-04-28 23:00,308,4,0.65,264,18,0.28,24,10,0.58,264,18
70,070,  2024-04-28 16:00,  2024-04-29 00:00,292,5,0.65,264,18,0.29,24,10,0.59,264,18
71,071,  2024-04-28 17:00,  2024-04-29 01:00,250,4,0.65,264,18,0.29,24,10,0.59,264,18
72,072,  2024-04-28 18:00,  2024-04-29 02:00,198,5,0.66,264,17,0.29,24,10,0.59,264,18
73,073,  2024-04-28 19:00,  2024-04-29 03:00,194,7,0.66,264,17,0.3,24,10,0.59,264,17
74,074,  2024-04-28 20:00,  2024-04-29 04:00,178,9,0.66,264,17,0.3,24,10,0.59,264,17
75,075,  2024-04-28 21:00,  2024-04-29 05:00,151,9,0.67,264,17,0.3,24,10,0.6,264,17
76,076,  2024-04-28 22:00,  2024-04-29 06:00,154,8,0.67,264,17,0.3,24,10,0.6,264,17
77,077,  2024-04-28 23:00,  2024-04-29 07:00,148,7,0.67,264,17,0.3,24,10,0.6,264,17
