,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s]
0,000,  2024-04-24 18:00,  2024-04-25 02:00,164,8,0.32,288,13,0.26,276,10,0.19,288,14
1,001,  2024-04-24 19:00,  2024-04-25 03:00,178,8,0.3,288,13,0.24,276,10,0.19,288,14
2,002,  2024-04-24 20:00,  2024-04-25 04:00,185,9,0.28,288,13,0.22,276,10,0.18,288,14
3,003,  2024-04-24 21:00,  2024-04-25 05:00,178,9,0.27,288,13,0.21,276,10,0.18,288,14
4,004,  2024-04-24 22:00,  2024-04-25 06:00,171,9,0.26,288,13,0.19,276,10,0.18,288,12
5,005,  2024-04-24 23:00,  2024-04-25 07:00,163,10,0.25,288,13,0.18,276,10,0.18,288,12
6,006,  2024-04-25 00:00,  2024-04-25 08:00,148,10,0.24,288,13,0.17,276,10,0.17,288,12
7,007,  2024-04-25 01:00,  2024-04-25 09:00,133,11,0.24,288,13,0.17,276,10,0.17,288,12
8,008,  2024-04-25 02:00,  2024-04-25 10:00,106,11,0.23,288,13,0.17,276,10,0.17,288,12
9,009,  2024-04-25 03:00,  2024-04-25 11:00,72,9,0.24,288,13,0.17,276,10,0.17,288,12
10,010,  2024-04-25 04:00,  2024-04-25 12:00,30,8,0.24,288,13,0.17,276,10,0.17,288,12
11,011,  2024-04-25 05:00,  2024-04-25 13:00,357,9,0.23,288,13,0.17,276,10,0.16,288,12
12,012,  2024-04-25 06:00,  2024-04-25 14:00,347,10,0.23,288,13,0.16,276,10,0.16,288,12
13,013,  2024-04-25 07:00,  2024-04-25 15:00,342,10,0.23,288,13,0.16,276,10,0.16,288,12
14,014,  2024-04-25 08:00,  2024-04-25 16:00,344,10,0.22,288,13,0.16,276,10,0.16,288,12
15,015,  2024-04-25 09:00,  2024-04-25 17:00,353,10,0.23,288,13,0.17,276,10,0.16,288,12
16,016,  2024-04-25 10:00,  2024-04-25 18:00,355,10,0.31,288,13,0.27,276,3,0.16,288,12
17,017,  2024-04-25 11:00,  2024-04-25 19:00,353,10,0.42,288,13,0.39,36,3,0.16,288,12
18,018,  2024-04-25 12:00,  2024-04-25 20:00,348,11,0.5,36,3,0.48,36,4,0.15,288,12
19,019,  2024-04-25 13:00,  2024-04-25 21:00,337,10,0.53,36,4,0.51,36,4,0.15,288,12
20,020,  2024-04-25 14:00,  2024-04-25 22:00,319,7,0.52,36,4,0.5,36,4,0.15,288,12
21,021,  2024-04-25 15:00,  2024-04-25 23:00,280,7,0.49,36,4,0.47,24,4,0.15,288,12
22,022,  2024-04-25 16:00,  2024-04-26 00:00,248,6,0.45,24,4,0.42,24,4,0.15,288,12
23,023,  2024-04-25 17:00,  2024-04-26 01:00,232,5,0.4,24,4,0.38,24,4,0.15,288,12
24,024,  2024-04-25 18:00,  2024-04-26 02:00,232,5,0.37,288,4,0.34,24,4,0.15,288,12
25,025,  2024-04-25 19:00,  2024-04-26 03:00,252,4,0.34,288,13,0.3,24,4,0.15,288,14
26,026,  2024-04-25 20:00,  2024-04-26 04:00,316,2,0.31,288,13,0.28,12,4,0.14,288,14
27,027,  2024-04-25 21:00,  2024-04-26 05:00,20,3,0.29,288,13,0.25,12,3,0.14,288,14
28,028,  2024-04-25 22:00,  2024-04-26 06:00,36,3,0.27,288,13,0.23,276,3,0.14,288,14
29,029,  2024-04-25 23:00,  2024-04-26 07:00,79,3,0.26,288,14,0.22,276,3,0.14,288,14
30,030,  2024-04-26 00:00,  2024-04-26 08:00,87,6,0.25,288,14,0.2,276,10,0.14,288,14
31,031,  2024-04-26 01:00,  2024-04-26 09:00,78,8,0.24,288,14,0.19,276,10,0.14,288,14
32,032,  2024-04-26 02:00,  2024-04-26 10:00,58,6,0.23,288,14,0.18,276,10,0.14,288,14
33,033,  2024-04-26 03:00,  2024-04-26 11:00,22,6,0.22,288,14,0.17,276,10,0.14,288,14
34,034,  2024-04-26 04:00,  2024-04-26 12:00,350,7,0.22,300,14,0.17,276,10,0.14,288,14
35,035,  2024-04-26 05:00,  2024-04-26 13:00,334,8,0.21,300,14,0.16,276,10,0.14,288,14
36,036,  2024-04-26 06:00,  2024-04-26 14:00,326,10,0.21,300,14,0.16,276,10,0.14,288,14
37,037,  2024-04-26 07:00,  2024-04-26 15:00,320,11,0.21,300,14,0.15,276,10,0.14,288,14
38,038,  2024-04-26 08:00,  2024-04-26 16:00,318,10,0.21,300,14,0.15,276,10,0.14,288,14
39,039,  2024-04-26 09:00,  2024-04-26 17:00,313,10,0.2,300,14,0.15,276,10,0.14,288,14
40,040,  2024-04-26 10:00,  2024-04-26 18:00,304,8,0.2,300,14,0.14,276,10,0.14,288,14
41,041,  2024-04-26 11:00,  2024-04-26 19:00,299,7,0.2,300,14,0.14,276,10,0.14,288,14
42,042,  2024-04-26 12:00,  2024-04-26 20:00,295,7,0.2,300,14,0.13,276,10,0.14,300,14
43,043,  2024-04-26 13:00,  2024-04-26 21:00,296,7,0.19,300,14,0.13,276,10,0.15,300,14
44,044,  2024-04-26 14:00,  2024-04-26 22:00,292,7,0.19,300,16,0.13,276,10,0.15,300,17
45,045,  2024-04-26 15:00,  2024-04-26 23:00,286,7,0.19,300,16,0.12,276,10,0.15,300,17
46,046,  2024-04-26 16:00,  2024-04-27 00:00,279,6,0.19,300,16,0.12,276,10,0.15,300,17
47,047,  2024-04-26 17:00,  2024-04-27 01:00,268,6,0.19,300,16,0.12,276,10,0.15,300,17
48,048,  2024-04-26 18:00,  2024-04-27 02:00,256,6,0.19,300,16,0.12,276,10,0.15,300,17
49,049,  2024-04-26 19:00,  2024-04-27 03:00,235,5,0.19,300,16,0.11,276,10,0.15,300,17
50,050,  2024-04-26 20:00,  2024-04-27 04:00,187,4,0.19,300,16,0.11,276,10,0.15,300,17
51,051,  2024-04-26 21:00,  2024-04-27 05:00,150,6,0.19,300,16,0.11,276,10,0.15,300,17
52,052,  2024-04-26 22:00,  2024-04-27 06:00,136,7,0.19,300,16,0.11,276,10,0.16,300,17
53,053,  2024-04-26 23:00,  2024-04-27 07:00,128,7,0.19,300,16,0.11,276,10,0.16,300,17
54,054,  2024-04-27 00:00,  2024-04-27 08:00,126,7,0.19,300,16,0.11,276,10,0.16,300,17
55,055,  2024-04-27 01:00,  2024-04-27 09:00,126,5,0.19,300,16,0.1,276,10,0.16,300,17
56,056,  2024-04-27 02:00,  2024-04-27 10:00,86,2,0.19,300,16,0.1,276,10,0.16,300,17
57,057,  2024-04-27 03:00,  2024-04-27 11:00,330,3,0.19,300,16,0.1,276,10,0.16,300,17
58,058,  2024-04-27 04:00,  2024-04-27 12:00,318,5,0.19,300,16,0.1,276,10,0.16,300,17
59,059,  2024-04-27 05:00,  2024-04-27 13:00,325,7,0.19,300,16,0.1,276,10,0.17,300,15
60,060,  2024-04-27 06:00,  2024-04-27 14:00,322,8,0.2,300,15,0.1,276,10,0.17,300,15
61,061,  2024-04-27 07:00,  2024-04-27 15:00,316,8,0.2,300,15,0.1,276,10,0.17,300,15
62,062,  2024-04-27 08:00,  2024-04-27 16:00,311,8,0.2,300,15,0.1,276,10,0.17,300,15
63,063,  2024-04-27 09:00,  2024-04-27 17:00,300,7,0.2,300,15,0.1,276,10,0.18,300,15
64,064,  2024-04-27 10:00,  2024-04-27 18:00,287,7,0.21,300,15,0.1,276,10,0.18,300,15
65,065,  2024-04-27 11:00,  2024-04-27 19:00,285,6,0.21,300,15,0.1,276,10,0.18,300,15
66,066,  2024-04-27 12:00,  2024-04-27 20:00,288,6,0.21,300,15,0.1,276,10,0.19,300,15
67,067,  2024-04-27 13:00,  2024-04-27 21:00,283,6,0.21,300,15,0.1,276,10,0.19,300,15
68,068,  2024-04-27 14:00,  2024-04-27 22:00,273,7,0.22,300,22,0.1,276,10,0.19,300,22
69,069,  2024-04-27 15:00,  2024-04-27 23:00,268,6,0.22,300,22,0.1,276,10,0.2,300,22
70,070,  2024-04-27 16:00,  2024-04-28 00:00,273,5,0.22,300,22,0.1,276,10,0.2,300,22
71,071,  2024-04-27 17:00,  2024-04-28 01:00,260,5,0.23,300,21,0.1,276,10,0.2,300,22
72,072,  2024-04-27 18:00,  2024-04-28 02:00,235,4,0.23,300,21,0.1,276,10,0.21,300,22
73,073,  2024-04-27 19:00,  2024-04-28 03:00,203,5,0.23,300,21,0.1,276,10,0.21,300,20
74,074,  2024-04-27 20:00,  2024-04-28 04:00,176,7,0.24,300,20,0.1,276,10,0.22,300,20
75,075,  2024-04-27 21:00,  2024-04-28 05:00,158,8,0.24,300,20,0.1,276,10,0.22,300,20
76,076,  2024-04-27 22:00,  2024-04-28 06:00,164,8,0.24,300,20,0.1,276,10,0.22,300,20
77,077,  2024-04-27 23:00,  2024-04-28 07:00,157,7,0.25,300,20,0.1,276,10,0.23,300,20
78,078,  2024-04-28 00:00,  2024-04-28 08:00,149,7,0.25,300,20,0.1,276,10,0.23,300,20
79,079,  2024-04-28 01:00,  2024-04-28 09:00,154,6,0.25,300,20,0.1,276,10,0.23,300,20
80,080,  2024-04-28 02:00,  2024-04-28 10:00,172,4,0.26,300,20,0.1,276,10,0.24,300,20
81,081,  2024-04-28 03:00,  2024-04-28 11:00,251,2,0.26,300,20,0.1,276,10,0.24,300,20
82,082,  2024-04-28 04:00,  2024-04-28 12:00,303,5,0.26,300,20,0.1,276,10,0.24,300,20
83,083,  2024-04-28 05:00,  2024-04-28 13:00,301,8,0.26,300,19,0.1,276,10,0.24,300,20
84,084,  2024-04-28 06:00,  2024-04-28 14:00,285,10,0.27,300,19,0.11,276,10,0.25,300,18
85,085,  2024-04-28 07:00,  2024-04-28 15:00,281,10,0.27,300,19,0.11,276,10,0.25,300,18
86,086,  2024-04-28 08:00,  2024-04-28 16:00,282,10,0.27,300,19,0.11,12,10,0.25,300,18
87,087,  2024-04-28 09:00,  2024-04-28 17:00,282,9,0.27,300,18,0.11,12,6,0.25,300,18
88,088,  2024-04-28 10:00,  2024-04-28 18:00,283,9,0.28,300,18,0.11,12,6,0.25,300,18
89,089,  2024-04-28 11:00,  2024-04-28 19:00,281,9,0.28,300,18,0.12,12,6,0.25,300,18
90,090,  2024-04-28 12:00,  2024-04-28 20:00,277,9,0.28,300,18,0.12,12,6,0.25,300,18
91,091,  2024-04-28 13:00,  2024-04-28 21:00,269,9,0.28,300,18,0.12,12,6,0.25,300,18
92,092,  2024-04-28 14:00,  2024-04-28 22:00,258,10,0.28,300,18,0.12,12,6,0.25,300,18
93,093,  2024-04-28 15:00,  2024-04-28 23:00,248,10,0.28,300,18,0.13,12,6,0.25,300,18
94,094,  2024-04-28 16:00,  2024-04-29 00:00,237,9,0.28,300,18,0.13,12,6,0.25,300,18
95,095,  2024-04-28 17:00,  2024-04-29 01:00,217,8,0.28,300,18,0.13,12,6,0.25,300,18
96,096,  2024-04-28 18:00,  2024-04-29 02:00,200,9,0.28,300,18,0.13,12,6,0.25,300,18
97,097,  2024-04-28 19:00,  2024-04-29 03:00,193,9,0.28,300,17,0.13,12,6,0.25,300,18
98,098,  2024-04-28 20:00,  2024-04-29 04:00,173,8,0.28,300,17,0.13,12,6,0.25,300,17
99,099,  2024-04-28 21:00,  2024-04-29 05:00,158,7,0.28,300,17,0.13,12,6,0.25,300,17
100,100,  2024-04-28 22:00,  2024-04-29 06:00,164,6,0.29,300,17,0.13,12,7,0.25,300,17
101,101,  2024-04-28 23:00,  2024-04-29 07:00,171,7,0.29,300,17,0.13,12,7,0.25,300,17
102,102,  2024-04-29 00:00,  2024-04-29 08:00,162,7,0.29,300,17,0.14,12,8,0.25,300,17
103,103,  2024-04-29 01:00,  2024-04-29 09:00,145,6,0.29,300,17,0.14,12,8,0.25,300,17
104,104,  2024-04-29 02:00,  2024-04-29 10:00,134,5,0.29,300,17,0.14,12,8,0.25,300,17
105,105,  2024-04-29 03:00,  2024-04-29 11:00,183,1,0.29,300,17,0.14,12,8,0.25,300,17
106,106,  2024-04-29 04:00,  2024-04-29 12:00,297,7,0.29,300,16,0.14,12,8,0.25,300,17
107,107,  2024-04-29 05:00,  2024-04-29 13:00,295,10,0.29,300,16,0.14,12,8,0.25,300,17
108,108,  2024-04-29 06:00,  2024-04-29 14:00,298,10,0.29,300,16,0.14,12,8,0.25,300,17
109,109,  2024-04-29 07:00,  2024-04-29 15:00,292,11,0.29,300,16,0.15,12,8,0.25,300,17
110,110,  2024-04-29 08:00,  2024-04-29 16:00,287,11,0.29,300,16,0.15,12,8,0.25,300,17
111,111,  2024-04-29 09:00,  2024-04-29 17:00,296,10,0.29,300,16,0.15,12,8,0.25,300,17
112,112,  2024-04-29 10:00,  2024-04-29 18:00,304,10,0.29,300,16,0.15,12,8,0.24,300,17
113,113,  2024-04-29 11:00,  2024-04-29 19:00,308,9,0.29,300,16,0.15,12,8,0.24,300,17
114,114,  2024-04-29 12:00,  2024-04-29 20:00,300,9,0.29,300,16,0.16,12,8,0.24,300,17
115,115,  2024-04-29 13:00,  2024-04-29 21:00,277,9,0.28,300,16,0.16,12,8,0.24,300,17
116,116,  2024-04-29 14:00,  2024-04-29 22:00,261,10,0.29,300,16,0.16,12,8,0.24,300,15
117,117,  2024-04-29 15:00,  2024-04-29 23:00,248,10,0.3,300,16,0.18,12,8,0.24,300,15
118,118,  2024-04-29 16:00,  2024-04-30 00:00,235,10,0.31,300,15,0.21,12,8,0.24,300,15
119,119,  2024-04-29 17:00,  2024-04-30 01:00,224,8,0.32,300,15,0.23,12,8,0.23,300,15
120,120,  2024-04-29 18:00,  2024-04-30 02:00,214,10,0.33,300,15,0.24,12,8,0.23,300,15
121,121,  2024-04-29 19:00,  2024-04-30 03:00,212,12,0.34,300,15,0.25,12,3,0.23,300,15
122,122,  2024-04-29 20:00,  2024-04-30 04:00,206,12,0.38,300,15,0.31,12,3,0.23,300,15
123,123,  2024-04-29 21:00,  2024-04-30 05:00,190,10,0.4,300,15,0.33,264,3,0.23,300,15
124,124,  2024-04-29 22:00,  2024-04-30 06:00,170,9,0.4,300,15,0.33,252,3,0.22,300,15
125,125,  2024-04-29 23:00,  2024-04-30 07:00,157,9,0.38,300,15,0.31,252,3,0.22,300,15
126,126,  2024-04-30 00:00,  2024-04-30 08:00,156,9,0.36,300,15,0.29,252,4,0.22,300,15
127,127,  2024-04-30 01:00,  2024-04-30 09:00,161,7,0.34,300,15,0.27,252,4,0.22,300,15
128,128,  2024-04-30 02:00,  2024-04-30 10:00,152,4,0.33,300,15,0.25,276,4,0.22,300,15
129,129,  2024-04-30 03:00,  2024-04-30 11:00,336,1,0.31,300,15,0.23,276,10,0.21,300,15
130,130,  2024-04-30 04:00,  2024-04-30 12:00,335,5,0.3,300,15,0.22,276,10,0.21,300,15
131,131,  2024-04-30 05:00,  2024-04-30 13:00,321,7,0.29,300,15,0.21,276,10,0.21,300,15
132,132,  2024-04-30 06:00,  2024-04-30 14:00,309,8,0.28,300,15,0.19,276,10,0.21,300,15
133,133,  2024-04-30 07:00,  2024-04-30 15:00,303,8,0.27,288,15,0.18,276,10,0.21,300,15
134,134,  2024-04-30 08:00,  2024-04-30 16:00,300,8,0.27,288,15,0.18,276,10,0.2,300,15
135,135,  2024-04-30 09:00,  2024-04-30 17:00,290,7,0.26,288,15,0.17,276,10,0.2,300,15
136,136,  2024-04-30 10:00,  2024-04-30 18:00,288,8,0.26,288,15,0.17,276,10,0.2,300,15
137,137,  2024-04-30 11:00,  2024-04-30 19:00,290,9,0.26,288,15,0.16,276,10,0.2,300,15
138,138,  2024-04-30 12:00,  2024-04-30 20:00,279,9,0.25,288,14,0.16,276,10,0.2,300,15
139,139,  2024-04-30 13:00,  2024-04-30 21:00,258,8,0.25,288,14,0.16,276,10,0.2,300,15
140,140,  2024-04-30 14:00,  2024-04-30 22:00,226,8,0.25,288,14,0.17,276,10,0.2,300,14
141,141,  2024-04-30 15:00,  2024-04-30 23:00,194,9,0.27,288,14,0.19,276,10,0.19,288,14
142,142,  2024-04-30 16:00,  2024-05-01 00:00,169,10,0.3,288,14,0.23,276,10,0.19,288,14
143,143,  2024-04-30 17:00,  2024-05-01 01:00,161,9,0.33,288,14,0.27,276,4,0.19,288,14
