,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s]
0,000,  2024-04-23 12:00,  2024-04-23 20:00,63,8,1.52,240,14,1.05,228,10,1.13,240,14
1,001,  2024-04-23 13:00,  2024-04-23 21:00,52,7,1.53,240,14,1.05,228,10,1.14,240,14
2,002,  2024-04-23 14:00,  2024-04-23 22:00,54,5,1.53,240,14,1.04,228,10,1.15,240,14
3,003,  2024-04-23 15:00,  2024-04-23 23:00,78,3,1.53,240,14,1.03,228,10,1.16,240,14
4,004,  2024-04-23 16:00,  2024-04-24 00:00,96,4,1.52,240,14,1.01,228,10,1.16,240,14
5,005,  2024-04-23 17:00,  2024-04-24 01:00,95,5,1.51,240,14,1.0,228,10,1.16,240,14
6,006,  2024-04-23 18:00,  2024-04-24 02:00,101,7,1.5,228,14,0.98,228,10,1.16,240,14
7,007,  2024-04-23 19:00,  2024-04-24 03:00,107,10,1.49,228,13,0.96,228,10,1.16,240,14
8,008,  2024-04-23 20:00,  2024-04-24 04:00,118,10,1.47,228,13,0.95,228,10,1.15,240,14
9,009,  2024-04-23 21:00,  2024-04-24 05:00,118,12,1.47,228,13,0.95,228,10,1.14,240,14
10,010,  2024-04-23 22:00,  2024-04-24 06:00,113,13,1.47,228,13,0.98,228,10,1.13,240,14
11,011,  2024-04-23 23:00,  2024-04-24 07:00,115,13,1.48,228,13,1.0,228,10,1.11,240,14
12,012,  2024-04-24 00:00,  2024-04-24 08:00,119,15,1.49,228,13,1.05,228,10,1.09,240,14
13,013,  2024-04-24 01:00,  2024-04-24 09:00,120,15,1.52,228,13,1.11,228,10,1.07,240,14
14,014,  2024-04-24 02:00,  2024-04-24 10:00,105,16,1.56,228,13,1.17,228,10,1.05,240,14
15,015,  2024-04-24 03:00,  2024-04-24 11:00,98,16,1.6,228,13,1.25,228,10,1.02,240,14
16,016,  2024-04-24 04:00,  2024-04-24 12:00,93,16,1.63,228,13,1.31,228,10,0.99,240,14
17,017,  2024-04-24 05:00,  2024-04-24 13:00,88,16,1.66,228,13,1.36,228,5,0.97,240,14
18,018,  2024-04-24 06:00,  2024-04-24 14:00,83,16,1.67,228,13,1.39,228,5,0.95,240,14
19,019,  2024-04-24 07:00,  2024-04-24 15:00,82,15,1.66,228,13,1.4,228,5,0.92,240,14
20,020,  2024-04-24 08:00,  2024-04-24 16:00,80,14,1.65,228,13,1.39,228,5,0.9,240,14
21,021,  2024-04-24 09:00,  2024-04-24 17:00,76,14,1.62,228,13,1.38,228,5,0.88,240,14
22,022,  2024-04-24 10:00,  2024-04-24 18:00,73,12,1.59,228,13,1.35,228,6,0.86,240,14
23,023,  2024-04-24 11:00,  2024-04-24 19:00,66,11,1.55,228,13,1.31,228,6,0.85,240,14
24,024,  2024-04-24 12:00,  2024-04-24 20:00,61,10,1.5,228,13,1.26,228,6,0.83,240,14
25,025,  2024-04-24 13:00,  2024-04-24 21:00,54,9,1.45,228,13,1.21,228,6,0.81,240,14
26,026,  2024-04-24 14:00,  2024-04-24 22:00,48,9,1.39,228,13,1.16,228,6,0.8,240,14
27,027,  2024-04-24 15:00,  2024-04-24 23:00,41,8,1.35,228,13,1.11,228,6,0.78,240,14
28,028,  2024-04-24 16:00,  2024-04-25 00:00,47,7,1.3,228,13,1.06,228,6,0.77,240,14
29,029,  2024-04-24 17:00,  2024-04-25 01:00,69,6,1.26,228,13,1.02,228,6,0.76,240,14
30,030,  2024-04-24 18:00,  2024-04-25 02:00,97,5,1.23,228,13,0.99,228,6,0.75,240,14
31,031,  2024-04-24 19:00,  2024-04-25 03:00,111,5,1.19,228,13,0.95,228,6,0.73,240,12
32,032,  2024-04-24 20:00,  2024-04-25 04:00,118,6,1.17,228,13,0.93,228,6,0.72,240,12
33,033,  2024-04-24 21:00,  2024-04-25 05:00,129,7,1.14,228,13,0.9,228,6,0.71,240,12
34,034,  2024-04-24 22:00,  2024-04-25 06:00,132,9,1.12,228,13,0.88,228,6,0.7,240,12
35,035,  2024-04-24 23:00,  2024-04-25 07:00,128,10,1.1,228,12,0.87,228,10,0.69,240,12
36,036,  2024-04-25 00:00,  2024-04-25 08:00,123,10,1.08,228,12,0.86,228,10,0.68,240,12
37,037,  2024-04-25 01:00,  2024-04-25 09:00,114,11,1.08,228,12,0.86,228,10,0.67,240,12
38,038,  2024-04-25 02:00,  2024-04-25 10:00,100,12,1.08,228,12,0.87,228,10,0.66,240,12
39,039,  2024-04-25 03:00,  2024-04-25 11:00,88,12,1.09,228,12,0.89,228,10,0.65,240,12
40,040,  2024-04-25 04:00,  2024-04-25 12:00,85,11,1.1,228,12,0.91,228,10,0.64,240,12
41,041,  2024-04-25 05:00,  2024-04-25 13:00,83,11,1.11,228,12,0.93,228,10,0.62,228,12
42,042,  2024-04-25 06:00,  2024-04-25 14:00,76,10,1.12,228,12,0.95,228,10,0.61,228,12
43,043,  2024-04-25 07:00,  2024-04-25 15:00,70,10,1.11,228,12,0.94,228,10,0.61,228,12
44,044,  2024-04-25 08:00,  2024-04-25 16:00,64,10,1.1,228,12,0.94,228,5,0.6,228,12
45,045,  2024-04-25 09:00,  2024-04-25 17:00,60,9,1.08,228,12,0.92,228,5,0.59,228,12
46,046,  2024-04-25 10:00,  2024-04-25 18:00,56,8,1.06,228,12,0.9,228,5,0.58,228,12
47,047,  2024-04-25 11:00,  2024-04-25 19:00,53,8,1.04,228,12,0.88,228,5,0.57,228,12
48,048,  2024-04-25 12:00,  2024-04-25 20:00,50,8,1.02,228,12,0.86,228,5,0.56,228,12
49,049,  2024-04-25 13:00,  2024-04-25 21:00,42,8,1.0,228,12,0.84,228,5,0.55,228,12
50,050,  2024-04-25 14:00,  2024-04-25 22:00,29,7,0.97,228,12,0.82,228,5,0.54,228,12
51,051,  2024-04-25 15:00,  2024-04-25 23:00,12,6,0.95,228,12,0.79,228,5,0.54,228,12
52,052,  2024-04-25 16:00,  2024-04-26 00:00,355,6,0.92,228,12,0.77,228,5,0.53,228,12
53,053,  2024-04-25 17:00,  2024-04-26 01:00,344,6,0.9,228,12,0.74,228,5,0.52,228,12
54,054,  2024-04-25 18:00,  2024-04-26 02:00,340,6,0.87,228,12,0.72,228,5,0.51,228,12
55,055,  2024-04-25 19:00,  2024-04-26 03:00,339,6,0.85,228,12,0.69,228,10,0.51,228,12
56,056,  2024-04-25 20:00,  2024-04-26 04:00,340,6,0.83,228,12,0.67,228,10,0.5,228,12
57,057,  2024-04-25 21:00,  2024-04-26 05:00,337,5,0.81,228,12,0.65,228,10,0.49,228,12
58,058,  2024-04-25 22:00,  2024-04-26 06:00,212,2,0.79,228,12,0.63,228,10,0.49,228,12
59,059,  2024-04-25 23:00,  2024-04-26 07:00,177,4,0.77,228,12,0.61,228,10,0.48,228,12
