,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s]
0,000,  2024-04-27 12:00,  2024-04-27 20:00,22,5,0.34,312,15,0.24,24,5,0.25,312,15
1,001,  2024-04-27 13:00,  2024-04-27 21:00,12,6,0.35,312,15,0.24,24,5,0.25,312,15
2,002,  2024-04-27 14:00,  2024-04-27 22:00,3,4,0.36,312,15,0.26,24,5,0.26,312,15
3,003,  2024-04-27 15:00,  2024-04-27 23:00,325,2,0.38,312,15,0.27,24,5,0.27,312,15
4,004,  2024-04-27 16:00,  2024-04-28 00:00,250,2,0.39,312,22,0.28,24,5,0.27,312,22
5,005,  2024-04-27 17:00,  2024-04-28 01:00,189,4,0.4,312,22,0.29,24,4,0.28,312,22
6,006,  2024-04-27 18:00,  2024-04-28 02:00,182,6,0.41,312,22,0.29,24,4,0.29,312,22
7,007,  2024-04-27 19:00,  2024-04-28 03:00,178,8,0.41,312,22,0.29,24,4,0.29,312,22
8,008,  2024-04-27 20:00,  2024-04-28 04:00,170,8,0.42,312,21,0.29,24,4,0.3,312,22
9,009,  2024-04-27 21:00,  2024-04-28 05:00,166,9,0.42,312,21,0.29,24,5,0.31,312,20
10,010,  2024-04-27 22:00,  2024-04-28 06:00,159,8,0.43,312,20,0.29,24,5,0.32,312,20
11,011,  2024-04-27 23:00,  2024-04-28 07:00,151,9,0.44,312,20,0.29,24,5,0.33,312,20
12,012,  2024-04-28 00:00,  2024-04-28 08:00,138,8,0.45,312,20,0.3,24,5,0.34,312,20
13,013,  2024-04-28 01:00,  2024-04-28 09:00,112,8,0.46,312,20,0.3,24,5,0.34,312,20
14,014,  2024-04-28 02:00,  2024-04-28 10:00,90,8,0.47,312,20,0.31,24,5,0.35,312,20
15,015,  2024-04-28 03:00,  2024-04-28 11:00,78,8,0.48,312,20,0.32,24,5,0.36,312,20
16,016,  2024-04-28 04:00,  2024-04-28 12:00,64,9,0.48,312,20,0.32,24,5,0.36,312,20
17,017,  2024-04-28 05:00,  2024-04-28 13:00,59,11,0.5,312,20,0.35,24,5,0.37,312,20
18,018,  2024-04-28 06:00,  2024-04-28 14:00,59,13,0.62,312,20,0.49,36,5,0.37,312,20
19,019,  2024-04-28 07:00,  2024-04-28 15:00,54,14,0.73,312,20,0.63,36,3,0.37,312,20
20,020,  2024-04-28 08:00,  2024-04-28 16:00,48,13,0.79,312,19,0.69,36,4,0.38,312,20
21,021,  2024-04-28 09:00,  2024-04-28 17:00,42,13,0.8,312,19,0.7,36,4,0.38,312,18
22,022,  2024-04-28 10:00,  2024-04-28 18:00,38,12,0.79,312,19,0.68,36,4,0.39,312,18
23,023,  2024-04-28 11:00,  2024-04-28 19:00,25,11,0.76,312,19,0.65,36,5,0.39,312,18
24,024,  2024-04-28 12:00,  2024-04-28 20:00,12,11,0.74,312,18,0.63,36,5,0.4,312,18
25,025,  2024-04-28 13:00,  2024-04-28 21:00,6,10,0.72,312,18,0.6,36,5,0.4,312,18
26,026,  2024-04-28 14:00,  2024-04-28 22:00,5,7,0.7,312,18,0.58,36,5,0.4,312,18
27,027,  2024-04-28 15:00,  2024-04-28 23:00,6,5,0.69,312,18,0.56,36,5,0.4,312,18
28,028,  2024-04-28 16:00,  2024-04-29 00:00,353,4,0.68,312,18,0.54,36,5,0.41,312,18
29,029,  2024-04-28 17:00,  2024-04-29 01:00,206,4,0.67,312,18,0.53,36,5,0.4,312,18
30,030,  2024-04-28 18:00,  2024-04-29 02:00,174,11,0.65,312,18,0.51,36,5,0.4,312,18
31,031,  2024-04-28 19:00,  2024-04-29 03:00,165,12,0.65,312,18,0.51,36,6,0.4,312,18
32,032,  2024-04-28 20:00,  2024-04-29 04:00,166,12,0.65,312,18,0.51,36,6,0.4,312,18
33,033,  2024-04-28 21:00,  2024-04-29 05:00,169,12,0.65,312,18,0.51,36,6,0.4,312,18
34,034,  2024-04-28 22:00,  2024-04-29 06:00,167,12,0.67,312,18,0.54,36,6,0.4,312,18
35,035,  2024-04-28 23:00,  2024-04-29 07:00,160,10,0.68,312,17,0.56,36,6,0.4,312,17
36,036,  2024-04-29 00:00,  2024-04-29 08:00,147,10,0.7,312,17,0.57,36,6,0.4,312,17
37,037,  2024-04-29 01:00,  2024-04-29 09:00,135,10,0.7,312,17,0.57,36,6,0.4,312,17
38,038,  2024-04-29 02:00,  2024-04-29 10:00,120,8,0.68,312,17,0.56,36,6,0.4,312,17
39,039,  2024-04-29 03:00,  2024-04-29 11:00,81,8,0.67,312,17,0.53,36,6,0.4,312,17
40,040,  2024-04-29 04:00,  2024-04-29 12:00,66,12,0.68,312,17,0.55,36,6,0.4,312,17
41,041,  2024-04-29 05:00,  2024-04-29 13:00,66,15,0.8,312,17,0.69,36,6,0.4,312,17
42,042,  2024-04-29 06:00,  2024-04-29 14:00,66,15,0.91,312,17,0.81,36,4,0.4,312,17
43,043,  2024-04-29 07:00,  2024-04-29 15:00,60,15,0.94,312,17,0.86,36,4,0.4,312,17
44,044,  2024-04-29 08:00,  2024-04-29 16:00,53,14,0.95,312,17,0.86,36,4,0.4,312,17
45,045,  2024-04-29 09:00,  2024-04-29 17:00,45,12,0.9,312,16,0.81,36,6,0.39,312,17
46,046,  2024-04-29 10:00,  2024-04-29 18:00,27,10,0.85,312,16,0.76,36,6,0.39,312,17
47,047,  2024-04-29 11:00,  2024-04-29 19:00,16,10,0.81,312,16,0.72,36,6,0.38,312,17
48,048,  2024-04-29 12:00,  2024-04-29 20:00,21,10,0.79,312,16,0.69,36,6,0.38,312,17
49,049,  2024-04-29 13:00,  2024-04-29 21:00,30,8,0.76,312,16,0.66,36,6,0.38,312,17
50,050,  2024-04-29 14:00,  2024-04-29 22:00,36,7,0.74,312,16,0.64,36,6,0.37,312,17
51,051,  2024-04-29 15:00,  2024-04-29 23:00,44,7,0.72,312,16,0.62,36,6,0.37,312,17
52,052,  2024-04-29 16:00,  2024-04-30 00:00,48,7,0.7,312,16,0.6,36,6,0.36,312,17
53,053,  2024-04-29 17:00,  2024-04-30 01:00,57,6,0.69,312,16,0.59,36,6,0.36,312,17
54,054,  2024-04-29 18:00,  2024-04-30 02:00,143,7,0.69,312,16,0.59,36,6,0.36,312,17
55,055,  2024-04-29 19:00,  2024-04-30 03:00,165,14,0.68,36,16,0.59,36,6,0.35,312,15
56,056,  2024-04-29 20:00,  2024-04-30 04:00,161,14,0.69,36,16,0.6,36,6,0.35,312,15
57,057,  2024-04-29 21:00,  2024-04-30 05:00,154,12,0.75,36,16,0.67,36,7,0.34,312,15
58,058,  2024-04-29 22:00,  2024-04-30 06:00,147,11,0.77,36,7,0.69,36,7,0.34,312,15
59,059,  2024-04-29 23:00,  2024-04-30 07:00,139,10,0.77,36,7,0.7,36,7,0.34,312,15
60,060,  2024-04-30 00:00,  2024-04-30 08:00,122,13,0.79,36,7,0.73,36,7,0.33,312,15
61,061,  2024-04-30 01:00,  2024-04-30 09:00,105,16,0.86,36,7,0.8,36,7,0.33,312,15
62,062,  2024-04-30 02:00,  2024-04-30 10:00,91,18,0.99,36,7,0.94,36,7,0.32,312,15
63,063,  2024-04-30 03:00,  2024-04-30 11:00,77,18,1.11,48,7,1.07,48,7,0.32,312,15
64,064,  2024-04-30 04:00,  2024-04-30 12:00,68,18,1.2,48,4,1.16,48,4,0.32,312,15
65,065,  2024-04-30 05:00,  2024-04-30 13:00,63,17,1.23,48,5,1.19,48,4,0.31,312,15
66,066,  2024-04-30 06:00,  2024-04-30 14:00,59,16,1.2,36,5,1.17,36,5,0.3,312,15
67,067,  2024-04-30 07:00,  2024-04-30 15:00,49,16,1.16,36,6,1.13,36,6,0.3,312,15
68,068,  2024-04-30 08:00,  2024-04-30 16:00,39,15,1.12,36,6,1.08,36,6,0.3,312,15
69,069,  2024-04-30 09:00,  2024-04-30 17:00,30,14,1.08,36,6,1.04,36,6,0.29,312,15
70,070,  2024-04-30 10:00,  2024-04-30 18:00,28,14,1.05,36,7,1.02,36,6,0.29,312,15
71,071,  2024-04-30 11:00,  2024-04-30 19:00,31,12,1.04,36,7,1.0,36,6,0.29,312,15
72,072,  2024-04-30 12:00,  2024-04-30 20:00,33,11,1.02,36,7,0.99,36,7,0.29,312,15
73,073,  2024-04-30 13:00,  2024-04-30 21:00,36,9,1.01,36,7,0.97,36,7,0.29,312,15
74,074,  2024-04-30 14:00,  2024-04-30 22:00,32,10,1.0,36,7,0.96,36,7,0.29,312,15
75,075,  2024-04-30 15:00,  2024-04-30 23:00,44,8,0.98,36,7,0.95,36,7,0.29,312,9
76,076,  2024-04-30 16:00,  2024-05-01 00:00,100,6,0.96,36,7,0.93,36,7,0.29,312,9
77,077,  2024-04-30 17:00,  2024-05-01 01:00,142,10,0.94,36,7,0.9,36,7,0.3,312,9
78,078,  2024-04-30 18:00,  2024-05-01 02:00,147,12,0.91,36,7,0.87,36,7,0.3,312,9
79,079,  2024-04-30 19:00,  2024-05-01 03:00,141,11,0.89,36,7,0.85,36,7,0.3,312,9
80,080,  2024-04-30 20:00,  2024-05-01 04:00,140,11,0.87,36,7,0.83,36,7,0.29,312,9
81,081,  2024-04-30 21:00,  2024-05-01 05:00,131,12,0.86,36,7,0.82,36,7,0.29,312,9
82,082,  2024-04-30 22:00,  2024-05-01 06:00,118,14,0.89,36,7,0.86,36,7,0.28,312,9
83,083,  2024-04-30 23:00,  2024-05-01 07:00,111,16,0.93,36,7,0.9,36,7,0.27,312,9
84,084,  2024-05-01 00:00,  2024-05-01 08:00,103,18,1.04,36,7,1.02,36,7,0.27,312,9
85,085,  2024-05-01 01:00,  2024-05-01 09:00,95,20,1.17,48,7,1.14,48,7,0.26,312,9
86,086,  2024-05-01 02:00,  2024-05-01 10:00,87,20,1.28,48,4,1.26,48,4,0.25,312,9
87,087,  2024-05-01 03:00,  2024-05-01 11:00,80,20,1.34,48,5,1.32,48,5,0.24,312,14
88,088,  2024-05-01 04:00,  2024-05-01 12:00,70,18,1.37,48,5,1.35,48,5,0.24,312,14
89,089,  2024-05-01 05:00,  2024-05-01 13:00,62,18,1.4,48,6,1.38,48,6,0.24,312,9
90,090,  2024-05-01 06:00,  2024-05-01 14:00,56,18,1.42,48,7,1.4,48,7,0.25,312,9
91,091,  2024-05-01 07:00,  2024-05-01 15:00,49,17,1.38,48,7,1.36,48,7,0.25,312,9
92,092,  2024-05-01 08:00,  2024-05-01 16:00,43,15,1.31,48,7,1.29,48,7,0.25,312,9
93,093,  2024-05-01 09:00,  2024-05-01 17:00,38,14,1.22,48,7,1.21,48,7,0.25,312,9
94,094,  2024-05-01 10:00,  2024-05-01 18:00,37,12,1.14,48,7,1.12,48,7,0.24,312,9
95,095,  2024-05-01 11:00,  2024-05-01 19:00,48,10,1.06,48,7,1.04,48,7,0.23,312,9
96,096,  2024-05-01 12:00,  2024-05-01 20:00,58,9,0.99,48,7,0.97,48,7,0.23,312,9
97,097,  2024-05-01 13:00,  2024-05-01 21:00,70,9,0.93,48,7,0.91,48,7,0.22,312,9
98,098,  2024-05-01 14:00,  2024-05-01 22:00,69,10,0.89,48,7,0.87,48,7,0.22,312,9
99,099,  2024-05-01 15:00,  2024-05-01 23:00,75,10,0.85,48,7,0.83,48,7,0.21,312,9
100,100,  2024-05-01 16:00,  2024-05-02 00:00,90,11,0.81,48,7,0.79,48,7,0.21,312,9
101,101,  2024-05-01 17:00,  2024-05-02 01:00,114,11,0.78,48,7,0.75,48,7,0.21,312,14
102,102,  2024-05-01 18:00,  2024-05-02 02:00,124,10,0.75,48,7,0.72,48,7,0.2,312,14
103,103,  2024-05-01 19:00,  2024-05-02 03:00,124,10,0.73,48,7,0.7,48,7,0.2,312,14
104,104,  2024-05-01 20:00,  2024-05-02 04:00,114,12,0.74,48,7,0.72,48,7,0.2,312,14
105,105,  2024-05-01 21:00,  2024-05-02 05:00,109,15,0.8,48,7,0.78,48,6,0.2,312,14
106,106,  2024-05-01 22:00,  2024-05-02 06:00,106,16,0.89,48,7,0.87,48,6,0.2,312,14
107,107,  2024-05-01 23:00,  2024-05-02 07:00,106,18,1.01,48,4,0.99,48,4,0.19,312,14
108,108,  2024-05-02 00:00,  2024-05-02 08:00,102,21,1.18,60,4,1.16,60,4,0.19,312,14
