,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s]
0,000,  2024-04-28 12:00,  2024-04-28 20:00,238,7,1.28,240,17,0.39,204,9,1.22,240,17
1,001,  2024-04-28 13:00,  2024-04-28 21:00,228,7,1.28,240,16,0.38,204,9,1.23,240,17
2,002,  2024-04-28 14:00,  2024-04-28 22:00,218,7,1.28,240,16,0.37,204,9,1.23,240,17
3,003,  2024-04-28 15:00,  2024-04-28 23:00,207,7,1.28,240,16,0.36,204,9,1.24,240,17
4,004,  2024-04-28 16:00,  2024-04-29 00:00,198,5,1.29,240,16,0.36,204,9,1.24,240,17
5,005,  2024-04-28 17:00,  2024-04-29 01:00,194,5,1.29,240,16,0.35,204,9,1.24,240,17
6,006,  2024-04-28 18:00,  2024-04-29 02:00,192,6,1.29,240,16,0.36,204,9,1.24,240,17
7,007,  2024-04-28 19:00,  2024-04-29 03:00,188,6,1.29,240,16,0.38,204,9,1.24,240,17
8,008,  2024-04-28 20:00,  2024-04-29 04:00,186,5,1.3,240,16,0.41,204,9,1.24,240,17
9,009,  2024-04-28 21:00,  2024-04-29 05:00,184,4,1.31,240,16,0.46,204,9,1.24,240,15
10,010,  2024-04-28 22:00,  2024-04-29 06:00,171,4,1.33,240,15,0.52,204,9,1.24,240,15
11,011,  2024-04-28 23:00,  2024-04-29 07:00,163,5,1.35,240,15,0.57,204,9,1.23,240,15
12,012,  2024-04-29 00:00,  2024-04-29 08:00,149,6,1.36,240,15,0.61,204,9,1.23,240,15
13,013,  2024-04-29 01:00,  2024-04-29 09:00,114,6,1.37,228,15,0.63,204,9,1.23,228,15
14,014,  2024-04-29 02:00,  2024-04-29 10:00,87,6,1.36,228,15,0.63,204,9,1.22,228,15
15,015,  2024-04-29 03:00,  2024-04-29 11:00,87,4,1.35,228,15,0.62,204,9,1.21,228,15
16,016,  2024-04-29 04:00,  2024-04-29 12:00,132,1,1.34,228,15,0.61,204,9,1.21,228,15
17,017,  2024-04-29 05:00,  2024-04-29 13:00,247,4,1.33,228,15,0.59,204,9,1.2,228,15
18,018,  2024-04-29 06:00,  2024-04-29 14:00,247,8,1.31,228,15,0.58,204,9,1.19,228,15
19,019,  2024-04-29 07:00,  2024-04-29 15:00,240,10,1.3,228,15,0.57,204,9,1.18,228,15
20,020,  2024-04-29 08:00,  2024-04-29 16:00,229,11,1.29,228,15,0.57,204,9,1.17,228,15
21,021,  2024-04-29 09:00,  2024-04-29 17:00,215,12,1.3,228,15,0.61,204,9,1.16,228,15
22,022,  2024-04-29 10:00,  2024-04-29 18:00,202,11,1.29,228,15,0.6,204,9,1.15,228,15
23,023,  2024-04-29 11:00,  2024-04-29 19:00,191,10,1.27,228,15,0.58,204,9,1.14,228,15
24,024,  2024-04-29 12:00,  2024-04-29 20:00,187,9,1.25,228,15,0.57,216,9,1.12,228,15
25,025,  2024-04-29 13:00,  2024-04-29 21:00,184,9,1.23,228,15,0.55,216,9,1.11,228,15
26,026,  2024-04-29 14:00,  2024-04-29 22:00,178,9,1.21,228,14,0.54,216,9,1.1,228,15
27,027,  2024-04-29 15:00,  2024-04-29 23:00,171,10,1.2,228,14,0.54,216,9,1.09,228,15
28,028,  2024-04-29 16:00,  2024-04-30 00:00,170,9,1.2,228,14,0.54,216,9,1.08,228,14
29,029,  2024-04-29 17:00,  2024-04-30 01:00,157,9,1.19,228,14,0.53,216,9,1.07,228,14
30,030,  2024-04-29 18:00,  2024-04-30 02:00,126,9,1.18,228,14,0.53,216,9,1.07,228,14
31,031,  2024-04-29 19:00,  2024-04-30 03:00,128,8,1.17,228,14,0.52,216,9,1.06,228,14
32,032,  2024-04-29 20:00,  2024-04-30 04:00,124,6,1.16,228,14,0.52,216,9,1.06,228,14
33,033,  2024-04-29 21:00,  2024-04-30 05:00,110,8,1.16,228,14,0.51,216,9,1.05,228,14
34,034,  2024-04-29 22:00,  2024-04-30 06:00,127,7,1.15,228,14,0.51,216,9,1.05,228,14
35,035,  2024-04-29 23:00,  2024-04-30 07:00,142,7,1.15,228,14,0.51,216,9,1.05,228,14
36,036,  2024-04-30 00:00,  2024-04-30 08:00,148,8,1.14,228,14,0.5,216,9,1.04,228,14
37,037,  2024-04-30 01:00,  2024-04-30 09:00,147,9,1.14,228,14,0.51,216,9,1.03,228,14
38,038,  2024-04-30 02:00,  2024-04-30 10:00,144,9,1.13,228,14,0.51,216,9,1.03,228,14
