,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s],sw2_ht[m],sw2_dir[degree],sw2_pd[s]
0,000,  2024-04-25 18:00,  2024-04-26 02:00,133,15,1.62,204,11,1.33,192,5,0.92,204,11,0.22,228,17
1,001,  2024-04-25 19:00,  2024-04-26 03:00,132,15,1.58,204,12,1.29,192,5,0.92,204,11,0.23,228,17
2,002,  2024-04-25 20:00,  2024-04-26 04:00,136,14,1.55,204,12,1.25,192,5,0.92,204,11,0.24,228,17
3,003,  2024-04-25 21:00,  2024-04-26 05:00,140,14,1.52,204,12,1.21,192,6,0.91,204,11,0.25,228,17
4,004,  2024-04-25 22:00,  2024-04-26 06:00,138,14,1.5,204,12,1.18,192,6,0.92,204,12,0.26,228,17
5,005,  2024-04-25 23:00,  2024-04-26 07:00,130,14,1.47,204,12,1.14,192,9,0.92,204,12,0.27,228,17
6,006,  2024-04-26 00:00,  2024-04-26 08:00,123,16,1.46,204,12,1.13,192,9,0.92,204,12,0.28,228,17
7,007,  2024-04-26 01:00,  2024-04-26 09:00,127,14,1.43,204,12,1.08,192,9,0.92,204,12,0.29,228,17
8,008,  2024-04-26 02:00,  2024-04-26 10:00,137,13,1.38,204,13,1.02,192,9,0.92,204,12,0.3,228,17
9,009,  2024-04-26 03:00,  2024-04-26 11:00,135,10,1.33,204,13,0.95,192,9,0.92,216,12,0.31,228,17
10,010,  2024-04-26 04:00,  2024-04-26 12:00,132,7,1.29,204,13,0.88,192,9,0.92,216,12,0.32,228,17
11,011,  2024-04-26 05:00,  2024-04-26 13:00,171,6,1.25,204,13,0.83,192,9,0.91,216,12,0.32,228,17
12,012,  2024-04-26 06:00,  2024-04-26 14:00,189,8,1.22,204,13,0.78,192,9,0.91,216,12,0.33,228,17
13,013,  2024-04-26 07:00,  2024-04-26 15:00,194,7,1.2,216,16,0.75,192,9,0.91,216,17,0.33,228,17
14,014,  2024-04-26 08:00,  2024-04-26 16:00,198,7,1.19,216,16,0.73,192,9,0.91,216,17,0.34,228,17
15,015,  2024-04-26 09:00,  2024-04-26 17:00,196,8,1.18,216,16,0.72,192,9,0.91,216,17,0.34,228,17
16,016,  2024-04-26 10:00,  2024-04-26 18:00,197,8,1.18,216,16,0.71,192,9,0.91,216,15,0.34,228,17
17,017,  2024-04-26 11:00,  2024-04-26 19:00,192,8,1.17,216,15,0.7,192,9,0.91,216,15,0.34,228,17
18,018,  2024-04-26 12:00,  2024-04-26 20:00,185,10,1.16,216,15,0.69,192,9,0.91,216,15,0.33,228,17
19,019,  2024-04-26 13:00,  2024-04-26 21:00,180,11,1.17,216,15,0.69,192,9,0.92,216,15,0.33,228,17
20,020,  2024-04-26 14:00,  2024-04-26 22:00,173,11,1.18,216,15,0.7,192,9,0.92,216,15,0.32,228,17
21,021,  2024-04-26 15:00,  2024-04-26 23:00,156,11,1.19,216,15,0.72,192,9,0.93,216,15,0.32,240,17
22,022,  2024-04-26 16:00,  2024-04-27 00:00,147,12,1.22,216,15,0.76,204,9,0.93,216,15,0.31,240,17
23,023,  2024-04-26 17:00,  2024-04-27 01:00,149,12,1.27,216,15,0.83,204,9,0.94,216,15,0.31,240,17
24,024,  2024-04-26 18:00,  2024-04-27 02:00,147,12,1.33,216,15,0.91,204,9,0.94,216,15,0.3,240,17
25,025,  2024-04-26 19:00,  2024-04-27 03:00,138,12,1.38,216,15,0.98,204,5,0.94,216,15,0.3,240,17
26,026,  2024-04-26 20:00,  2024-04-27 04:00,127,11,1.41,216,15,1.03,204,5,0.95,216,15,0.3,240,17
27,027,  2024-04-26 21:00,  2024-04-27 05:00,118,10,1.42,204,15,1.04,204,6,0.95,216,15,0.3,240,17
28,028,  2024-04-26 22:00,  2024-04-27 06:00,102,7,1.43,204,15,1.05,204,6,0.95,216,15,0.3,240,17
29,029,  2024-04-26 23:00,  2024-04-27 07:00,94,5,1.42,204,15,1.04,204,6,0.95,216,15,0.31,240,17
30,030,  2024-04-27 00:00,  2024-04-27 08:00,79,4,1.42,204,15,1.03,204,6,0.95,216,15,0.32,240,17
31,031,  2024-04-27 01:00,  2024-04-27 09:00,65,4,1.4,204,15,1.01,204,6,0.94,216,15,0.33,240,17
32,032,  2024-04-27 02:00,  2024-04-27 10:00,35,3,1.38,204,14,0.98,192,7,0.94,216,15,0.34,240,17
33,033,  2024-04-27 03:00,  2024-04-27 11:00,354,4,1.36,204,14,0.95,192,7,0.94,216,15,0.35,240,17
34,034,  2024-04-27 04:00,  2024-04-27 12:00,323,5,1.34,204,14,0.92,192,7,0.93,216,14,0.36,240,17
35,035,  2024-04-27 05:00,  2024-04-27 13:00,306,6,1.32,216,14,0.89,192,7,0.93,216,14,0.37,240,17
36,036,  2024-04-27 06:00,  2024-04-27 14:00,293,7,1.3,216,14,0.86,192,7,0.92,216,14,0.39,240,17
37,037,  2024-04-27 07:00,  2024-04-27 15:00,283,8,1.29,216,14,0.84,192,8,0.91,216,14,0.41,240,22
38,038,  2024-04-27 08:00,  2024-04-27 16:00,270,8,1.28,216,14,0.81,192,8,0.91,216,14,0.44,240,20
39,039,  2024-04-27 09:00,  2024-04-27 17:00,258,8,1.27,216,14,0.79,192,8,0.9,216,14,0.46,240,20
40,040,  2024-04-27 10:00,  2024-04-27 18:00,249,9,1.26,228,14,0.77,192,8,0.9,228,14,0.49,240,20
41,041,  2024-04-27 11:00,  2024-04-27 19:00,237,8,1.26,228,14,0.74,192,8,0.9,228,14,0.53,240,20
42,042,  2024-04-27 12:00,  2024-04-27 20:00,221,8,1.25,228,14,0.72,192,8,0.89,228,14,0.56,240,20
43,043,  2024-04-27 13:00,  2024-04-27 21:00,205,7,1.25,228,20,0.69,192,8,0.89,228,14,0.58,240,20
44,044,  2024-04-27 14:00,  2024-04-27 22:00,187,6,1.25,228,20,0.67,192,8,0.89,228,14,0.61,240,20
45,045,  2024-04-27 15:00,  2024-04-27 23:00,196,6,1.25,228,20,0.65,192,8,0.89,228,14,0.63,240,20
46,046,  2024-04-27 16:00,  2024-04-28 00:00,197,4,1.25,228,20,0.62,192,9,0.89,228,14,0.65,240,20
47,047,  2024-04-27 17:00,  2024-04-28 01:00,203,3,1.25,228,19,0.6,192,9,0.9,228,14,0.68,240,20
48,048,  2024-04-27 18:00,  2024-04-28 02:00,233,3,1.26,228,19,0.59,192,9,0.91,228,14,0.7,240,20
49,049,  2024-04-27 19:00,  2024-04-28 03:00,266,3,1.27,228,19,0.58,192,9,0.92,228,17,0.72,240,18
50,050,  2024-04-27 20:00,  2024-04-28 04:00,259,3,1.29,228,18,0.58,192,9,0.94,228,17,0.74,240,18
51,051,  2024-04-27 21:00,  2024-04-28 05:00,241,4,1.32,228,18,0.6,192,9,0.96,228,17,0.76,240,18
52,052,  2024-04-27 22:00,  2024-04-28 06:00,231,5,1.36,228,18,0.64,192,8,0.97,228,17,0.78,240,18
53,053,  2024-04-27 23:00,  2024-04-28 07:00,231,5,1.4,228,18,0.69,192,8,0.99,228,17,0.79,240,18
54,054,  2024-04-28 00:00,  2024-04-28 08:00,225,4,1.44,228,18,0.73,192,8,1.01,228,17,0.81,240,18
55,055,  2024-04-28 01:00,  2024-04-28 09:00,220,3,1.46,228,18,0.75,192,8,1.03,228,17,0.81,240,18
56,056,  2024-04-28 02:00,  2024-04-28 10:00,231,2,1.48,228,18,0.77,192,8,1.04,228,17,0.81,240,18
57,057,  2024-04-28 03:00,  2024-04-28 11:00,292,2,1.48,228,18,0.77,192,8,1.05,228,17,0.81,240,18
58,058,  2024-04-28 04:00,  2024-04-28 12:00,295,3,1.48,228,18,0.76,192,8,1.06,228,17,0.8,240,18
59,059,  2024-04-28 05:00,  2024-04-28 13:00,277,5,1.48,228,18,0.75,192,8,1.08,228,17,0.79,240,18
60,060,  2024-04-28 06:00,  2024-04-28 14:00,267,6,1.48,228,17,0.74,192,8,1.09,228,17,0.78,240,18
61,061,  2024-04-28 07:00,  2024-04-28 15:00,252,7,1.48,228,17,0.73,192,8,1.1,228,17,0.76,240,17
62,062,  2024-04-28 08:00,  2024-04-28 16:00,237,8,1.48,228,17,0.72,192,8,1.12,228,17,0.75,240,17
63,063,  2024-04-28 09:00,  2024-04-28 17:00,229,7,1.48,228,17,0.72,192,8,1.14,228,17,0.75,240,17
64,064,  2024-04-28 10:00,  2024-04-28 18:00,222,7,1.49,228,17,0.71,192,8,1.16,228,17,0.74,240,17
65,065,  2024-04-28 11:00,  2024-04-28 19:00,209,8,1.5,228,16,0.7,192,8,1.18,228,17,0.74,240,17
66,066,  2024-04-28 12:00,  2024-04-28 20:00,199,9,1.51,228,16,0.69,192,8,1.2,228,17,0.73,240,17
67,067,  2024-04-28 13:00,  2024-04-28 21:00,197,10,1.52,228,16,0.69,192,8,1.22,228,17,0.73,240,17
68,068,  2024-04-28 14:00,  2024-04-28 22:00,192,10,1.52,228,16,0.68,192,8,1.24,228,17,0.72,240,17
69,069,  2024-04-28 15:00,  2024-04-28 23:00,182,9,1.53,228,16,0.67,192,8,1.25,228,17,0.7,240,17
70,070,  2024-04-28 16:00,  2024-04-29 00:00,178,8,1.53,228,16,0.66,192,8,1.27,228,17,0.69,240,17
71,071,  2024-04-28 17:00,  2024-04-29 01:00,176,8,1.53,228,16,0.66,192,9,1.28,228,17,0.67,240,17
72,072,  2024-04-28 18:00,  2024-04-29 02:00,178,8,1.54,228,16,0.66,192,9,1.3,228,17,0.65,240,17
73,073,  2024-04-28 19:00,  2024-04-29 03:00,189,8,1.55,228,16,0.68,192,9,1.31,228,17,0.62,240,17
74,074,  2024-04-28 20:00,  2024-04-29 04:00,195,8,1.57,228,15,0.72,192,9,1.32,228,15,0.6,240,17
75,075,  2024-04-28 21:00,  2024-04-29 05:00,181,6,1.6,228,15,0.77,192,9,1.34,228,15,0.57,240,17
76,076,  2024-04-28 22:00,  2024-04-29 06:00,171,8,1.53,228,15,0.65,192,9,1.33,228,15,0.54,240,17
77,077,  2024-04-28 23:00,  2024-04-29 07:00,136,5,1.55,228,15,0.69,192,9,1.34,228,15,0.52,240,17
78,078,  2024-04-29 00:00,  2024-04-29 08:00,104,4,1.57,228,15,0.73,192,9,1.35,228,15,0.5,240,17
79,079,  2024-04-29 01:00,  2024-04-29 09:00,83,4,1.59,228,15,0.75,192,9,1.36,228,15,0.48,240,17
80,080,  2024-04-29 02:00,  2024-04-29 10:00,79,4,1.59,228,15,0.76,192,9,1.37,228,15,0.46,240,17
81,081,  2024-04-29 03:00,  2024-04-29 11:00,94,3,1.59,228,15,0.76,192,9,1.37,228,15,0.44,240,17
82,082,  2024-04-29 04:00,  2024-04-29 12:00,202,1,1.59,228,15,0.76,192,9,1.37,228,15,0.42,240,17
83,083,  2024-04-29 05:00,  2024-04-29 13:00,231,5,1.58,228,15,0.75,192,9,1.37,228,15,0.41,240,17
84,084,  2024-04-29 06:00,  2024-04-29 14:00,235,6,1.57,228,15,0.73,192,9,1.37,228,15,0.4,240,17
85,085,  2024-04-29 07:00,  2024-04-29 15:00,228,7,1.56,228,15,0.72,192,9,1.37,228,15,0.39,240,17
86,086,  2024-04-29 08:00,  2024-04-29 16:00,216,7,1.55,228,15,0.71,192,9,1.36,228,15,0.37,240,17
87,087,  2024-04-29 09:00,  2024-04-29 17:00,209,8,1.54,228,15,0.7,192,9,1.35,228,15,0.36,240,17
88,088,  2024-04-29 10:00,  2024-04-29 18:00,205,9,1.53,228,14,0.69,192,9,1.35,228,15,0.35,240,17
89,089,  2024-04-29 11:00,  2024-04-29 19:00,195,9,1.52,228,14,0.68,192,9,1.34,228,15,0.34,240,17
90,090,  2024-04-29 12:00,  2024-04-29 20:00,187,9,1.51,228,14,0.68,192,9,1.33,228,14,0.34,240,17
91,091,  2024-04-29 13:00,  2024-04-29 21:00,188,10,1.5,216,14,0.68,192,9,1.33,228,14,0.33,240,17
92,092,  2024-04-29 14:00,  2024-04-29 22:00,189,10,1.49,216,14,0.68,204,9,1.32,228,14,0.32,240,17
93,093,  2024-04-29 15:00,  2024-04-29 23:00,184,10,1.49,216,14,0.7,204,9,1.31,228,14,0.31,240,17
94,094,  2024-04-29 16:00,  2024-04-30 00:00,184,11,1.5,216,14,0.72,204,9,1.31,216,14,0.3,240,17
95,095,  2024-04-29 17:00,  2024-04-30 01:00,175,10,1.5,216,14,0.72,204,9,1.3,216,14,0.29,240,17
96,096,  2024-04-29 18:00,  2024-04-30 02:00,115,8,1.49,216,14,0.72,204,9,1.3,216,14,0.29,240,17
97,097,  2024-04-29 19:00,  2024-04-30 03:00,115,7,1.48,216,14,0.71,204,9,1.3,216,14,0.28,228,17
98,098,  2024-04-29 20:00,  2024-04-30 04:00,143,7,1.48,216,14,0.7,204,9,1.29,216,14,0.28,228,17
99,099,  2024-04-29 21:00,  2024-04-30 05:00,157,6,1.47,216,14,0.7,204,9,1.29,216,14,0.27,228,17
100,100,  2024-04-29 22:00,  2024-04-30 06:00,165,6,1.47,216,14,0.7,204,9,1.29,216,14,0.27,228,17
101,101,  2024-04-29 23:00,  2024-04-30 07:00,173,8,1.47,216,13,0.7,204,9,1.29,216,14,0.26,228,17
102,102,  2024-04-30 00:00,  2024-04-30 08:00,172,9,1.47,216,13,0.7,204,9,1.29,216,14,0.26,228,17
103,103,  2024-04-30 01:00,  2024-04-30 09:00,161,10,1.47,216,13,0.71,204,9,1.29,216,14,0.26,228,17
104,104,  2024-04-30 02:00,  2024-04-30 10:00,152,11,1.47,216,13,0.71,204,9,1.29,216,14,0.25,228,17
105,105,  2024-04-30 03:00,  2024-04-30 11:00,138,11,1.47,216,13,0.73,204,9,1.28,216,14,0.25,228,17
106,106,  2024-04-30 04:00,  2024-04-30 12:00,144,10,1.48,216,13,0.75,204,9,1.28,216,14,0.24,228,17
