,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s]
0,000,  2024-04-28 12:00,  2024-04-28 20:00,225,8,1.46,228,16,0.59,192,8,1.34,228,17
1,001,  2024-04-28 13:00,  2024-04-28 21:00,211,7,1.46,228,16,0.58,192,8,1.35,228,17
2,002,  2024-04-28 14:00,  2024-04-28 22:00,200,8,1.47,228,16,0.57,192,8,1.36,228,17
3,003,  2024-04-28 15:00,  2024-04-28 23:00,195,8,1.47,228,16,0.56,192,8,1.37,228,17
4,004,  2024-04-28 16:00,  2024-04-29 00:00,194,9,1.48,228,16,0.55,192,8,1.38,228,17
5,005,  2024-04-28 17:00,  2024-04-29 01:00,189,10,1.49,228,16,0.56,192,8,1.39,228,17
6,006,  2024-04-28 18:00,  2024-04-29 02:00,180,10,1.5,228,16,0.58,192,8,1.39,228,17
7,007,  2024-04-28 19:00,  2024-04-29 03:00,174,9,1.52,228,16,0.62,192,8,1.4,228,17
8,008,  2024-04-28 20:00,  2024-04-29 04:00,169,8,1.55,228,15,0.68,192,8,1.4,228,15
9,009,  2024-04-28 21:00,  2024-04-29 05:00,165,7,1.59,228,15,0.76,192,8,1.41,228,15
10,010,  2024-04-28 22:00,  2024-04-29 06:00,161,7,1.64,228,15,0.85,192,9,1.42,228,15
11,011,  2024-04-28 23:00,  2024-04-29 07:00,160,8,1.68,228,15,0.93,192,9,1.43,228,15
12,012,  2024-04-29 00:00,  2024-04-29 08:00,155,9,1.72,228,15,0.98,192,9,1.43,228,15
13,013,  2024-04-29 01:00,  2024-04-29 09:00,143,9,1.73,228,15,1.0,192,9,1.44,228,15
14,014,  2024-04-29 02:00,  2024-04-29 10:00,118,8,1.73,228,15,1.0,192,9,1.44,228,15
15,015,  2024-04-29 03:00,  2024-04-29 11:00,103,7,1.72,228,15,0.98,192,9,1.43,228,15
16,016,  2024-04-29 04:00,  2024-04-29 12:00,100,4,1.7,228,15,0.96,192,9,1.42,228,15
17,017,  2024-04-29 05:00,  2024-04-29 13:00,162,2,1.67,228,15,0.92,192,9,1.41,228,15
18,018,  2024-04-29 06:00,  2024-04-29 14:00,210,5,1.64,228,15,0.89,192,9,1.4,228,15
19,019,  2024-04-29 07:00,  2024-04-29 15:00,212,8,1.62,228,15,0.86,192,9,1.39,228,15
20,020,  2024-04-29 08:00,  2024-04-29 16:00,210,10,1.6,228,15,0.83,192,9,1.38,228,15
21,021,  2024-04-29 09:00,  2024-04-29 17:00,202,10,1.57,228,15,0.81,192,9,1.37,228,15
22,022,  2024-04-29 10:00,  2024-04-29 18:00,189,11,1.56,228,14,0.79,192,9,1.36,228,15
23,023,  2024-04-29 11:00,  2024-04-29 19:00,181,11,1.54,228,14,0.78,192,9,1.34,228,15
24,024,  2024-04-29 12:00,  2024-04-29 20:00,180,11,1.52,228,14,0.77,192,9,1.33,228,15
25,025,  2024-04-29 13:00,  2024-04-29 21:00,180,11,1.51,228,14,0.76,192,9,1.32,228,14
26,026,  2024-04-29 14:00,  2024-04-29 22:00,177,11,1.5,228,14,0.76,192,9,1.31,228,14
27,027,  2024-04-29 15:00,  2024-04-29 23:00,172,12,1.49,228,14,0.76,204,9,1.3,228,14
28,028,  2024-04-29 16:00,  2024-04-30 00:00,168,12,1.49,216,14,0.77,204,9,1.3,228,14
29,029,  2024-04-29 17:00,  2024-04-30 01:00,163,12,1.49,216,14,0.78,204,9,1.29,228,14
30,030,  2024-04-29 18:00,  2024-04-30 02:00,160,12,1.49,216,14,0.78,204,9,1.29,216,14
31,031,  2024-04-29 19:00,  2024-04-30 03:00,140,11,1.48,216,14,0.78,204,9,1.28,216,14
32,032,  2024-04-29 20:00,  2024-04-30 04:00,120,11,1.47,216,14,0.76,204,9,1.28,216,14
33,033,  2024-04-29 21:00,  2024-04-30 05:00,110,10,1.46,216,14,0.75,204,9,1.28,216,14
34,034,  2024-04-29 22:00,  2024-04-30 06:00,123,10,1.46,216,13,0.74,204,9,1.28,216,14
35,035,  2024-04-29 23:00,  2024-04-30 07:00,124,11,1.45,216,13,0.74,204,9,1.27,216,14
36,036,  2024-04-30 00:00,  2024-04-30 08:00,133,12,1.46,216,13,0.75,204,9,1.27,216,14
37,037,  2024-04-30 01:00,  2024-04-30 09:00,145,12,1.46,216,13,0.77,204,9,1.27,216,14
38,038,  2024-04-30 02:00,  2024-04-30 10:00,154,11,1.46,216,13,0.77,204,9,1.26,216,14
39,039,  2024-04-30 03:00,  2024-04-30 11:00,161,11,1.45,216,13,0.77,204,9,1.26,216,14
40,040,  2024-04-30 04:00,  2024-04-30 12:00,164,10,1.44,216,13,0.76,204,9,1.25,216,14
41,041,  2024-04-30 05:00,  2024-04-30 13:00,178,12,1.44,216,13,0.78,204,9,1.24,216,14
42,042,  2024-04-30 06:00,  2024-04-30 14:00,181,14,1.46,216,13,0.83,204,9,1.23,216,14
43,043,  2024-04-30 07:00,  2024-04-30 15:00,178,13,1.48,216,13,0.88,204,9,1.22,216,14
44,044,  2024-04-30 08:00,  2024-04-30 16:00,172,12,1.48,216,13,0.89,204,9,1.21,216,14
45,045,  2024-04-30 09:00,  2024-04-30 17:00,166,12,1.47,216,13,0.89,204,9,1.2,216,14
46,046,  2024-04-30 10:00,  2024-04-30 18:00,166,12,1.46,216,13,0.89,204,9,1.19,216,14
47,047,  2024-04-30 11:00,  2024-04-30 19:00,166,12,1.45,216,13,0.89,204,9,1.18,216,14
48,048,  2024-04-30 12:00,  2024-04-30 20:00,166,11,1.44,216,13,0.88,204,9,1.17,216,14
49,049,  2024-04-30 13:00,  2024-04-30 21:00,166,11,1.43,216,13,0.87,204,9,1.16,216,14
50,050,  2024-04-30 14:00,  2024-04-30 22:00,168,10,1.42,216,13,0.86,204,9,1.15,216,14
51,051,  2024-04-30 15:00,  2024-04-30 23:00,167,9,1.4,216,13,0.85,204,9,1.14,216,14
52,052,  2024-04-30 16:00,  2024-05-01 00:00,153,8,1.38,216,13,0.83,204,9,1.13,216,14
53,053,  2024-04-30 17:00,  2024-05-01 01:00,137,9,1.37,216,13,0.82,204,9,1.12,216,14
54,054,  2024-04-30 18:00,  2024-05-01 02:00,135,10,1.36,216,13,0.82,204,9,1.12,216,14
55,055,  2024-04-30 19:00,  2024-05-01 03:00,144,10,1.36,216,13,0.82,204,9,1.11,216,12
56,056,  2024-04-30 20:00,  2024-05-01 04:00,145,9,1.35,216,13,0.82,204,9,1.1,216,12
57,057,  2024-04-30 21:00,  2024-05-01 05:00,123,9,1.35,216,13,0.82,204,9,1.1,216,12
58,058,  2024-04-30 22:00,  2024-05-01 06:00,103,8,1.35,216,13,0.82,204,9,1.09,216,12
59,059,  2024-04-30 23:00,  2024-05-01 07:00,68,4,1.34,216,13,0.82,204,9,1.08,216,12
60,060,  2024-05-01 00:00,  2024-05-01 08:00,3,6,1.32,216,12,0.8,204,9,1.07,216,12
61,061,  2024-05-01 01:00,  2024-05-01 09:00,356,8,1.3,216,12,0.78,204,9,1.06,216,12
62,062,  2024-05-01 02:00,  2024-05-01 10:00,11,10,1.27,216,12,0.75,204,9,1.05,216,12
63,063,  2024-05-01 03:00,  2024-05-01 11:00,4,12,1.24,216,12,0.72,204,9,1.04,216,12
64,064,  2024-05-01 04:00,  2024-05-01 12:00,359,13,1.22,216,12,0.71,204,9,1.02,216,12
65,065,  2024-05-01 05:00,  2024-05-01 13:00,2,14,1.26,216,12,0.79,204,9,1.01,216,12
66,066,  2024-05-01 06:00,  2024-05-01 14:00,355,12,1.25,216,12,0.79,204,9,0.99,216,12
67,067,  2024-05-01 07:00,  2024-05-01 15:00,342,9,1.21,216,12,0.76,204,9,0.98,216,12
68,068,  2024-05-01 08:00,  2024-05-01 16:00,315,7,1.18,216,12,0.73,204,9,0.96,216,12
69,069,  2024-05-01 09:00,  2024-05-01 17:00,286,7,1.15,216,12,0.7,204,9,0.94,216,12
70,070,  2024-05-01 10:00,  2024-05-01 18:00,258,7,1.12,216,12,0.67,204,9,0.93,216,12
71,071,  2024-05-01 11:00,  2024-05-01 19:00,242,8,1.1,216,12,0.65,204,9,0.91,216,12
