,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s]
0,000,  2024-04-25 12:00,  2024-04-25 20:00,67,10,0.82,240,13,0.53,240,9,0.63,240,14
1,001,  2024-04-25 13:00,  2024-04-25 21:00,63,11,0.81,240,13,0.54,240,9,0.62,240,14
2,002,  2024-04-25 14:00,  2024-04-25 22:00,64,11,0.82,240,13,0.55,240,9,0.61,240,14
3,003,  2024-04-25 15:00,  2024-04-25 23:00,66,12,0.83,240,13,0.58,240,9,0.6,240,14
4,004,  2024-04-25 16:00,  2024-04-26 00:00,66,12,0.85,240,13,0.62,240,9,0.59,240,14
5,005,  2024-04-25 17:00,  2024-04-26 01:00,61,12,0.87,240,13,0.65,240,9,0.58,240,14
6,006,  2024-04-25 18:00,  2024-04-26 02:00,62,12,0.89,240,13,0.68,240,4,0.58,240,14
7,007,  2024-04-25 19:00,  2024-04-26 03:00,70,12,0.9,240,13,0.71,240,4,0.57,240,14
8,008,  2024-04-25 20:00,  2024-04-26 04:00,79,11,0.92,240,13,0.73,240,4,0.56,240,14
9,009,  2024-04-25 21:00,  2024-04-26 05:00,89,11,0.94,240,13,0.76,240,4,0.56,240,14
10,010,  2024-04-25 22:00,  2024-04-26 06:00,93,12,0.98,240,13,0.81,72,5,0.55,240,14
11,011,  2024-04-25 23:00,  2024-04-26 07:00,92,13,1.03,240,13,0.88,84,5,0.54,240,14
12,012,  2024-04-26 00:00,  2024-04-26 08:00,94,14,1.09,240,13,0.96,84,5,0.53,240,12
13,013,  2024-04-26 01:00,  2024-04-26 09:00,96,15,1.15,240,13,1.03,84,6,0.53,240,12
14,014,  2024-04-26 02:00,  2024-04-26 10:00,103,15,1.19,240,6,1.07,84,6,0.52,240,12
15,015,  2024-04-26 03:00,  2024-04-26 11:00,113,14,1.19,240,6,1.08,84,6,0.51,240,12
16,016,  2024-04-26 04:00,  2024-04-26 12:00,115,14,1.17,240,5,1.06,84,5,0.5,240,12
17,017,  2024-04-26 05:00,  2024-04-26 13:00,113,14,1.15,240,5,1.05,84,5,0.49,240,12
18,018,  2024-04-26 06:00,  2024-04-26 14:00,110,14,1.14,240,5,1.03,84,5,0.48,240,12
19,019,  2024-04-26 07:00,  2024-04-26 15:00,101,14,1.12,240,5,1.02,84,5,0.48,240,12
20,020,  2024-04-26 08:00,  2024-04-26 16:00,92,15,1.12,240,5,1.02,72,5,0.47,240,12
21,021,  2024-04-26 09:00,  2024-04-26 17:00,85,14,1.11,240,5,1.02,72,5,0.46,240,12
22,022,  2024-04-26 10:00,  2024-04-26 18:00,76,14,1.11,240,5,1.02,72,5,0.45,240,12
23,023,  2024-04-26 11:00,  2024-04-26 19:00,71,14,1.13,240,5,1.04,72,5,0.45,240,12
24,024,  2024-04-26 12:00,  2024-04-26 20:00,69,14,1.15,240,5,1.07,72,5,0.44,240,12
25,025,  2024-04-26 13:00,  2024-04-26 21:00,68,14,1.18,60,5,1.1,72,5,0.43,240,12
26,026,  2024-04-26 14:00,  2024-04-26 22:00,66,14,1.22,60,5,1.14,60,5,0.43,240,12
27,027,  2024-04-26 15:00,  2024-04-26 23:00,67,14,1.26,60,6,1.19,60,6,0.42,240,12
28,028,  2024-04-26 16:00,  2024-04-27 00:00,68,14,1.3,60,6,1.24,60,6,0.41,240,12
29,029,  2024-04-26 17:00,  2024-04-27 01:00,64,14,1.35,60,6,1.28,60,6,0.41,240,12
30,030,  2024-04-26 18:00,  2024-04-27 02:00,63,13,1.37,60,6,1.31,60,6,0.41,240,12
31,031,  2024-04-26 19:00,  2024-04-27 03:00,64,13,1.38,60,6,1.33,60,6,0.4,240,12
32,032,  2024-04-26 20:00,  2024-04-27 04:00,69,13,1.4,60,6,1.34,60,6,0.4,240,12
33,033,  2024-04-26 21:00,  2024-04-27 05:00,77,12,1.4,60,7,1.34,60,6,0.4,240,12
34,034,  2024-04-26 22:00,  2024-04-27 06:00,88,13,1.38,60,7,1.33,60,6,0.39,240,12
35,035,  2024-04-26 23:00,  2024-04-27 07:00,100,14,1.38,60,7,1.32,60,6,0.39,240,12
36,036,  2024-04-27 00:00,  2024-04-27 08:00,103,19,1.44,60,6,1.39,60,6,0.38,240,12
37,037,  2024-04-27 01:00,  2024-04-27 09:00,104,19,1.51,60,6,1.47,60,6,0.38,240,12
38,038,  2024-04-27 02:00,  2024-04-27 10:00,102,19,1.57,72,6,1.53,60,6,0.37,240,12
39,039,  2024-04-27 03:00,  2024-04-27 11:00,99,19,1.62,72,6,1.58,60,6,0.37,240,12
40,040,  2024-04-27 04:00,  2024-04-27 12:00,96,19,1.67,60,6,1.63,60,6,0.37,240,12
41,041,  2024-04-27 05:00,  2024-04-27 13:00,90,19,1.72,60,6,1.68,60,6,0.37,240,12
42,042,  2024-04-27 06:00,  2024-04-27 14:00,87,18,1.75,60,6,1.72,60,6,0.37,240,12
43,043,  2024-04-27 07:00,  2024-04-27 15:00,85,16,1.77,60,6,1.73,60,6,0.37,240,12
44,044,  2024-04-27 08:00,  2024-04-27 16:00,82,15,1.77,60,7,1.74,60,6,0.38,240,9
45,045,  2024-04-27 09:00,  2024-04-27 17:00,81,15,1.76,60,7,1.73,60,7,0.39,240,9
46,046,  2024-04-27 10:00,  2024-04-27 18:00,75,14,1.75,60,7,1.71,60,7,0.39,240,9
47,047,  2024-04-27 11:00,  2024-04-27 19:00,70,13,1.73,60,7,1.69,60,7,0.4,48,9
48,048,  2024-04-27 12:00,  2024-04-27 20:00,70,12,1.7,60,7,1.66,60,7,0.41,48,9
49,049,  2024-04-27 13:00,  2024-04-27 21:00,74,11,1.67,60,7,1.63,60,7,0.42,48,9
50,050,  2024-04-27 14:00,  2024-04-27 22:00,76,10,1.63,60,7,1.59,72,7,0.42,60,9
51,051,  2024-04-27 15:00,  2024-04-27 23:00,71,11,1.59,60,7,1.55,72,7,0.42,60,9
52,052,  2024-04-27 16:00,  2024-04-28 00:00,67,11,1.54,60,7,1.5,72,7,0.41,60,9
53,053,  2024-04-27 17:00,  2024-04-28 01:00,68,10,1.49,60,7,1.44,72,7,0.4,60,9
54,054,  2024-04-27 18:00,  2024-04-28 02:00,79,10,1.43,60,7,1.39,72,7,0.39,60,9
55,055,  2024-04-27 19:00,  2024-04-28 03:00,84,9,1.39,60,7,1.34,72,7,0.39,60,9
56,056,  2024-04-27 20:00,  2024-04-28 04:00,89,9,1.35,60,7,1.3,72,7,0.39,60,9
57,057,  2024-04-27 21:00,  2024-04-28 05:00,98,10,1.31,60,7,1.26,72,7,0.39,60,9
58,058,  2024-04-27 22:00,  2024-04-28 06:00,100,11,1.29,60,7,1.24,60,7,0.39,60,9
59,059,  2024-04-27 23:00,  2024-04-28 07:00,102,12,1.28,60,7,1.22,60,7,0.39,60,9
60,060,  2024-04-28 00:00,  2024-04-28 08:00,111,13,1.28,60,7,1.22,60,7,0.4,60,9
61,061,  2024-04-28 01:00,  2024-04-28 09:00,121,14,1.3,60,7,1.24,60,7,0.41,60,9
62,062,  2024-04-28 02:00,  2024-04-28 10:00,125,15,1.34,60,7,1.28,60,7,0.42,60,9
63,063,  2024-04-28 03:00,  2024-04-28 11:00,122,16,1.39,60,7,1.33,60,7,0.44,60,9
64,064,  2024-04-28 04:00,  2024-04-28 12:00,117,15,1.43,60,7,1.37,60,7,0.45,60,9
65,065,  2024-04-28 05:00,  2024-04-28 13:00,113,15,1.47,60,7,1.4,60,7,0.46,60,9
66,066,  2024-04-28 06:00,  2024-04-28 14:00,111,14,1.47,60,7,1.41,60,7,0.47,60,9
67,067,  2024-04-28 07:00,  2024-04-28 15:00,110,12,1.45,60,7,1.38,60,7,0.47,60,9
68,068,  2024-04-28 08:00,  2024-04-28 16:00,110,11,1.42,60,7,1.35,60,7,0.48,60,9
69,069,  2024-04-28 09:00,  2024-04-28 17:00,108,10,1.38,60,7,1.31,60,7,0.48,60,9
70,070,  2024-04-28 10:00,  2024-04-28 18:00,106,8,1.35,60,7,1.28,60,7,0.48,60,9
71,071,  2024-04-28 11:00,  2024-04-28 19:00,98,8,1.32,60,7,1.24,60,7,0.48,60,9
72,072,  2024-04-28 12:00,  2024-04-28 20:00,114,7,1.3,60,7,1.22,60,7,0.48,60,9
73,073,  2024-04-28 13:00,  2024-04-28 21:00,113,7,1.28,60,7,1.2,60,7,0.48,60,9
74,074,  2024-04-28 14:00,  2024-04-28 22:00,108,7,1.27,60,7,1.19,60,7,0.49,60,9
75,075,  2024-04-28 15:00,  2024-04-28 23:00,88,7,1.26,60,7,1.18,60,8,0.49,60,9
76,076,  2024-04-28 16:00,  2024-04-29 00:00,78,8,1.26,60,7,1.17,60,8,0.5,60,9
77,077,  2024-04-28 17:00,  2024-04-29 01:00,85,7,1.26,60,7,1.17,60,8,0.5,60,9
78,078,  2024-04-28 18:00,  2024-04-29 02:00,105,7,1.26,60,7,1.16,60,8,0.51,60,9
79,079,  2024-04-28 19:00,  2024-04-29 03:00,113,7,1.25,60,7,1.15,60,8,0.51,60,9
