,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s]
0,000,  2024-04-23 12:00,  2024-04-23 20:00,355,1,0.19,288,14,0.04,276,9,0.18,288,14
1,001,  2024-04-23 13:00,  2024-04-23 21:00,204,1,0.19,288,14,0.04,276,9,0.19,288,14
2,002,  2024-04-23 14:00,  2024-04-23 22:00,209,2,0.19,288,14,0.04,276,9,0.19,288,14
3,003,  2024-04-23 15:00,  2024-04-23 23:00,219,2,0.19,288,14,0.04,276,9,0.19,288,14
4,004,  2024-04-23 16:00,  2024-04-24 00:00,238,3,0.19,288,14,0.04,276,9,0.19,288,14
5,005,  2024-04-23 17:00,  2024-04-24 01:00,231,3,0.19,288,14,0.04,276,9,0.19,288,14
6,006,  2024-04-23 18:00,  2024-04-24 02:00,200,4,0.19,288,14,0.04,276,9,0.19,288,14
7,007,  2024-04-23 19:00,  2024-04-24 03:00,156,6,0.19,288,14,0.04,276,9,0.19,288,14
8,008,  2024-04-23 20:00,  2024-04-24 04:00,137,8,0.19,288,14,0.04,276,9,0.19,288,14
9,009,  2024-04-23 21:00,  2024-04-24 05:00,114,10,0.2,288,14,0.04,276,9,0.19,288,14
10,010,  2024-04-23 22:00,  2024-04-24 06:00,102,11,0.2,288,14,0.05,276,9,0.19,288,14
11,011,  2024-04-23 23:00,  2024-04-24 07:00,101,12,0.2,288,14,0.05,276,9,0.19,288,14
12,012,  2024-04-24 00:00,  2024-04-24 08:00,100,12,0.2,288,14,0.06,276,9,0.19,288,14
13,013,  2024-04-24 01:00,  2024-04-24 09:00,100,12,0.2,288,14,0.06,276,9,0.19,288,14
14,014,  2024-04-24 02:00,  2024-04-24 10:00,100,11,0.21,288,14,0.09,276,9,0.19,288,14
15,015,  2024-04-24 03:00,  2024-04-24 11:00,94,9,0.25,288,14,0.16,276,3,0.19,288,14
16,016,  2024-04-24 04:00,  2024-04-24 12:00,82,7,0.29,288,14,0.22,60,3,0.19,288,14
17,017,  2024-04-24 05:00,  2024-04-24 13:00,52,7,0.33,288,14,0.27,60,3,0.19,288,14
18,018,  2024-04-24 06:00,  2024-04-24 14:00,35,10,0.4,288,14,0.35,60,4,0.19,288,14
19,019,  2024-04-24 07:00,  2024-04-24 15:00,40,12,0.48,288,14,0.45,60,4,0.19,288,14
20,020,  2024-04-24 08:00,  2024-04-24 16:00,45,11,0.51,288,3,0.48,48,4,0.19,288,14
21,021,  2024-04-24 09:00,  2024-04-24 17:00,49,10,0.48,288,14,0.44,48,3,0.19,288,14
22,022,  2024-04-24 10:00,  2024-04-24 18:00,49,10,0.42,288,14,0.38,48,3,0.19,288,14
23,023,  2024-04-24 11:00,  2024-04-24 19:00,56,9,0.37,288,14,0.31,48,3,0.19,288,14
24,024,  2024-04-24 12:00,  2024-04-24 20:00,55,8,0.32,288,14,0.26,60,3,0.19,288,14
25,025,  2024-04-24 13:00,  2024-04-24 21:00,61,9,0.29,288,14,0.22,48,3,0.19,288,14
26,026,  2024-04-24 14:00,  2024-04-24 22:00,103,14,0.34,288,14,0.28,60,2,0.19,288,14
27,027,  2024-04-24 15:00,  2024-04-24 23:00,120,10,0.38,288,14,0.33,60,3,0.19,288,14
28,028,  2024-04-24 16:00,  2024-04-25 00:00,124,9,0.36,288,14,0.3,60,3,0.19,288,14
29,029,  2024-04-24 17:00,  2024-04-25 01:00,120,11,0.34,288,14,0.29,60,3,0.19,288,14
30,030,  2024-04-24 18:00,  2024-04-25 02:00,119,14,0.43,288,14,0.38,60,3,0.19,288,14
31,031,  2024-04-24 19:00,  2024-04-25 03:00,114,14,0.52,288,14,0.48,84,3,0.19,288,14
32,032,  2024-04-24 20:00,  2024-04-25 04:00,111,15,0.56,288,3,0.53,72,3,0.19,288,14
33,033,  2024-04-24 21:00,  2024-04-25 05:00,111,14,0.58,288,3,0.55,84,3,0.19,288,14
34,034,  2024-04-24 22:00,  2024-04-25 06:00,112,14,0.58,288,3,0.55,72,3,0.19,288,14
35,035,  2024-04-24 23:00,  2024-04-25 07:00,112,14,0.57,288,3,0.54,72,3,0.19,288,14
36,036,  2024-04-25 00:00,  2024-04-25 08:00,110,14,0.56,288,3,0.53,72,3,0.19,288,14
37,037,  2024-04-25 01:00,  2024-04-25 09:00,109,14,0.55,288,3,0.52,72,3,0.19,288,14
38,038,  2024-04-25 02:00,  2024-04-25 10:00,106,13,0.54,288,14,0.5,72,3,0.19,288,14
39,039,  2024-04-25 03:00,  2024-04-25 11:00,103,12,0.51,288,14,0.47,72,3,0.19,288,14
40,040,  2024-04-25 04:00,  2024-04-25 12:00,91,10,0.46,288,14,0.42,60,4,0.19,288,14
41,041,  2024-04-25 05:00,  2024-04-25 13:00,70,9,0.43,288,14,0.39,60,4,0.19,288,14
42,042,  2024-04-25 06:00,  2024-04-25 14:00,40,10,0.47,288,14,0.43,60,4,0.19,288,14
43,043,  2024-04-25 07:00,  2024-04-25 15:00,42,12,0.56,60,4,0.53,60,4,0.18,288,14
44,044,  2024-04-25 08:00,  2024-04-25 16:00,45,12,0.58,60,4,0.55,60,4,0.18,288,14
45,045,  2024-04-25 09:00,  2024-04-25 17:00,45,10,0.52,288,4,0.49,60,4,0.18,288,14
46,046,  2024-04-25 10:00,  2024-04-25 18:00,40,9,0.44,288,14,0.4,60,4,0.18,288,14
47,047,  2024-04-25 11:00,  2024-04-25 19:00,38,8,0.37,288,14,0.32,60,3,0.18,288,14
48,048,  2024-04-25 12:00,  2024-04-25 20:00,39,8,0.31,288,14,0.25,48,3,0.18,288,14
49,049,  2024-04-25 13:00,  2024-04-25 21:00,56,11,0.29,288,14,0.23,276,3,0.18,288,14
50,050,  2024-04-25 14:00,  2024-04-25 22:00,75,13,0.4,288,14,0.36,60,2,0.18,288,14
51,051,  2024-04-25 15:00,  2024-04-25 23:00,83,9,0.4,288,14,0.36,48,3,0.18,288,14
52,052,  2024-04-25 16:00,  2024-04-26 00:00,97,10,0.38,288,14,0.34,48,3,0.18,288,14
53,053,  2024-04-25 17:00,  2024-04-26 01:00,102,12,0.4,288,14,0.36,60,3,0.17,288,14
54,054,  2024-04-25 18:00,  2024-04-26 02:00,103,13,0.48,288,3,0.45,60,3,0.17,288,14
55,055,  2024-04-25 19:00,  2024-04-26 03:00,107,13,0.54,60,4,0.52,60,4,0.17,288,14
56,056,  2024-04-25 20:00,  2024-04-26 04:00,110,13,0.57,60,4,0.54,60,4,0.17,288,14
57,057,  2024-04-25 21:00,  2024-04-26 05:00,110,13,0.57,60,4,0.54,60,4,0.17,288,14
58,058,  2024-04-25 22:00,  2024-04-26 06:00,111,12,0.56,60,4,0.53,60,4,0.17,288,14
59,059,  2024-04-25 23:00,  2024-04-26 07:00,115,13,0.55,60,4,0.53,60,4,0.17,288,14
60,060,  2024-04-26 00:00,  2024-04-26 08:00,116,13,0.55,60,4,0.53,60,4,0.17,288,14
61,061,  2024-04-26 01:00,  2024-04-26 09:00,110,13,0.57,60,4,0.54,60,4,0.16,288,14
62,062,  2024-04-26 02:00,  2024-04-26 10:00,105,14,0.58,60,3,0.56,60,3,0.16,288,14
63,063,  2024-04-26 03:00,  2024-04-26 11:00,105,14,0.59,60,3,0.57,60,3,0.16,288,14
64,064,  2024-04-26 04:00,  2024-04-26 12:00,106,13,0.58,60,3,0.56,60,3,0.16,288,14
65,065,  2024-04-26 05:00,  2024-04-26 13:00,105,11,0.54,60,4,0.52,60,4,0.16,288,14
66,066,  2024-04-26 06:00,  2024-04-26 14:00,99,8,0.49,60,4,0.46,60,4,0.16,288,14
67,067,  2024-04-26 07:00,  2024-04-26 15:00,83,7,0.44,60,4,0.41,60,4,0.16,288,14
68,068,  2024-04-26 08:00,  2024-04-26 16:00,60,6,0.39,60,13,0.36,60,4,0.16,288,14
69,069,  2024-04-26 09:00,  2024-04-26 17:00,40,4,0.35,288,13,0.32,60,4,0.16,288,14
70,070,  2024-04-26 10:00,  2024-04-26 18:00,54,3,0.32,288,13,0.28,60,3,0.15,288,14
71,071,  2024-04-26 11:00,  2024-04-26 19:00,86,4,0.28,288,13,0.24,276,3,0.15,288,14
72,072,  2024-04-26 12:00,  2024-04-26 20:00,105,4,0.25,288,13,0.2,276,9,0.15,288,14
73,073,  2024-04-26 13:00,  2024-04-26 21:00,111,7,0.23,288,13,0.17,276,9,0.15,288,14
74,074,  2024-04-26 14:00,  2024-04-26 22:00,106,10,0.21,288,13,0.15,276,9,0.15,288,14
75,075,  2024-04-26 15:00,  2024-04-26 23:00,106,12,0.2,288,13,0.14,276,9,0.15,288,14
76,076,  2024-04-26 16:00,  2024-04-27 00:00,103,13,0.26,288,13,0.21,276,9,0.15,288,14
77,077,  2024-04-26 17:00,  2024-04-27 01:00,101,14,0.45,288,3,0.43,72,3,0.14,288,14
78,078,  2024-04-26 18:00,  2024-04-27 02:00,103,14,0.56,60,3,0.54,60,3,0.14,288,14
79,079,  2024-04-26 19:00,  2024-04-27 03:00,105,15,0.62,60,4,0.61,60,4,0.14,288,14
80,080,  2024-04-26 20:00,  2024-04-27 04:00,105,16,0.68,60,4,0.66,60,4,0.14,288,12
81,081,  2024-04-26 21:00,  2024-04-27 05:00,106,17,0.73,72,4,0.72,60,4,0.13,288,12
82,082,  2024-04-26 22:00,  2024-04-27 06:00,107,17,0.78,72,4,0.77,72,4,0.13,288,12
83,083,  2024-04-26 23:00,  2024-04-27 07:00,108,17,0.8,72,4,0.79,72,4,0.13,288,12
84,084,  2024-04-27 00:00,  2024-04-27 08:00,107,16,0.78,72,4,0.77,72,4,0.13,288,12
85,085,  2024-04-27 01:00,  2024-04-27 09:00,110,16,0.74,72,4,0.73,60,4,0.13,288,12
86,086,  2024-04-27 02:00,  2024-04-27 10:00,115,15,0.7,72,4,0.69,60,4,0.13,288,12
87,087,  2024-04-27 03:00,  2024-04-27 11:00,114,14,0.65,72,3,0.64,60,3,0.12,288,12
88,088,  2024-04-27 04:00,  2024-04-27 12:00,112,13,0.58,72,3,0.57,60,3,0.12,288,12
89,089,  2024-04-27 05:00,  2024-04-27 13:00,109,11,0.49,72,3,0.48,60,3,0.12,288,12
90,090,  2024-04-27 06:00,  2024-04-27 14:00,103,8,0.41,60,4,0.39,60,4,0.12,288,12
