,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s]
0,000,  2024-04-27 12:00,  2024-04-27 20:00,169,2,0.22,288,12,0.19,60,9,0.12,288,12
1,001,  2024-04-27 13:00,  2024-04-27 21:00,188,4,0.2,288,12,0.16,60,9,0.12,288,12
2,002,  2024-04-27 14:00,  2024-04-27 22:00,177,5,0.18,288,12,0.14,60,9,0.11,288,12
3,003,  2024-04-27 15:00,  2024-04-27 23:00,157,8,0.16,288,12,0.12,60,9,0.11,288,12
4,004,  2024-04-27 16:00,  2024-04-28 00:00,142,10,0.15,288,12,0.11,276,9,0.11,288,12
5,005,  2024-04-27 17:00,  2024-04-28 01:00,130,12,0.15,288,12,0.1,276,9,0.11,288,12
6,006,  2024-04-27 18:00,  2024-04-28 02:00,122,13,0.15,288,12,0.1,276,9,0.11,288,12
7,007,  2024-04-27 19:00,  2024-04-28 03:00,120,13,0.21,288,12,0.18,276,2,0.11,288,12
8,008,  2024-04-27 20:00,  2024-04-28 04:00,124,13,0.34,288,2,0.33,108,2,0.11,288,12
9,009,  2024-04-27 21:00,  2024-04-28 05:00,122,12,0.39,288,3,0.38,108,2,0.11,288,12
10,010,  2024-04-27 22:00,  2024-04-28 06:00,119,12,0.41,108,3,0.39,108,3,0.11,288,12
11,011,  2024-04-27 23:00,  2024-04-28 07:00,122,13,0.42,108,3,0.41,108,3,0.1,288,12
12,012,  2024-04-28 00:00,  2024-04-28 08:00,124,12,0.43,108,3,0.42,108,3,0.1,288,12
13,013,  2024-04-28 01:00,  2024-04-28 09:00,124,13,0.45,108,3,0.44,108,3,0.1,288,12
14,014,  2024-04-28 02:00,  2024-04-28 10:00,122,14,0.48,108,3,0.47,108,3,0.1,288,12
15,015,  2024-04-28 03:00,  2024-04-28 11:00,117,13,0.48,96,3,0.47,96,3,0.1,288,12
16,016,  2024-04-28 04:00,  2024-04-28 12:00,112,12,0.44,84,3,0.43,84,3,0.1,288,12
17,017,  2024-04-28 05:00,  2024-04-28 13:00,111,10,0.37,72,3,0.36,72,3,0.1,288,12
18,018,  2024-04-28 06:00,  2024-04-28 14:00,109,8,0.31,72,3,0.29,72,3,0.1,288,12
19,019,  2024-04-28 07:00,  2024-04-28 15:00,109,6,0.26,288,13,0.24,72,3,0.1,288,12
20,020,  2024-04-28 08:00,  2024-04-28 16:00,105,5,0.23,288,13,0.21,72,4,0.1,288,12
21,021,  2024-04-28 09:00,  2024-04-28 17:00,91,5,0.21,288,13,0.18,72,4,0.1,288,12
22,022,  2024-04-28 10:00,  2024-04-28 18:00,74,3,0.19,288,13,0.16,72,4,0.1,288,12
23,023,  2024-04-28 11:00,  2024-04-28 19:00,9,1,0.18,288,13,0.15,72,4,0.1,288,12
24,024,  2024-04-28 12:00,  2024-04-28 20:00,246,2,0.16,288,13,0.13,72,9,0.1,288,12
25,025,  2024-04-28 13:00,  2024-04-28 21:00,235,4,0.15,288,13,0.11,72,9,0.1,288,12
26,026,  2024-04-28 14:00,  2024-04-28 22:00,213,5,0.14,288,13,0.1,72,9,0.1,288,12
27,027,  2024-04-28 15:00,  2024-04-28 23:00,173,6,0.13,288,13,0.09,72,9,0.1,288,12
28,028,  2024-04-28 16:00,  2024-04-29 00:00,151,8,0.13,288,13,0.08,276,9,0.1,288,12
29,029,  2024-04-28 17:00,  2024-04-29 01:00,138,9,0.12,288,13,0.07,276,9,0.1,288,12
30,030,  2024-04-28 18:00,  2024-04-29 02:00,129,13,0.12,288,16,0.07,276,9,0.1,288,17
31,031,  2024-04-28 19:00,  2024-04-29 03:00,122,12,0.13,288,16,0.08,276,9,0.1,288,17
32,032,  2024-04-28 20:00,  2024-04-29 04:00,121,11,0.16,288,16,0.12,276,9,0.1,288,17
33,033,  2024-04-28 21:00,  2024-04-29 05:00,124,11,0.27,288,16,0.25,108,2,0.1,288,17
34,034,  2024-04-28 22:00,  2024-04-29 06:00,126,12,0.34,288,3,0.33,72,2,0.1,288,17
35,035,  2024-04-28 23:00,  2024-04-29 07:00,129,12,0.39,288,3,0.38,72,3,0.11,288,17
36,036,  2024-04-29 00:00,  2024-04-29 08:00,130,12,0.43,60,3,0.42,60,3,0.11,288,17
37,037,  2024-04-29 01:00,  2024-04-29 09:00,124,13,0.46,72,3,0.45,72,3,0.11,288,15
38,038,  2024-04-29 02:00,  2024-04-29 10:00,117,12,0.46,72,3,0.44,72,3,0.11,288,15
39,039,  2024-04-29 03:00,  2024-04-29 11:00,118,10,0.4,72,3,0.39,72,3,0.11,288,15
40,040,  2024-04-29 04:00,  2024-04-29 12:00,115,9,0.34,288,3,0.32,72,3,0.11,288,15
41,041,  2024-04-29 05:00,  2024-04-29 13:00,103,7,0.29,288,15,0.27,72,5,0.11,288,15
42,042,  2024-04-29 06:00,  2024-04-29 14:00,73,5,0.26,288,15,0.24,72,5,0.11,288,15
43,043,  2024-04-29 07:00,  2024-04-29 15:00,19,5,0.25,288,15,0.22,72,5,0.11,288,15
44,044,  2024-04-29 08:00,  2024-04-29 16:00,356,6,0.25,288,20,0.22,72,5,0.12,288,20
45,045,  2024-04-29 09:00,  2024-04-29 17:00,352,7,0.24,288,20,0.21,72,5,0.12,288,20
46,046,  2024-04-29 10:00,  2024-04-29 18:00,327,5,0.23,288,20,0.2,72,5,0.12,288,20
47,047,  2024-04-29 11:00,  2024-04-29 19:00,267,5,0.21,288,20,0.17,72,5,0.12,288,20
48,048,  2024-04-29 12:00,  2024-04-29 20:00,270,7,0.19,288,20,0.15,72,5,0.12,288,20
49,049,  2024-04-29 13:00,  2024-04-29 21:00,258,6,0.18,288,20,0.13,72,4,0.12,288,20
50,050,  2024-04-29 14:00,  2024-04-29 22:00,211,4,0.17,288,20,0.11,72,4,0.13,288,20
51,051,  2024-04-29 15:00,  2024-04-29 23:00,186,5,0.16,288,20,0.1,72,9,0.13,288,20
52,052,  2024-04-29 16:00,  2024-04-30 00:00,152,7,0.15,288,20,0.09,72,9,0.13,288,20
53,053,  2024-04-29 17:00,  2024-04-30 01:00,120,12,0.15,288,20,0.08,60,9,0.13,288,20
54,054,  2024-04-29 18:00,  2024-04-30 02:00,100,14,0.16,288,20,0.09,72,9,0.13,288,20
55,055,  2024-04-29 19:00,  2024-04-30 03:00,90,13,0.21,288,19,0.16,72,2,0.13,288,20
56,056,  2024-04-29 20:00,  2024-04-30 04:00,103,13,0.37,288,2,0.35,72,2,0.13,288,20
