,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s]
0,000,  2024-04-27 12:00,  2024-04-27 20:00,75,12,1.27,60,6,1.23,60,6,0.35,240,12
1,001,  2024-04-27 13:00,  2024-04-27 21:00,72,12,1.28,60,6,1.23,60,6,0.35,240,12
2,002,  2024-04-27 14:00,  2024-04-27 22:00,71,12,1.29,60,6,1.25,60,6,0.35,240,12
3,003,  2024-04-27 15:00,  2024-04-27 23:00,70,13,1.31,60,6,1.27,60,6,0.36,240,12
4,004,  2024-04-27 16:00,  2024-04-28 00:00,67,13,1.34,60,7,1.29,60,6,0.36,240,12
5,005,  2024-04-27 17:00,  2024-04-28 01:00,71,11,1.35,60,7,1.31,60,7,0.37,240,9
6,006,  2024-04-27 18:00,  2024-04-28 02:00,79,11,1.35,60,7,1.31,60,7,0.37,240,9
7,007,  2024-04-27 19:00,  2024-04-28 03:00,85,11,1.35,60,7,1.3,60,7,0.37,240,9
8,008,  2024-04-27 20:00,  2024-04-28 04:00,87,11,1.34,60,7,1.29,60,7,0.38,240,9
9,009,  2024-04-27 21:00,  2024-04-28 05:00,94,12,1.33,60,7,1.28,60,7,0.38,240,9
10,010,  2024-04-27 22:00,  2024-04-28 06:00,102,13,1.32,60,7,1.27,60,7,0.38,240,9
11,011,  2024-04-27 23:00,  2024-04-28 07:00,107,14,1.31,60,7,1.26,60,7,0.37,240,9
12,012,  2024-04-28 00:00,  2024-04-28 08:00,114,14,1.29,60,7,1.25,60,7,0.37,240,9
13,013,  2024-04-28 01:00,  2024-04-28 09:00,117,15,1.29,60,7,1.24,60,7,0.37,240,9
14,014,  2024-04-28 02:00,  2024-04-28 10:00,118,17,1.33,60,7,1.28,60,6,0.37,240,17
15,015,  2024-04-28 03:00,  2024-04-28 11:00,116,17,1.37,72,7,1.32,60,6,0.37,240,17
16,016,  2024-04-28 04:00,  2024-04-28 12:00,111,17,1.41,72,6,1.36,72,6,0.37,240,17
17,017,  2024-04-28 05:00,  2024-04-28 13:00,106,16,1.41,60,6,1.37,60,6,0.38,240,17
18,018,  2024-04-28 06:00,  2024-04-28 14:00,103,15,1.4,60,6,1.35,60,6,0.38,240,15
19,019,  2024-04-28 07:00,  2024-04-28 15:00,97,14,1.36,60,6,1.31,60,6,0.38,240,15
20,020,  2024-04-28 08:00,  2024-04-28 16:00,94,13,1.33,60,6,1.28,60,6,0.39,240,15
21,021,  2024-04-28 09:00,  2024-04-28 17:00,94,13,1.31,60,6,1.26,60,6,0.39,240,15
22,022,  2024-04-28 10:00,  2024-04-28 18:00,91,12,1.3,60,6,1.24,60,6,0.4,240,15
23,023,  2024-04-28 11:00,  2024-04-28 19:00,92,11,1.29,60,6,1.23,60,6,0.41,240,15
24,024,  2024-04-28 12:00,  2024-04-28 20:00,94,10,1.29,60,6,1.22,60,6,0.41,240,15
25,025,  2024-04-28 13:00,  2024-04-28 21:00,96,9,1.28,60,6,1.21,60,6,0.42,240,15
26,026,  2024-04-28 14:00,  2024-04-28 22:00,95,9,1.26,60,7,1.2,60,6,0.43,240,15
27,027,  2024-04-28 15:00,  2024-04-28 23:00,84,9,1.26,60,7,1.19,60,6,0.44,240,15
28,028,  2024-04-28 16:00,  2024-04-29 00:00,77,9,1.25,60,7,1.18,60,7,0.45,240,15
29,029,  2024-04-28 17:00,  2024-04-29 01:00,76,10,1.25,60,7,1.18,60,7,0.46,240,9
30,030,  2024-04-28 18:00,  2024-04-29 02:00,88,9,1.26,60,7,1.18,60,7,0.47,240,9
31,031,  2024-04-28 19:00,  2024-04-29 03:00,97,9,1.26,60,7,1.17,60,7,0.48,240,9
32,032,  2024-04-28 20:00,  2024-04-29 04:00,103,9,1.25,60,7,1.17,60,7,0.48,240,9
33,033,  2024-04-28 21:00,  2024-04-29 05:00,109,9,1.25,60,7,1.16,60,7,0.49,240,9
34,034,  2024-04-28 22:00,  2024-04-29 06:00,109,10,1.24,60,7,1.15,60,7,0.49,240,20
35,035,  2024-04-28 23:00,  2024-04-29 07:00,109,12,1.25,60,7,1.16,60,7,0.5,240,20
36,036,  2024-04-29 00:00,  2024-04-29 08:00,110,14,1.27,60,7,1.18,60,7,0.5,240,20
37,037,  2024-04-29 01:00,  2024-04-29 09:00,112,15,1.32,60,7,1.23,60,7,0.5,240,20
38,038,  2024-04-29 02:00,  2024-04-29 10:00,117,15,1.36,60,7,1.28,60,7,0.51,240,20
39,039,  2024-04-29 03:00,  2024-04-29 11:00,118,15,1.4,60,7,1.31,60,6,0.51,240,20
40,040,  2024-04-29 04:00,  2024-04-29 12:00,114,14,1.41,60,6,1.33,60,6,0.51,240,18
41,041,  2024-04-29 05:00,  2024-04-29 13:00,113,14,1.42,60,6,1.33,60,6,0.51,240,18
