,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s]
0,000,  2024-04-25 12:00,  2024-04-25 20:00,92,14,1.0,240,13,0.82,240,4,0.58,240,14
1,001,  2024-04-25 13:00,  2024-04-25 21:00,87,14,1.04,240,13,0.88,96,4,0.57,240,14
2,002,  2024-04-25 14:00,  2024-04-25 22:00,82,15,1.1,240,13,0.95,96,4,0.56,240,14
3,003,  2024-04-25 15:00,  2024-04-25 23:00,79,15,1.15,240,13,1.01,96,5,0.55,240,14
4,004,  2024-04-25 16:00,  2024-04-26 00:00,80,14,1.19,240,5,1.06,96,5,0.55,240,14
5,005,  2024-04-25 17:00,  2024-04-26 01:00,80,13,1.21,240,5,1.08,108,5,0.54,240,14
6,006,  2024-04-25 18:00,  2024-04-26 02:00,82,13,1.21,240,5,1.09,108,5,0.53,240,14
7,007,  2024-04-25 19:00,  2024-04-26 03:00,85,13,1.2,240,5,1.08,108,5,0.53,240,14
8,008,  2024-04-25 20:00,  2024-04-26 04:00,86,13,1.17,240,5,1.06,108,5,0.52,240,14
9,009,  2024-04-25 21:00,  2024-04-26 05:00,97,13,1.15,240,5,1.03,108,5,0.51,240,14
10,010,  2024-04-25 22:00,  2024-04-26 06:00,97,13,1.12,240,5,1.0,108,5,0.51,240,14
11,011,  2024-04-25 23:00,  2024-04-26 07:00,99,13,1.09,240,5,0.97,108,5,0.5,240,14
12,012,  2024-04-26 00:00,  2024-04-26 08:00,105,13,1.07,240,13,0.95,108,5,0.49,240,14
13,013,  2024-04-26 01:00,  2024-04-26 09:00,112,14,1.06,240,13,0.94,108,5,0.49,240,14
14,014,  2024-04-26 02:00,  2024-04-26 10:00,111,15,1.07,240,13,0.96,108,5,0.48,240,14
15,015,  2024-04-26 03:00,  2024-04-26 11:00,109,16,1.12,240,13,1.02,108,5,0.48,240,14
16,016,  2024-04-26 04:00,  2024-04-26 12:00,108,16,1.17,240,5,1.08,108,5,0.47,240,14
17,017,  2024-04-26 05:00,  2024-04-26 13:00,107,16,1.22,240,5,1.13,108,5,0.46,240,12
18,018,  2024-04-26 06:00,  2024-04-26 14:00,104,17,1.27,240,5,1.19,108,5,0.46,240,12
19,019,  2024-04-26 07:00,  2024-04-26 15:00,100,18,1.35,240,5,1.28,108,5,0.45,240,12
20,020,  2024-04-26 08:00,  2024-04-26 16:00,96,19,1.46,72,5,1.39,84,5,0.44,240,12
21,021,  2024-04-26 09:00,  2024-04-26 17:00,96,19,1.56,72,5,1.5,84,5,0.44,240,12
22,022,  2024-04-26 10:00,  2024-04-26 18:00,95,20,1.66,72,5,1.61,72,5,0.43,240,12
23,023,  2024-04-26 11:00,  2024-04-26 19:00,93,20,1.73,72,6,1.68,72,6,0.42,240,12
24,024,  2024-04-26 12:00,  2024-04-26 20:00,90,20,1.77,72,6,1.72,84,6,0.41,240,12
25,025,  2024-04-26 13:00,  2024-04-26 21:00,86,20,1.78,72,6,1.74,84,6,0.41,240,12
26,026,  2024-04-26 14:00,  2024-04-26 22:00,84,19,1.77,72,6,1.72,72,6,0.4,240,12
27,027,  2024-04-26 15:00,  2024-04-26 23:00,82,18,1.73,72,6,1.68,72,6,0.4,240,12
28,028,  2024-04-26 16:00,  2024-04-27 00:00,84,17,1.67,72,6,1.62,72,6,0.39,240,12
29,029,  2024-04-26 17:00,  2024-04-27 01:00,86,16,1.61,72,6,1.56,72,6,0.39,240,12
30,030,  2024-04-26 18:00,  2024-04-27 02:00,89,15,1.54,72,6,1.49,72,6,0.38,240,12
31,031,  2024-04-26 19:00,  2024-04-27 03:00,91,14,1.47,72,6,1.43,72,6,0.37,240,12
