,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s]
0,000,  2024-04-27 12:00,  2024-04-27 20:00,43,7,0.51,276,15,0.4,48,4,0.31,276,15
1,001,  2024-04-27 13:00,  2024-04-27 21:00,33,7,0.52,276,15,0.42,48,3,0.31,276,15
2,002,  2024-04-27 14:00,  2024-04-27 22:00,24,5,0.53,276,15,0.42,48,3,0.32,276,15
3,003,  2024-04-27 15:00,  2024-04-27 23:00,16,4,0.54,276,15,0.43,48,4,0.32,276,15
4,004,  2024-04-27 16:00,  2024-04-28 00:00,335,3,0.54,276,15,0.43,36,4,0.33,276,15
5,005,  2024-04-27 17:00,  2024-04-28 01:00,264,2,0.54,288,15,0.42,36,4,0.34,288,15
6,006,  2024-04-27 18:00,  2024-04-28 02:00,176,4,0.54,288,15,0.42,24,4,0.34,288,15
7,007,  2024-04-27 19:00,  2024-04-28 03:00,166,5,0.54,288,15,0.42,24,4,0.35,288,15
8,008,  2024-04-27 20:00,  2024-04-28 04:00,156,7,0.55,288,15,0.42,24,4,0.36,288,15
9,009,  2024-04-27 21:00,  2024-04-28 05:00,158,9,0.56,288,20,0.42,24,4,0.37,288,20
10,010,  2024-04-27 22:00,  2024-04-28 06:00,157,10,0.56,288,20,0.42,24,4,0.38,288,20
11,011,  2024-04-27 23:00,  2024-04-28 07:00,147,9,0.57,288,20,0.42,24,5,0.39,288,20
12,012,  2024-04-28 00:00,  2024-04-28 08:00,134,10,0.58,288,20,0.42,24,5,0.4,288,20
13,013,  2024-04-28 01:00,  2024-04-28 09:00,119,10,0.59,288,20,0.43,24,5,0.41,288,20
14,014,  2024-04-28 02:00,  2024-04-28 10:00,107,11,0.61,288,20,0.45,24,5,0.42,288,20
15,015,  2024-04-28 03:00,  2024-04-28 11:00,103,12,0.66,288,20,0.51,48,5,0.42,288,20
16,016,  2024-04-28 04:00,  2024-04-28 12:00,98,12,0.71,288,20,0.57,60,5,0.43,288,20
17,017,  2024-04-28 05:00,  2024-04-28 13:00,92,14,0.78,288,20,0.65,60,5,0.44,288,20
18,018,  2024-04-28 06:00,  2024-04-28 14:00,85,14,0.86,288,20,0.74,60,4,0.45,288,20
19,019,  2024-04-28 07:00,  2024-04-28 15:00,72,14,0.92,288,19,0.81,60,4,0.45,288,20
20,020,  2024-04-28 08:00,  2024-04-28 16:00,61,13,0.95,288,19,0.83,48,4,0.46,288,18
21,021,  2024-04-28 09:00,  2024-04-28 17:00,50,12,0.95,288,19,0.82,48,5,0.47,288,18
22,022,  2024-04-28 10:00,  2024-04-28 18:00,41,12,0.94,288,18,0.81,48,5,0.48,288,18
23,023,  2024-04-28 11:00,  2024-04-28 19:00,34,10,0.92,288,18,0.79,48,5,0.48,288,18
24,024,  2024-04-28 12:00,  2024-04-28 20:00,24,9,0.91,288,18,0.77,48,5,0.49,288,18
25,025,  2024-04-28 13:00,  2024-04-28 21:00,16,8,0.89,288,18,0.74,48,5,0.5,288,18
26,026,  2024-04-28 14:00,  2024-04-28 22:00,14,7,0.88,288,18,0.73,48,5,0.5,288,18
27,027,  2024-04-28 15:00,  2024-04-28 23:00,12,6,0.87,288,18,0.71,48,5,0.5,288,18
28,028,  2024-04-28 16:00,  2024-04-29 00:00,5,4,0.87,288,18,0.7,48,5,0.51,288,18
29,029,  2024-04-28 17:00,  2024-04-29 01:00,338,2,0.87,288,18,0.7,48,5,0.51,288,18
30,030,  2024-04-28 18:00,  2024-04-29 02:00,191,5,0.87,288,18,0.71,48,6,0.51,288,18
31,031,  2024-04-28 19:00,  2024-04-29 03:00,175,12,0.87,288,18,0.71,48,6,0.51,288,18
32,032,  2024-04-28 20:00,  2024-04-29 04:00,165,13,0.87,288,17,0.71,48,6,0.51,288,18
33,033,  2024-04-28 21:00,  2024-04-29 05:00,161,12,0.88,288,17,0.71,48,6,0.51,288,17
34,034,  2024-04-28 22:00,  2024-04-29 06:00,164,12,0.92,288,17,0.76,48,6,0.51,288,17
35,035,  2024-04-28 23:00,  2024-04-29 07:00,164,13,0.92,288,17,0.76,48,6,0.52,288,17
36,036,  2024-04-29 00:00,  2024-04-29 08:00,153,13,0.93,288,17,0.77,48,6,0.52,288,17
37,037,  2024-04-29 01:00,  2024-04-29 09:00,137,12,0.92,288,17,0.76,48,6,0.52,288,17
38,038,  2024-04-29 02:00,  2024-04-29 10:00,122,13,0.93,288,17,0.77,48,6,0.52,288,17
39,039,  2024-04-29 03:00,  2024-04-29 11:00,106,14,0.95,276,16,0.8,48,6,0.52,276,17
40,040,  2024-04-29 04:00,  2024-04-29 12:00,92,16,1.02,276,16,0.87,48,6,0.53,276,17
41,041,  2024-04-29 05:00,  2024-04-29 13:00,90,16,1.09,276,16,0.95,48,6,0.53,276,17
42,042,  2024-04-29 06:00,  2024-04-29 14:00,81,15,1.13,276,16,1.0,48,6,0.53,276,17
43,043,  2024-04-29 07:00,  2024-04-29 15:00,72,14,1.14,276,16,1.02,48,5,0.53,276,17
44,044,  2024-04-29 08:00,  2024-04-29 16:00,63,13,1.13,276,16,1.01,48,6,0.52,276,17
45,045,  2024-04-29 09:00,  2024-04-29 17:00,50,11,1.1,276,16,0.98,48,6,0.52,276,17
46,046,  2024-04-29 10:00,  2024-04-29 18:00,41,9,1.07,276,16,0.94,48,6,0.52,276,17
47,047,  2024-04-29 11:00,  2024-04-29 19:00,39,7,1.03,276,16,0.9,48,6,0.51,276,17
48,048,  2024-04-29 12:00,  2024-04-29 20:00,39,6,1.0,276,16,0.86,48,6,0.51,276,17
49,049,  2024-04-29 13:00,  2024-04-29 21:00,43,6,0.97,276,16,0.83,48,6,0.51,276,17
50,050,  2024-04-29 14:00,  2024-04-29 22:00,53,4,0.94,276,16,0.8,48,6,0.5,276,15
51,051,  2024-04-29 15:00,  2024-04-29 23:00,68,5,0.92,276,16,0.78,48,6,0.5,276,15
52,052,  2024-04-29 16:00,  2024-04-30 00:00,83,4,0.92,276,15,0.78,48,6,0.49,276,15
53,053,  2024-04-29 17:00,  2024-04-30 01:00,93,5,0.92,276,15,0.78,48,6,0.49,276,15
54,054,  2024-04-29 18:00,  2024-04-30 02:00,97,6,0.94,276,15,0.81,48,6,0.48,276,15
55,055,  2024-04-29 19:00,  2024-04-30 03:00,127,9,0.96,48,15,0.84,48,6,0.48,276,15
56,056,  2024-04-29 20:00,  2024-04-30 04:00,155,14,0.98,48,7,0.87,48,6,0.48,276,15
57,057,  2024-04-29 21:00,  2024-04-30 05:00,148,14,1.04,48,7,0.93,48,7,0.47,276,15
58,058,  2024-04-29 22:00,  2024-04-30 06:00,140,13,1.06,48,7,0.96,48,7,0.47,276,15
59,059,  2024-04-29 23:00,  2024-04-30 07:00,131,13,1.08,48,7,0.98,48,7,0.46,276,15
60,060,  2024-04-30 00:00,  2024-04-30 08:00,127,14,1.11,48,7,1.01,48,7,0.46,276,15
61,061,  2024-04-30 01:00,  2024-04-30 09:00,113,16,1.17,48,7,1.08,48,7,0.46,276,15
62,062,  2024-04-30 02:00,  2024-04-30 10:00,96,17,1.26,48,7,1.18,48,7,0.45,276,15
63,063,  2024-04-30 03:00,  2024-04-30 11:00,92,17,1.32,48,7,1.25,48,7,0.45,276,15
