,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s]
0,000,  2024-04-27 12:00,  2024-04-27 20:00,301,5,0.31,276,15,0.16,24,6,0.27,276,15
1,001,  2024-04-27 13:00,  2024-04-27 21:00,300,4,0.32,288,15,0.16,24,6,0.27,288,15
2,002,  2024-04-27 14:00,  2024-04-27 22:00,293,4,0.32,288,15,0.16,24,6,0.28,288,15
3,003,  2024-04-27 15:00,  2024-04-27 23:00,277,3,0.33,288,15,0.16,24,6,0.28,288,15
4,004,  2024-04-27 16:00,  2024-04-28 00:00,269,4,0.33,288,21,0.16,24,6,0.29,288,22
5,005,  2024-04-27 17:00,  2024-04-28 01:00,250,5,0.34,288,21,0.16,24,6,0.3,288,22
6,006,  2024-04-27 18:00,  2024-04-28 02:00,223,6,0.34,288,21,0.16,24,6,0.3,288,20
7,007,  2024-04-27 19:00,  2024-04-28 03:00,199,7,0.35,288,20,0.17,24,6,0.31,288,20
8,008,  2024-04-27 20:00,  2024-04-28 04:00,192,8,0.36,288,20,0.17,24,6,0.32,288,20
9,009,  2024-04-27 21:00,  2024-04-28 05:00,182,10,0.37,288,20,0.17,24,6,0.33,288,20
10,010,  2024-04-27 22:00,  2024-04-28 06:00,176,11,0.38,288,20,0.17,24,6,0.34,288,20
11,011,  2024-04-27 23:00,  2024-04-28 07:00,164,10,0.38,288,20,0.17,24,6,0.34,288,20
12,012,  2024-04-28 00:00,  2024-04-28 08:00,143,9,0.39,288,20,0.18,24,6,0.35,288,20
13,013,  2024-04-28 01:00,  2024-04-28 09:00,124,9,0.4,288,20,0.18,24,6,0.36,288,20
14,014,  2024-04-28 02:00,  2024-04-28 10:00,112,8,0.4,288,20,0.18,24,6,0.36,288,20
15,015,  2024-04-28 03:00,  2024-04-28 11:00,102,7,0.41,288,20,0.19,24,6,0.37,288,20
16,016,  2024-04-28 04:00,  2024-04-28 12:00,85,4,0.42,288,19,0.19,24,6,0.37,288,20
17,017,  2024-04-28 05:00,  2024-04-28 13:00,41,3,0.42,288,19,0.19,24,6,0.38,288,20
18,018,  2024-04-28 06:00,  2024-04-28 14:00,10,4,0.43,288,19,0.2,24,6,0.38,288,18
19,019,  2024-04-28 07:00,  2024-04-28 15:00,355,6,0.43,288,19,0.2,24,6,0.39,288,18
20,020,  2024-04-28 08:00,  2024-04-28 16:00,353,6,0.44,288,18,0.21,24,6,0.39,288,18
21,021,  2024-04-28 09:00,  2024-04-28 17:00,356,6,0.45,288,18,0.21,24,6,0.39,288,18
22,022,  2024-04-28 10:00,  2024-04-28 18:00,353,5,0.45,288,18,0.21,24,6,0.4,288,18
23,023,  2024-04-28 11:00,  2024-04-28 19:00,349,6,0.45,288,18,0.22,24,6,0.4,288,18
24,024,  2024-04-28 12:00,  2024-04-28 20:00,353,8,0.46,288,18,0.22,24,6,0.4,288,18
25,025,  2024-04-28 13:00,  2024-04-28 21:00,347,8,0.46,288,18,0.23,24,6,0.4,288,18
26,026,  2024-04-28 14:00,  2024-04-28 22:00,328,6,0.48,288,18,0.27,24,6,0.4,288,18
27,027,  2024-04-28 15:00,  2024-04-28 23:00,302,5,0.51,276,18,0.33,24,6,0.4,276,18
28,028,  2024-04-28 16:00,  2024-04-29 00:00,256,5,0.55,276,18,0.37,24,4,0.4,276,18
29,029,  2024-04-28 17:00,  2024-04-29 01:00,211,5,0.56,276,18,0.4,24,4,0.4,276,18
30,030,  2024-04-28 18:00,  2024-04-29 02:00,190,7,0.57,276,17,0.4,24,6,0.4,276,17
31,031,  2024-04-28 19:00,  2024-04-29 03:00,180,8,0.56,276,17,0.39,24,6,0.41,276,17
32,032,  2024-04-28 20:00,  2024-04-29 04:00,175,7,0.55,276,17,0.37,24,6,0.41,276,17
33,033,  2024-04-28 21:00,  2024-04-29 05:00,152,5,0.55,276,17,0.36,24,6,0.41,276,17
34,034,  2024-04-28 22:00,  2024-04-29 06:00,99,5,0.54,276,17,0.35,24,6,0.42,276,17
35,035,  2024-04-28 23:00,  2024-04-29 07:00,95,6,0.53,276,17,0.33,24,6,0.42,276,17
36,036,  2024-04-29 00:00,  2024-04-29 08:00,117,8,0.53,276,16,0.32,24,6,0.42,276,17
37,037,  2024-04-29 01:00,  2024-04-29 09:00,125,10,0.52,276,16,0.31,24,6,0.42,276,17
38,038,  2024-04-29 02:00,  2024-04-29 10:00,124,10,0.52,276,16,0.3,24,6,0.42,276,17
39,039,  2024-04-29 03:00,  2024-04-29 11:00,125,8,0.51,276,16,0.29,24,6,0.42,276,17
40,040,  2024-04-29 04:00,  2024-04-29 12:00,122,6,0.51,276,16,0.29,24,6,0.42,276,17
41,041,  2024-04-29 05:00,  2024-04-29 13:00,107,4,0.51,276,16,0.28,24,7,0.42,276,17
42,042,  2024-04-29 06:00,  2024-04-29 14:00,68,3,0.5,276,16,0.28,24,7,0.42,276,17
43,043,  2024-04-29 07:00,  2024-04-29 15:00,20,3,0.5,276,16,0.28,24,7,0.42,276,17
44,044,  2024-04-29 08:00,  2024-04-29 16:00,32,6,0.5,276,16,0.28,24,7,0.42,276,17
45,045,  2024-04-29 09:00,  2024-04-29 17:00,27,10,0.5,276,16,0.28,24,7,0.42,276,17
46,046,  2024-04-29 10:00,  2024-04-29 18:00,20,11,0.5,276,16,0.29,24,7,0.41,276,17
47,047,  2024-04-29 11:00,  2024-04-29 19:00,15,12,0.57,276,16,0.4,24,7,0.41,276,17
48,048,  2024-04-29 12:00,  2024-04-29 20:00,9,12,0.67,276,16,0.53,24,3,0.41,276,15
49,049,  2024-04-29 13:00,  2024-04-29 21:00,1,10,0.76,276,15,0.64,24,4,0.41,276,15
50,050,  2024-04-29 14:00,  2024-04-29 22:00,353,8,0.81,276,15,0.7,24,4,0.4,276,15
51,051,  2024-04-29 15:00,  2024-04-29 23:00,351,3,0.82,276,15,0.71,24,4,0.4,276,15
52,052,  2024-04-29 16:00,  2024-04-30 00:00,322,1,0.79,276,15,0.69,24,4,0.4,276,15
53,053,  2024-04-29 17:00,  2024-04-30 01:00,198,5,0.74,276,15,0.63,24,4,0.39,276,15
54,054,  2024-04-29 18:00,  2024-04-30 02:00,179,6,0.69,276,15,0.57,24,4,0.39,276,15
55,055,  2024-04-29 19:00,  2024-04-30 03:00,149,7,0.64,276,15,0.51,24,4,0.39,276,15
56,056,  2024-04-29 20:00,  2024-04-30 04:00,136,9,0.61,276,15,0.47,24,6,0.39,276,15
57,057,  2024-04-29 21:00,  2024-04-30 05:00,124,9,0.58,276,15,0.43,24,6,0.38,276,15
58,058,  2024-04-29 22:00,  2024-04-30 06:00,116,8,0.55,276,15,0.4,24,6,0.38,276,15
59,059,  2024-04-29 23:00,  2024-04-30 07:00,106,8,0.53,276,15,0.38,24,6,0.38,276,15
60,060,  2024-04-30 00:00,  2024-04-30 08:00,101,9,0.52,276,15,0.36,24,6,0.38,276,15
61,061,  2024-04-30 01:00,  2024-04-30 09:00,101,11,0.51,276,15,0.35,24,6,0.37,264,15
62,062,  2024-04-30 02:00,  2024-04-30 10:00,99,12,0.52,264,15,0.37,24,7,0.37,264,15
63,063,  2024-04-30 03:00,  2024-04-30 11:00,94,11,0.57,264,15,0.45,24,7,0.37,264,15
64,064,  2024-04-30 04:00,  2024-04-30 12:00,72,13,0.63,264,14,0.51,24,3,0.36,264,15
65,065,  2024-04-30 05:00,  2024-04-30 13:00,58,14,0.72,264,14,0.63,24,3,0.36,264,15
66,066,  2024-04-30 06:00,  2024-04-30 14:00,44,15,0.81,264,14,0.73,24,4,0.36,264,15
67,067,  2024-04-30 07:00,  2024-04-30 15:00,35,15,0.86,24,4,0.79,24,4,0.35,264,14
68,068,  2024-04-30 08:00,  2024-04-30 16:00,27,13,0.88,24,4,0.81,24,4,0.35,264,14
69,069,  2024-04-30 09:00,  2024-04-30 17:00,20,13,0.89,24,4,0.82,24,4,0.35,264,14
70,070,  2024-04-30 10:00,  2024-04-30 18:00,14,12,0.88,24,4,0.82,24,4,0.34,264,14
71,071,  2024-04-30 11:00,  2024-04-30 19:00,6,11,0.86,24,4,0.79,24,4,0.34,264,14
72,072,  2024-04-30 12:00,  2024-04-30 20:00,3,9,0.82,24,4,0.75,24,4,0.34,264,14
73,073,  2024-04-30 13:00,  2024-04-30 21:00,354,7,0.77,24,14,0.7,24,4,0.33,264,14
74,074,  2024-04-30 14:00,  2024-04-30 22:00,349,5,0.73,24,14,0.66,24,4,0.33,264,14
75,075,  2024-04-30 15:00,  2024-04-30 23:00,26,4,0.7,24,14,0.62,24,7,0.33,264,14
76,076,  2024-04-30 16:00,  2024-05-01 00:00,87,4,0.67,24,14,0.59,24,7,0.32,264,14
77,077,  2024-04-30 17:00,  2024-05-01 01:00,94,5,0.64,24,14,0.56,24,7,0.32,264,14
78,078,  2024-04-30 18:00,  2024-05-01 02:00,120,7,0.62,24,14,0.53,24,7,0.32,264,14
79,079,  2024-04-30 19:00,  2024-05-01 03:00,130,10,0.6,24,14,0.51,24,7,0.32,264,14
80,080,  2024-04-30 20:00,  2024-05-01 04:00,133,11,0.58,24,14,0.5,24,7,0.32,264,14
81,081,  2024-04-30 21:00,  2024-05-01 05:00,128,11,0.57,24,13,0.49,24,7,0.31,264,14
82,082,  2024-04-30 22:00,  2024-05-01 06:00,122,12,0.57,24,13,0.48,24,7,0.31,264,14
83,083,  2024-04-30 23:00,  2024-05-01 07:00,115,13,0.59,24,13,0.5,24,8,0.31,264,14
84,084,  2024-05-01 00:00,  2024-05-01 08:00,109,15,0.66,24,8,0.59,24,8,0.31,264,14
85,085,  2024-05-01 01:00,  2024-05-01 09:00,100,16,0.72,24,8,0.66,24,8,0.31,264,14
86,086,  2024-05-01 02:00,  2024-05-01 10:00,93,16,0.8,24,3,0.74,24,3,0.31,264,14
87,087,  2024-05-01 03:00,  2024-05-01 11:00,82,16,0.86,24,4,0.82,24,4,0.3,264,14
88,088,  2024-05-01 04:00,  2024-05-01 12:00,65,14,0.89,24,4,0.84,24,4,0.3,264,14
89,089,  2024-05-01 05:00,  2024-05-01 13:00,49,14,0.9,24,4,0.86,24,4,0.29,264,14
90,090,  2024-05-01 06:00,  2024-05-01 14:00,38,13,0.93,24,4,0.89,24,4,0.29,264,14
91,091,  2024-05-01 07:00,  2024-05-01 15:00,34,12,0.95,24,5,0.91,24,4,0.28,264,14
92,092,  2024-05-01 08:00,  2024-05-01 16:00,29,11,0.94,24,5,0.9,24,5,0.28,264,14
93,093,  2024-05-01 09:00,  2024-05-01 17:00,24,12,0.92,24,5,0.88,24,5,0.28,264,14
94,094,  2024-05-01 10:00,  2024-05-01 18:00,17,11,0.9,24,5,0.86,24,5,0.27,264,14
95,095,  2024-05-01 11:00,  2024-05-01 19:00,14,10,0.87,24,5,0.83,24,5,0.27,264,14
96,096,  2024-05-01 12:00,  2024-05-01 20:00,14,9,0.83,24,7,0.79,24,7,0.27,264,14
97,097,  2024-05-01 13:00,  2024-05-01 21:00,10,6,0.8,24,7,0.75,24,7,0.27,264,14
98,098,  2024-05-01 14:00,  2024-05-01 22:00,9,1,0.75,24,7,0.71,24,7,0.27,264,12
99,099,  2024-05-01 15:00,  2024-05-01 23:00,106,1,0.71,24,7,0.66,24,7,0.27,264,12
100,100,  2024-05-01 16:00,  2024-05-02 00:00,113,3,0.66,24,7,0.61,24,7,0.27,264,12
101,101,  2024-05-01 17:00,  2024-05-02 01:00,137,4,0.62,24,7,0.57,24,7,0.26,264,12
102,102,  2024-05-01 18:00,  2024-05-02 02:00,145,6,0.58,24,7,0.53,24,7,0.26,264,12
103,103,  2024-05-01 19:00,  2024-05-02 03:00,141,7,0.55,24,7,0.5,24,7,0.26,264,12
104,104,  2024-05-01 20:00,  2024-05-02 04:00,130,7,0.53,24,7,0.47,24,7,0.25,264,12
105,105,  2024-05-01 21:00,  2024-05-02 05:00,120,8,0.51,24,7,0.45,24,7,0.25,264,12
106,106,  2024-05-01 22:00,  2024-05-02 06:00,112,10,0.5,24,7,0.43,24,7,0.25,264,12
107,107,  2024-05-01 23:00,  2024-05-02 07:00,101,12,0.49,24,7,0.42,24,7,0.25,264,12
108,108,  2024-05-02 00:00,  2024-05-02 08:00,96,13,0.57,24,7,0.51,24,7,0.25,264,12
109,109,  2024-05-02 01:00,  2024-05-02 09:00,103,14,0.63,24,3,0.58,24,3,0.24,264,12
110,110,  2024-05-02 02:00,  2024-05-02 10:00,107,14,0.67,24,3,0.63,24,3,0.24,264,12
111,111,  2024-05-02 03:00,  2024-05-02 11:00,98,12,0.67,24,3,0.63,24,3,0.24,264,12
112,112,  2024-05-02 04:00,  2024-05-02 12:00,79,9,0.64,24,4,0.59,24,4,0.24,264,12
113,113,  2024-05-02 05:00,  2024-05-02 13:00,54,9,0.6,24,4,0.55,24,4,0.24,264,12
114,114,  2024-05-02 06:00,  2024-05-02 14:00,33,9,0.59,24,4,0.55,24,4,0.23,276,12
115,115,  2024-05-02 07:00,  2024-05-02 15:00,25,10,0.67,24,5,0.63,24,5,0.23,276,12
116,116,  2024-05-02 08:00,  2024-05-02 16:00,30,10,0.78,24,5,0.75,24,5,0.23,276,12
117,117,  2024-05-02 09:00,  2024-05-02 17:00,32,10,0.86,24,5,0.83,24,5,0.23,288,12
118,118,  2024-05-02 10:00,  2024-05-02 18:00,27,10,0.9,24,5,0.87,24,5,0.23,288,12
119,119,  2024-05-02 11:00,  2024-05-02 19:00,25,9,0.89,24,5,0.87,24,5,0.23,288,12
120,120,  2024-05-02 12:00,  2024-05-02 20:00,23,8,0.87,24,5,0.84,24,5,0.23,288,12
121,121,  2024-05-02 13:00,  2024-05-02 21:00,19,6,0.82,24,5,0.8,24,5,0.23,288,12
122,122,  2024-05-02 14:00,  2024-05-02 22:00,2,4,0.78,24,5,0.75,24,4,0.23,288,17
123,123,  2024-05-02 15:00,  2024-05-02 23:00,7,3,0.74,24,4,0.7,24,4,0.22,288,17
124,124,  2024-05-02 16:00,  2024-05-03 00:00,2,0,0.69,24,4,0.66,24,4,0.22,288,17
125,125,  2024-05-02 17:00,  2024-05-03 01:00,196,4,0.65,24,7,0.61,24,7,0.22,288,17
126,126,  2024-05-02 18:00,  2024-05-03 02:00,188,6,0.61,24,7,0.57,24,7,0.23,288,17
127,127,  2024-05-02 19:00,  2024-05-03 03:00,170,5,0.57,24,7,0.53,24,7,0.23,288,17
128,128,  2024-05-02 20:00,  2024-05-03 04:00,142,6,0.54,24,7,0.49,24,7,0.23,288,17
129,129,  2024-05-02 21:00,  2024-05-03 05:00,128,7,0.52,24,7,0.47,24,7,0.23,288,17
130,130,  2024-05-02 22:00,  2024-05-03 06:00,115,9,0.5,24,7,0.45,24,7,0.23,288,17
131,131,  2024-05-02 23:00,  2024-05-03 07:00,112,12,0.48,24,7,0.43,24,7,0.23,288,17
132,132,  2024-05-03 00:00,  2024-05-03 08:00,112,13,0.49,24,7,0.43,24,7,0.23,288,17
133,133,  2024-05-03 01:00,  2024-05-03 09:00,103,13,0.57,24,17,0.53,24,7,0.23,288,17
134,134,  2024-05-03 02:00,  2024-05-03 10:00,95,13,0.6,24,17,0.56,24,3,0.23,288,17
135,135,  2024-05-03 03:00,  2024-05-03 11:00,102,11,0.6,24,17,0.55,24,3,0.23,288,17
136,136,  2024-05-03 04:00,  2024-05-03 12:00,99,8,0.57,24,17,0.52,24,3,0.24,288,17
137,137,  2024-05-03 05:00,  2024-05-03 13:00,82,5,0.53,24,17,0.47,24,3,0.24,288,17
138,138,  2024-05-03 06:00,  2024-05-03 14:00,19,4,0.49,288,17,0.43,24,7,0.24,288,17
139,139,  2024-05-03 07:00,  2024-05-03 15:00,356,6,0.46,288,17,0.39,24,7,0.25,288,17
140,140,  2024-05-03 08:00,  2024-05-03 16:00,354,8,0.45,288,17,0.37,24,7,0.26,288,17
141,141,  2024-05-03 09:00,  2024-05-03 17:00,349,9,0.44,288,17,0.36,24,6,0.26,288,17
142,142,  2024-05-03 10:00,  2024-05-03 18:00,340,7,0.45,288,16,0.36,24,6,0.27,288,24
143,143,  2024-05-03 11:00,  2024-05-03 19:00,311,6,0.48,288,16,0.39,24,6,0.28,288,24
144,144,  2024-05-03 12:00,  2024-05-03 20:00,275,6,0.5,288,16,0.41,24,6,0.29,288,24
145,145,  2024-05-03 13:00,  2024-05-03 21:00,282,5,0.53,288,16,0.43,24,6,0.31,288,24
146,146,  2024-05-03 14:00,  2024-05-03 22:00,277,4,0.54,288,23,0.44,24,7,0.32,288,22
147,147,  2024-05-03 15:00,  2024-05-03 23:00,258,5,0.55,288,22,0.43,24,7,0.34,288,22
148,148,  2024-05-03 16:00,  2024-05-04 00:00,230,8,0.55,288,22,0.42,24,7,0.36,288,22
149,149,  2024-05-03 17:00,  2024-05-04 01:00,222,10,0.54,288,22,0.4,24,7,0.37,288,22
150,150,  2024-05-03 18:00,  2024-05-04 02:00,222,10,0.54,288,22,0.38,24,7,0.39,288,22
151,151,  2024-05-03 19:00,  2024-05-04 03:00,214,11,0.53,288,22,0.36,24,7,0.4,288,22
152,152,  2024-05-03 20:00,  2024-05-04 04:00,201,11,0.53,288,22,0.35,24,8,0.41,288,22
153,153,  2024-05-03 21:00,  2024-05-04 05:00,179,10,0.54,288,22,0.33,24,8,0.42,288,22
154,154,  2024-05-03 22:00,  2024-05-04 06:00,158,10,0.54,288,22,0.33,24,8,0.44,288,22
155,155,  2024-05-03 23:00,  2024-05-04 07:00,144,11,0.56,288,21,0.34,24,8,0.45,288,22
156,156,  2024-05-04 00:00,  2024-05-04 08:00,130,10,0.57,288,21,0.34,24,8,0.46,288,20
