,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s]
0,000,  2024-04-28 12:00,  2024-04-28 20:00,267,5,0.26,300,18,0.12,12,6,0.23,300,18
1,001,  2024-04-28 13:00,  2024-04-28 21:00,252,5,0.26,300,18,0.12,12,6,0.23,300,18
2,002,  2024-04-28 14:00,  2024-04-28 22:00,244,5,0.26,300,18,0.12,12,6,0.23,300,18
3,003,  2024-04-28 15:00,  2024-04-28 23:00,239,5,0.26,300,18,0.12,12,6,0.23,300,18
4,004,  2024-04-28 16:00,  2024-04-29 00:00,224,5,0.26,300,18,0.12,12,6,0.23,300,18
5,005,  2024-04-28 17:00,  2024-04-29 01:00,206,6,0.26,300,18,0.12,12,6,0.23,300,18
6,006,  2024-04-28 18:00,  2024-04-29 02:00,193,7,0.26,300,18,0.12,12,6,0.23,300,18
7,007,  2024-04-28 19:00,  2024-04-29 03:00,182,7,0.26,300,17,0.12,12,6,0.23,300,18
8,008,  2024-04-28 20:00,  2024-04-29 04:00,168,8,0.27,300,17,0.13,12,6,0.23,300,17
9,009,  2024-04-28 21:00,  2024-04-29 05:00,158,9,0.27,300,17,0.13,12,6,0.24,300,17
10,010,  2024-04-28 22:00,  2024-04-29 06:00,162,9,0.27,300,17,0.13,12,6,0.24,300,17
11,011,  2024-04-28 23:00,  2024-04-29 07:00,169,10,0.27,300,17,0.13,12,6,0.24,300,17
12,012,  2024-04-29 00:00,  2024-04-29 08:00,163,8,0.27,300,17,0.13,12,6,0.24,300,17
13,013,  2024-04-29 01:00,  2024-04-29 09:00,149,7,0.27,300,17,0.14,12,6,0.24,300,17
14,014,  2024-04-29 02:00,  2024-04-29 10:00,134,7,0.27,300,17,0.14,12,6,0.24,300,17
15,015,  2024-04-29 03:00,  2024-04-29 11:00,106,5,0.27,300,16,0.14,12,6,0.24,300,17
16,016,  2024-04-29 04:00,  2024-04-29 12:00,32,4,0.27,300,16,0.14,12,6,0.24,300,17
17,017,  2024-04-29 05:00,  2024-04-29 13:00,331,6,0.27,300,16,0.14,12,7,0.24,300,17
18,018,  2024-04-29 06:00,  2024-04-29 14:00,310,8,0.27,300,16,0.14,12,7,0.24,300,17
19,019,  2024-04-29 07:00,  2024-04-29 15:00,310,10,0.27,300,16,0.14,12,7,0.23,300,17
20,020,  2024-04-29 08:00,  2024-04-29 16:00,310,10,0.27,300,16,0.14,12,7,0.23,300,17
21,021,  2024-04-29 09:00,  2024-04-29 17:00,309,9,0.27,300,16,0.14,12,7,0.23,300,17
22,022,  2024-04-29 10:00,  2024-04-29 18:00,320,7,0.27,300,16,0.13,12,7,0.23,300,17
23,023,  2024-04-29 11:00,  2024-04-29 19:00,343,7,0.27,300,16,0.14,12,7,0.23,300,17
24,024,  2024-04-29 12:00,  2024-04-29 20:00,339,7,0.28,300,16,0.16,12,7,0.23,300,17
25,025,  2024-04-29 13:00,  2024-04-29 21:00,314,6,0.31,300,16,0.22,12,3,0.23,300,17
26,026,  2024-04-29 14:00,  2024-04-29 22:00,280,5,0.35,300,16,0.27,12,4,0.23,300,15
27,027,  2024-04-29 15:00,  2024-04-29 23:00,240,7,0.37,300,16,0.3,12,4,0.22,300,15
28,028,  2024-04-29 16:00,  2024-04-30 00:00,233,6,0.38,300,15,0.31,12,4,0.22,300,15
29,029,  2024-04-29 17:00,  2024-04-30 01:00,241,3,0.37,300,15,0.3,12,4,0.22,300,15
30,030,  2024-04-29 18:00,  2024-04-30 02:00,251,3,0.36,300,15,0.29,12,4,0.22,300,15
31,031,  2024-04-29 19:00,  2024-04-30 03:00,245,4,0.35,300,15,0.28,12,4,0.22,300,15
32,032,  2024-04-29 20:00,  2024-04-30 04:00,143,3,0.34,300,15,0.26,12,4,0.21,300,15
33,033,  2024-04-29 21:00,  2024-04-30 05:00,82,6,0.32,300,15,0.25,12,4,0.21,300,15
34,034,  2024-04-29 22:00,  2024-04-30 06:00,77,6,0.31,300,15,0.23,12,4,0.21,300,15
35,035,  2024-04-29 23:00,  2024-04-30 07:00,90,7,0.31,300,15,0.22,12,6,0.21,300,15
36,036,  2024-04-30 00:00,  2024-04-30 08:00,95,9,0.3,300,15,0.21,12,6,0.21,300,15
37,037,  2024-04-30 01:00,  2024-04-30 09:00,95,9,0.29,300,15,0.2,12,6,0.21,300,15
38,038,  2024-04-30 02:00,  2024-04-30 10:00,85,9,0.28,300,15,0.2,12,6,0.21,300,15
39,039,  2024-04-30 03:00,  2024-04-30 11:00,59,11,0.28,300,15,0.19,12,6,0.2,300,15
40,040,  2024-04-30 04:00,  2024-04-30 12:00,39,14,0.36,300,15,0.29,12,2,0.2,300,15
41,041,  2024-04-30 05:00,  2024-04-30 13:00,25,14,0.49,300,15,0.45,12,3,0.2,300,15
42,042,  2024-04-30 06:00,  2024-04-30 14:00,14,12,0.51,300,15,0.47,12,3,0.19,300,15
43,043,  2024-04-30 07:00,  2024-04-30 15:00,7,12,0.52,12,3,0.49,12,3,0.19,300,15
44,044,  2024-04-30 08:00,  2024-04-30 16:00,7,11,0.56,12,4,0.53,12,4,0.19,300,15
45,045,  2024-04-30 09:00,  2024-04-30 17:00,5,11,0.6,12,4,0.58,12,4,0.18,300,15
46,046,  2024-04-30 10:00,  2024-04-30 18:00,359,10,0.63,12,4,0.6,12,4,0.17,300,15
47,047,  2024-04-30 11:00,  2024-04-30 19:00,360,9,0.62,12,4,0.59,12,4,0.17,300,15
48,048,  2024-04-30 12:00,  2024-04-30 20:00,357,9,0.58,12,4,0.56,12,4,0.17,300,15
49,049,  2024-04-30 13:00,  2024-04-30 21:00,357,8,0.55,12,4,0.52,12,4,0.17,300,15
50,050,  2024-04-30 14:00,  2024-04-30 22:00,357,8,0.51,12,4,0.48,12,4,0.17,300,15
51,051,  2024-04-30 15:00,  2024-04-30 23:00,3,6,0.48,12,4,0.45,12,4,0.17,300,14
52,052,  2024-04-30 16:00,  2024-05-01 00:00,88,2,0.45,12,4,0.42,12,4,0.17,300,14
53,053,  2024-04-30 17:00,  2024-05-01 01:00,142,5,0.42,12,14,0.38,12,4,0.17,300,14
54,054,  2024-04-30 18:00,  2024-05-01 02:00,135,7,0.39,12,14,0.36,12,4,0.17,300,14
55,055,  2024-04-30 19:00,  2024-05-01 03:00,120,8,0.37,12,14,0.33,12,4,0.17,300,14
56,056,  2024-04-30 20:00,  2024-05-01 04:00,113,9,0.35,12,14,0.31,12,4,0.17,300,14
57,057,  2024-04-30 21:00,  2024-05-01 05:00,112,10,0.34,12,14,0.3,12,7,0.17,300,14
58,058,  2024-04-30 22:00,  2024-05-01 06:00,110,11,0.33,12,14,0.29,12,7,0.17,300,14
59,059,  2024-04-30 23:00,  2024-05-01 07:00,107,11,0.35,12,14,0.31,12,7,0.17,300,14
60,060,  2024-05-01 00:00,  2024-05-01 08:00,104,12,0.43,12,14,0.4,12,2,0.17,300,14
61,061,  2024-05-01 01:00,  2024-05-01 09:00,90,14,0.5,12,3,0.48,12,3,0.17,300,14
62,062,  2024-05-01 02:00,  2024-05-01 10:00,76,16,0.61,60,3,0.59,60,3,0.16,300,14
63,063,  2024-05-01 03:00,  2024-05-01 11:00,62,14,0.63,48,3,0.62,48,3,0.16,300,14
64,064,  2024-05-01 04:00,  2024-05-01 12:00,39,12,0.58,36,4,0.57,36,4,0.15,300,14
65,065,  2024-05-01 05:00,  2024-05-01 13:00,15,11,0.53,36,4,0.51,36,4,0.15,300,14
66,066,  2024-05-01 06:00,  2024-05-01 14:00,7,11,0.52,24,4,0.5,12,4,0.15,300,14
67,067,  2024-05-01 07:00,  2024-05-01 15:00,2,12,0.54,12,4,0.52,12,4,0.15,300,14
68,068,  2024-05-01 08:00,  2024-05-01 16:00,0,11,0.55,12,4,0.53,12,4,0.14,300,14
69,069,  2024-05-01 09:00,  2024-05-01 17:00,355,11,0.55,12,4,0.53,12,4,0.14,300,14
70,070,  2024-05-01 10:00,  2024-05-01 18:00,355,10,0.55,12,4,0.53,12,4,0.15,300,14
71,071,  2024-05-01 11:00,  2024-05-01 19:00,353,9,0.53,12,4,0.51,12,4,0.15,300,9
72,072,  2024-05-01 12:00,  2024-05-01 20:00,342,5,0.51,12,4,0.49,12,4,0.16,300,9
73,073,  2024-05-01 13:00,  2024-05-01 21:00,313,4,0.48,12,8,0.46,12,8,0.16,300,9
74,074,  2024-05-01 14:00,  2024-05-01 22:00,282,2,0.45,12,8,0.43,12,8,0.16,300,9
75,075,  2024-05-01 15:00,  2024-05-01 23:00,205,2,0.42,12,8,0.4,12,8,0.16,300,9
76,076,  2024-05-01 16:00,  2024-05-02 00:00,190,4,0.4,12,8,0.37,12,8,0.15,300,9
77,077,  2024-05-01 17:00,  2024-05-02 01:00,190,6,0.37,12,8,0.34,12,8,0.15,300,9
78,078,  2024-05-01 18:00,  2024-05-02 02:00,180,5,0.35,12,8,0.32,12,8,0.15,300,9
79,079,  2024-05-01 19:00,  2024-05-02 03:00,143,4,0.33,12,8,0.3,12,8,0.15,300,14
80,080,  2024-05-01 20:00,  2024-05-02 04:00,101,6,0.32,12,8,0.29,12,8,0.15,300,14
81,081,  2024-05-01 21:00,  2024-05-02 05:00,99,7,0.31,12,8,0.28,12,8,0.15,300,14
82,082,  2024-05-01 22:00,  2024-05-02 06:00,107,8,0.3,12,14,0.26,12,8,0.15,300,14
83,083,  2024-05-01 23:00,  2024-05-02 07:00,113,8,0.29,12,14,0.25,12,8,0.15,300,14
84,084,  2024-05-02 00:00,  2024-05-02 08:00,109,8,0.28,12,14,0.24,12,8,0.14,300,14
