,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s]
0,000,  2024-04-23 12:00,  2024-04-23 20:00,43,6,1.36,240,14,0.71,228,9,1.18,240,15
1,001,  2024-04-23 13:00,  2024-04-23 21:00,46,5,1.37,240,14,0.72,228,9,1.18,240,14
2,002,  2024-04-23 14:00,  2024-04-23 22:00,37,5,1.37,240,14,0.73,228,9,1.18,240,14
3,003,  2024-04-23 15:00,  2024-04-23 23:00,46,3,1.38,240,14,0.73,228,9,1.18,240,14
4,004,  2024-04-23 16:00,  2024-04-24 00:00,69,3,1.37,240,14,0.73,228,9,1.18,240,14
5,005,  2024-04-23 17:00,  2024-04-24 01:00,83,4,1.37,240,14,0.73,228,9,1.17,240,14
6,006,  2024-04-23 18:00,  2024-04-24 02:00,95,5,1.36,240,14,0.73,228,9,1.16,240,14
7,007,  2024-04-23 19:00,  2024-04-24 03:00,120,6,1.34,240,14,0.72,228,9,1.15,240,14
8,008,  2024-04-23 20:00,  2024-04-24 04:00,126,8,1.33,240,14,0.71,228,9,1.13,240,14
9,009,  2024-04-23 21:00,  2024-04-24 05:00,121,11,1.31,228,13,0.7,228,9,1.12,240,14
10,010,  2024-04-23 22:00,  2024-04-24 06:00,121,12,1.29,228,13,0.7,228,9,1.1,240,14
11,011,  2024-04-23 23:00,  2024-04-24 07:00,124,13,1.31,228,13,0.75,228,9,1.08,240,14
12,012,  2024-04-24 00:00,  2024-04-24 08:00,127,17,1.34,228,13,0.84,228,9,1.06,240,14
13,013,  2024-04-24 01:00,  2024-04-24 09:00,114,17,1.4,228,13,0.96,228,9,1.03,240,14
14,014,  2024-04-24 02:00,  2024-04-24 10:00,97,18,1.46,228,13,1.07,228,4,1.01,240,14
15,015,  2024-04-24 03:00,  2024-04-24 11:00,89,17,1.51,228,13,1.16,228,4,0.98,240,14
16,016,  2024-04-24 04:00,  2024-04-24 12:00,83,17,1.53,228,13,1.21,228,4,0.96,240,14
17,017,  2024-04-24 05:00,  2024-04-24 13:00,80,16,1.53,228,13,1.23,228,5,0.93,240,14
18,018,  2024-04-24 06:00,  2024-04-24 14:00,76,16,1.52,228,13,1.22,60,5,0.91,240,14
19,019,  2024-04-24 07:00,  2024-04-24 15:00,69,16,1.48,228,13,1.2,60,5,0.89,240,14
20,020,  2024-04-24 08:00,  2024-04-24 16:00,64,15,1.44,228,13,1.16,60,5,0.87,240,14
21,021,  2024-04-24 09:00,  2024-04-24 17:00,57,14,1.4,228,13,1.12,60,6,0.85,240,14
22,022,  2024-04-24 10:00,  2024-04-24 18:00,51,14,1.36,228,13,1.09,60,6,0.83,240,14
23,023,  2024-04-24 11:00,  2024-04-24 19:00,42,14,1.33,240,13,1.06,60,6,0.81,240,14
24,024,  2024-04-24 12:00,  2024-04-24 20:00,35,13,1.29,240,13,1.01,60,6,0.8,240,14
25,025,  2024-04-24 13:00,  2024-04-24 21:00,35,10,1.23,240,13,0.96,60,6,0.78,240,14
26,026,  2024-04-24 14:00,  2024-04-24 22:00,45,8,1.18,240,13,0.9,60,6,0.77,240,14
