,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s]
0,000,  2024-04-28 12:00,  2024-04-28 20:00,63,7,1.09,228,18,0.52,36,5,0.96,228,18
1,001,  2024-04-28 13:00,  2024-04-28 21:00,51,7,1.11,228,18,0.54,36,5,0.97,228,18
2,002,  2024-04-28 14:00,  2024-04-28 22:00,43,6,1.12,228,18,0.55,36,5,0.98,228,18
3,003,  2024-04-28 15:00,  2024-04-28 23:00,47,4,1.13,228,17,0.56,36,5,0.98,228,18
4,004,  2024-04-28 16:00,  2024-04-29 00:00,85,2,1.14,228,17,0.58,36,5,0.99,228,17
5,005,  2024-04-28 17:00,  2024-04-29 01:00,156,2,1.15,228,17,0.59,36,6,0.99,228,17
6,006,  2024-04-28 18:00,  2024-04-29 02:00,177,3,1.17,228,17,0.61,48,6,1.0,228,17
7,007,  2024-04-28 19:00,  2024-04-29 03:00,171,6,1.18,228,16,0.62,48,6,1.01,228,17
8,008,  2024-04-28 20:00,  2024-04-29 04:00,162,7,1.19,228,16,0.63,48,6,1.02,228,17
9,009,  2024-04-28 21:00,  2024-04-29 05:00,155,8,1.2,228,16,0.63,48,6,1.03,228,17
10,010,  2024-04-28 22:00,  2024-04-29 06:00,148,11,1.21,228,16,0.63,48,6,1.04,228,17
11,011,  2024-04-28 23:00,  2024-04-29 07:00,146,12,1.22,228,16,0.62,48,6,1.05,228,17
12,012,  2024-04-29 00:00,  2024-04-29 08:00,142,12,1.22,228,16,0.62,48,6,1.06,228,17
13,013,  2024-04-29 01:00,  2024-04-29 09:00,142,11,1.24,228,16,0.66,48,6,1.06,228,17
14,014,  2024-04-29 02:00,  2024-04-29 10:00,147,10,1.25,228,16,0.65,48,6,1.07,228,17
15,015,  2024-04-29 03:00,  2024-04-29 11:00,144,11,1.25,228,16,0.65,48,6,1.07,228,17
16,016,  2024-04-29 04:00,  2024-04-29 12:00,138,11,1.25,228,16,0.66,48,6,1.07,228,17
17,017,  2024-04-29 05:00,  2024-04-29 13:00,128,9,1.24,228,16,0.65,48,6,1.06,228,17
18,018,  2024-04-29 06:00,  2024-04-29 14:00,112,8,1.23,228,16,0.64,48,6,1.06,228,17
19,019,  2024-04-29 07:00,  2024-04-29 15:00,95,9,1.22,228,16,0.62,48,6,1.06,228,15
20,020,  2024-04-29 08:00,  2024-04-29 16:00,73,11,1.22,228,15,0.62,48,6,1.05,228,15
21,021,  2024-04-29 09:00,  2024-04-29 17:00,59,14,1.25,228,15,0.68,48,6,1.05,228,15
22,022,  2024-04-29 10:00,  2024-04-29 18:00,52,15,1.31,228,15,0.79,48,6,1.05,228,15
23,023,  2024-04-29 11:00,  2024-04-29 19:00,49,16,1.39,228,15,0.93,48,4,1.04,228,15
24,024,  2024-04-29 12:00,  2024-04-29 20:00,40,15,1.43,228,15,0.99,48,4,1.04,228,15
25,025,  2024-04-29 13:00,  2024-04-29 21:00,26,13,1.43,228,15,0.99,48,4,1.04,228,15
26,026,  2024-04-29 14:00,  2024-04-29 22:00,16,11,1.4,228,15,0.96,48,5,1.03,228,15
27,027,  2024-04-29 15:00,  2024-04-29 23:00,8,8,1.37,228,15,0.91,48,5,1.03,228,15
28,028,  2024-04-29 16:00,  2024-04-30 00:00,329,1,1.34,228,15,0.87,48,6,1.02,228,15
29,029,  2024-04-29 17:00,  2024-04-30 01:00,178,3,1.31,228,15,0.84,48,6,1.01,228,15
30,030,  2024-04-29 18:00,  2024-04-30 02:00,178,5,1.28,228,15,0.81,48,6,1.01,228,15
31,031,  2024-04-29 19:00,  2024-04-30 03:00,171,6,1.26,228,15,0.78,48,6,1.0,228,15
32,032,  2024-04-29 20:00,  2024-04-30 04:00,159,7,1.24,228,15,0.75,48,6,0.99,228,15
33,033,  2024-04-29 21:00,  2024-04-30 05:00,140,10,1.21,228,15,0.73,48,6,0.98,228,15
34,034,  2024-04-29 22:00,  2024-04-30 06:00,132,10,1.2,228,14,0.71,48,6,0.97,228,15
35,035,  2024-04-29 23:00,  2024-04-30 07:00,125,11,1.19,228,14,0.7,48,6,0.96,228,15
36,036,  2024-04-30 00:00,  2024-04-30 08:00,119,12,1.2,228,14,0.74,48,6,0.95,228,15
37,037,  2024-04-30 01:00,  2024-04-30 09:00,117,13,1.22,228,14,0.78,48,6,0.95,228,14
38,038,  2024-04-30 02:00,  2024-04-30 10:00,115,14,1.25,228,14,0.83,48,7,0.94,228,14
39,039,  2024-04-30 03:00,  2024-04-30 11:00,108,16,1.32,228,14,0.94,48,7,0.93,228,14
40,040,  2024-04-30 04:00,  2024-04-30 12:00,91,17,1.41,228,14,1.08,48,4,0.92,228,14
41,041,  2024-04-30 05:00,  2024-04-30 13:00,84,17,1.49,228,14,1.19,48,4,0.92,228,14
42,042,  2024-04-30 06:00,  2024-04-30 14:00,76,16,1.55,228,14,1.27,48,5,0.91,228,14
43,043,  2024-04-30 07:00,  2024-04-30 15:00,68,15,1.58,228,14,1.3,48,5,0.9,228,14
44,044,  2024-04-30 08:00,  2024-04-30 16:00,64,15,1.57,228,14,1.31,48,6,0.89,228,14
45,045,  2024-04-30 09:00,  2024-04-30 17:00,57,15,1.56,228,14,1.29,48,6,0.88,228,14
46,046,  2024-04-30 10:00,  2024-04-30 18:00,48,14,1.53,228,14,1.26,48,6,0.88,228,14
47,047,  2024-04-30 11:00,  2024-04-30 19:00,40,14,1.5,228,14,1.24,48,6,0.87,228,14
48,048,  2024-04-30 12:00,  2024-04-30 20:00,38,13,1.47,228,14,1.21,48,6,0.86,228,14
49,049,  2024-04-30 13:00,  2024-04-30 21:00,36,12,1.44,228,13,1.17,48,6,0.85,228,14
50,050,  2024-04-30 14:00,  2024-04-30 22:00,32,12,1.42,228,13,1.15,48,6,0.85,228,14
51,051,  2024-04-30 15:00,  2024-04-30 23:00,33,12,1.39,228,13,1.13,48,6,0.84,228,14
52,052,  2024-04-30 16:00,  2024-05-01 00:00,40,9,1.38,228,13,1.11,48,6,0.83,228,14
53,053,  2024-04-30 17:00,  2024-05-01 01:00,59,6,1.36,228,13,1.1,48,6,0.82,228,14
54,054,  2024-04-30 18:00,  2024-05-01 02:00,89,7,1.36,228,13,1.1,48,6,0.81,228,14
55,055,  2024-04-30 19:00,  2024-05-01 03:00,99,10,1.37,228,13,1.12,60,7,0.81,228,14
56,056,  2024-04-30 20:00,  2024-05-01 04:00,105,13,1.39,228,13,1.15,60,7,0.8,228,14
57,057,  2024-04-30 21:00,  2024-05-01 05:00,113,15,1.42,228,13,1.19,60,7,0.8,228,14
58,058,  2024-04-30 22:00,  2024-05-01 06:00,115,16,1.47,228,13,1.25,60,7,0.79,228,14
59,059,  2024-04-30 23:00,  2024-05-01 07:00,108,17,1.51,228,13,1.31,60,7,0.79,228,14
60,060,  2024-05-01 00:00,  2024-05-01 08:00,96,18,1.56,228,13,1.37,60,7,0.78,228,14
61,061,  2024-05-01 01:00,  2024-05-01 09:00,90,19,1.61,228,13,1.43,60,7,0.77,228,14
62,062,  2024-05-01 02:00,  2024-05-01 10:00,86,18,1.65,228,13,1.47,60,7,0.76,228,14
63,063,  2024-05-01 03:00,  2024-05-01 11:00,84,17,1.66,60,7,1.5,60,7,0.75,228,14
64,064,  2024-05-01 04:00,  2024-05-01 12:00,81,17,1.68,60,7,1.52,60,7,0.73,228,14
65,065,  2024-05-01 05:00,  2024-05-01 13:00,79,17,1.73,60,7,1.58,60,7,0.72,228,12
66,066,  2024-05-01 06:00,  2024-05-01 14:00,79,16,1.81,60,7,1.67,60,7,0.73,228,12
67,067,  2024-05-01 07:00,  2024-05-01 15:00,72,15,1.88,60,7,1.75,60,7,0.74,228,12
68,068,  2024-05-01 08:00,  2024-05-01 16:00,58,14,1.9,60,7,1.77,60,8,0.77,228,9
69,069,  2024-05-01 09:00,  2024-05-01 17:00,50,14,1.88,60,8,1.74,60,8,0.78,228,9
70,070,  2024-05-01 10:00,  2024-05-01 18:00,45,13,1.84,60,8,1.7,60,8,0.79,228,9
71,071,  2024-05-01 11:00,  2024-05-01 19:00,43,12,1.79,60,8,1.64,60,8,0.78,228,9
72,072,  2024-05-01 12:00,  2024-05-01 20:00,45,10,1.72,60,8,1.58,60,8,0.77,228,9
73,073,  2024-05-01 13:00,  2024-05-01 21:00,48,9,1.66,60,8,1.51,60,8,0.75,228,9
74,074,  2024-05-01 14:00,  2024-05-01 22:00,60,8,1.6,60,8,1.45,60,8,0.73,228,9
75,075,  2024-05-01 15:00,  2024-05-01 23:00,81,7,1.54,60,8,1.39,60,8,0.71,228,9
76,076,  2024-05-01 16:00,  2024-05-02 00:00,106,6,1.48,60,8,1.33,60,8,0.69,228,9
77,077,  2024-05-01 17:00,  2024-05-02 01:00,112,7,1.42,60,8,1.28,60,8,0.68,228,9
78,078,  2024-05-01 18:00,  2024-05-02 02:00,119,7,1.37,60,7,1.23,60,8,0.66,228,12
79,079,  2024-05-01 19:00,  2024-05-02 03:00,123,9,1.32,60,7,1.18,60,8,0.65,228,12
80,080,  2024-05-01 20:00,  2024-05-02 04:00,122,11,1.28,60,7,1.13,60,8,0.64,228,12
81,081,  2024-05-01 21:00,  2024-05-02 05:00,125,12,1.25,60,7,1.1,60,7,0.62,228,12
82,082,  2024-05-01 22:00,  2024-05-02 06:00,126,14,1.24,60,7,1.1,60,7,0.61,228,12
83,083,  2024-05-01 23:00,  2024-05-02 07:00,127,14,1.24,60,7,1.1,60,7,0.6,228,12
84,084,  2024-05-02 00:00,  2024-05-02 08:00,117,13,1.23,60,7,1.09,60,7,0.59,228,12
85,085,  2024-05-02 01:00,  2024-05-02 09:00,105,15,1.24,60,7,1.1,60,7,0.58,228,12
86,086,  2024-05-02 02:00,  2024-05-02 10:00,101,17,1.29,60,7,1.16,60,7,0.58,228,12
87,087,  2024-05-02 03:00,  2024-05-02 11:00,93,18,1.39,60,12,1.27,60,7,0.57,228,12
88,088,  2024-05-02 04:00,  2024-05-02 12:00,85,17,1.47,60,5,1.36,60,5,0.56,228,12
89,089,  2024-05-02 05:00,  2024-05-02 13:00,80,16,1.51,60,6,1.41,60,6,0.55,228,12
90,090,  2024-05-02 06:00,  2024-05-02 14:00,77,15,1.54,60,6,1.44,60,6,0.55,228,12
91,091,  2024-05-02 07:00,  2024-05-02 15:00,74,15,1.55,60,6,1.46,60,6,0.54,228,12
92,092,  2024-05-02 08:00,  2024-05-02 16:00,71,15,1.55,60,6,1.46,60,6,0.53,228,12
93,093,  2024-05-02 09:00,  2024-05-02 17:00,67,14,1.52,60,6,1.43,60,6,0.53,228,12
94,094,  2024-05-02 10:00,  2024-05-02 18:00,63,13,1.48,60,6,1.39,60,6,0.52,228,12
95,095,  2024-05-02 11:00,  2024-05-02 19:00,56,13,1.44,60,6,1.35,60,6,0.52,228,12
96,096,  2024-05-02 12:00,  2024-05-02 20:00,45,14,1.4,60,6,1.31,60,6,0.52,228,12
97,097,  2024-05-02 13:00,  2024-05-02 21:00,34,12,1.36,60,6,1.27,60,6,0.51,228,12
98,098,  2024-05-02 14:00,  2024-05-02 22:00,32,10,1.31,60,6,1.22,60,6,0.51,228,12
99,099,  2024-05-02 15:00,  2024-05-02 23:00,35,8,1.28,60,7,1.18,60,6,0.51,228,12
100,100,  2024-05-02 16:00,  2024-05-03 00:00,44,7,1.24,60,7,1.14,60,6,0.51,228,12
101,101,  2024-05-02 17:00,  2024-05-03 01:00,63,5,1.21,60,7,1.11,60,6,0.51,228,12
102,102,  2024-05-02 18:00,  2024-05-03 02:00,95,4,1.18,60,7,1.07,60,7,0.51,228,11
103,103,  2024-05-02 19:00,  2024-05-03 03:00,131,6,1.15,60,7,1.04,60,7,0.51,228,11
104,104,  2024-05-02 20:00,  2024-05-03 04:00,141,8,1.12,60,7,1.01,60,7,0.51,228,11
105,105,  2024-05-02 21:00,  2024-05-03 05:00,139,11,1.09,60,7,0.98,60,7,0.51,228,11
106,106,  2024-05-02 22:00,  2024-05-03 06:00,131,14,1.1,60,7,0.98,60,7,0.51,228,11
107,107,  2024-05-02 23:00,  2024-05-03 07:00,127,15,1.12,60,7,1.01,60,7,0.51,228,11
108,108,  2024-05-03 00:00,  2024-05-03 08:00,125,14,1.13,60,7,1.02,60,7,0.52,228,11
109,109,  2024-05-03 01:00,  2024-05-03 09:00,123,14,1.14,60,7,1.02,60,7,0.52,228,17
110,110,  2024-05-03 02:00,  2024-05-03 10:00,118,15,1.16,60,7,1.04,60,7,0.52,228,17
111,111,  2024-05-03 03:00,  2024-05-03 11:00,110,15,1.19,72,7,1.08,72,7,0.52,228,17
112,112,  2024-05-03 04:00,  2024-05-03 12:00,96,17,1.25,72,7,1.14,72,6,0.53,228,17
