,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s]
0,000,  2024-04-25 12:00,  2024-04-25 20:00,45,9,0.94,228,12,0.77,60,5,0.55,228,12
1,001,  2024-04-25 13:00,  2024-04-25 21:00,39,9,0.91,228,12,0.74,60,5,0.54,228,12
2,002,  2024-04-25 14:00,  2024-04-25 22:00,30,9,0.89,228,12,0.72,60,5,0.53,228,12
3,003,  2024-04-25 15:00,  2024-04-25 23:00,21,9,0.86,228,12,0.69,60,5,0.52,228,12
4,004,  2024-04-25 16:00,  2024-04-26 00:00,16,9,0.84,228,12,0.67,60,5,0.51,240,12
5,005,  2024-04-25 17:00,  2024-04-26 01:00,7,8,0.81,228,12,0.64,60,5,0.51,240,12
6,006,  2024-04-25 18:00,  2024-04-26 02:00,9,6,0.79,240,12,0.62,60,5,0.5,240,12
7,007,  2024-04-25 19:00,  2024-04-26 03:00,17,3,0.77,240,12,0.59,60,5,0.49,240,12
8,008,  2024-04-25 20:00,  2024-04-26 04:00,92,4,0.75,240,12,0.57,60,5,0.49,240,12
9,009,  2024-04-25 21:00,  2024-04-26 05:00,110,5,0.73,240,12,0.55,228,5,0.48,240,12
10,010,  2024-04-25 22:00,  2024-04-26 06:00,118,5,0.71,240,12,0.53,228,5,0.48,240,12
11,011,  2024-04-25 23:00,  2024-04-26 07:00,115,7,0.69,240,12,0.51,228,5,0.47,240,12
12,012,  2024-04-26 00:00,  2024-04-26 08:00,114,9,0.68,240,12,0.49,228,5,0.47,228,12
13,013,  2024-04-26 01:00,  2024-04-26 09:00,116,10,0.66,240,12,0.48,228,5,0.46,228,12
14,014,  2024-04-26 02:00,  2024-04-26 10:00,120,10,0.65,240,12,0.47,228,5,0.46,228,12
15,015,  2024-04-26 03:00,  2024-04-26 11:00,116,9,0.64,240,12,0.46,228,5,0.46,228,12
16,016,  2024-04-26 04:00,  2024-04-26 12:00,95,9,0.64,240,13,0.46,228,9,0.45,228,12
17,017,  2024-04-26 05:00,  2024-04-26 13:00,72,9,0.64,240,13,0.46,228,9,0.45,228,12
18,018,  2024-04-26 06:00,  2024-04-26 14:00,56,8,0.64,240,13,0.47,228,9,0.45,240,12
19,019,  2024-04-26 07:00,  2024-04-26 15:00,52,8,0.64,240,13,0.46,228,9,0.45,240,12
