,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s]
0,000,  2024-04-27 12:00,  2024-04-27 20:00,89,10,1.24,216,15,0.71,204,9,1.02,216,15
1,001,  2024-04-27 13:00,  2024-04-27 21:00,90,9,1.24,216,15,0.71,204,9,1.03,216,15
2,002,  2024-04-27 14:00,  2024-04-27 22:00,92,9,1.24,216,15,0.7,204,9,1.04,216,15
3,003,  2024-04-27 15:00,  2024-04-27 23:00,90,9,1.25,216,15,0.69,204,9,1.05,216,15
4,004,  2024-04-27 16:00,  2024-04-28 00:00,83,8,1.25,216,15,0.69,204,9,1.06,216,15
5,005,  2024-04-27 17:00,  2024-04-28 01:00,76,7,1.26,216,14,0.68,204,9,1.07,216,15
6,006,  2024-04-27 18:00,  2024-04-28 02:00,82,6,1.27,216,14,0.68,204,9,1.09,216,14
7,007,  2024-04-27 19:00,  2024-04-28 03:00,95,6,1.29,216,14,0.67,204,9,1.11,216,14
8,008,  2024-04-27 20:00,  2024-04-28 04:00,112,6,1.3,216,20,0.67,204,9,1.12,216,20
9,009,  2024-04-27 21:00,  2024-04-28 05:00,126,6,1.32,216,20,0.67,204,9,1.14,216,20
10,010,  2024-04-27 22:00,  2024-04-28 06:00,142,7,1.33,216,20,0.67,204,9,1.16,216,20
11,011,  2024-04-27 23:00,  2024-04-28 07:00,142,10,1.35,216,20,0.67,204,9,1.18,216,20
12,012,  2024-04-28 00:00,  2024-04-28 08:00,135,13,1.38,216,20,0.7,204,9,1.19,216,20
13,013,  2024-04-28 01:00,  2024-04-28 09:00,129,14,1.43,216,20,0.78,204,9,1.21,216,20
14,014,  2024-04-28 02:00,  2024-04-28 10:00,126,15,1.48,216,20,0.85,204,9,1.23,216,20
15,015,  2024-04-28 03:00,  2024-04-28 11:00,120,15,1.54,216,20,0.92,204,9,1.24,216,20
16,016,  2024-04-28 04:00,  2024-04-28 12:00,115,15,1.59,216,19,0.98,204,4,1.26,216,20
17,017,  2024-04-28 05:00,  2024-04-28 13:00,113,14,1.62,216,19,1.01,204,4,1.28,216,18
18,018,  2024-04-28 06:00,  2024-04-28 14:00,106,14,1.65,216,19,1.03,204,4,1.3,216,18
19,019,  2024-04-28 07:00,  2024-04-28 15:00,102,13,1.67,216,18,1.03,204,4,1.32,216,18
20,020,  2024-04-28 08:00,  2024-04-28 16:00,103,12,1.68,216,18,1.02,204,5,1.35,216,18
21,021,  2024-04-28 09:00,  2024-04-28 17:00,96,12,1.7,216,18,1.02,48,5,1.37,216,18
22,022,  2024-04-28 10:00,  2024-04-28 18:00,85,13,1.72,216,18,1.02,48,5,1.39,216,18
23,023,  2024-04-28 11:00,  2024-04-28 19:00,78,13,1.73,216,18,1.03,48,5,1.4,216,18
24,024,  2024-04-28 12:00,  2024-04-28 20:00,76,13,1.75,216,18,1.04,48,5,1.42,216,18
25,025,  2024-04-28 13:00,  2024-04-28 21:00,76,12,1.76,216,18,1.04,48,5,1.42,216,18
26,026,  2024-04-28 14:00,  2024-04-28 22:00,77,11,1.76,216,18,1.04,48,5,1.43,216,18
27,027,  2024-04-28 15:00,  2024-04-28 23:00,72,10,1.76,216,18,1.04,48,6,1.43,216,18
28,028,  2024-04-28 16:00,  2024-04-29 00:00,63,9,1.76,216,18,1.03,48,6,1.43,216,18
29,029,  2024-04-28 17:00,  2024-04-29 01:00,57,7,1.75,216,17,1.01,48,6,1.44,216,17
30,030,  2024-04-28 18:00,  2024-04-29 02:00,60,5,1.75,216,17,0.99,48,6,1.45,216,17
31,031,  2024-04-28 19:00,  2024-04-29 03:00,70,4,1.75,216,17,0.98,48,6,1.46,216,17
32,032,  2024-04-28 20:00,  2024-04-29 04:00,86,4,1.75,216,17,0.96,48,6,1.47,216,17
33,033,  2024-04-28 21:00,  2024-04-29 05:00,113,5,1.75,216,16,0.95,48,6,1.48,216,17
34,034,  2024-04-28 22:00,  2024-04-29 06:00,136,10,1.76,216,16,0.94,48,6,1.5,216,17
35,035,  2024-04-28 23:00,  2024-04-29 07:00,131,13,1.78,216,16,0.96,48,6,1.51,216,17
36,036,  2024-04-29 00:00,  2024-04-29 08:00,123,14,1.82,216,16,1.01,48,6,1.52,216,17
37,037,  2024-04-29 01:00,  2024-04-29 09:00,117,13,1.85,216,16,1.04,60,6,1.53,216,17
38,038,  2024-04-29 02:00,  2024-04-29 10:00,112,14,1.87,216,16,1.08,60,7,1.53,216,17
39,039,  2024-04-29 03:00,  2024-04-29 11:00,106,15,1.89,216,16,1.11,60,7,1.53,216,17
40,040,  2024-04-29 04:00,  2024-04-29 12:00,104,14,1.9,216,16,1.14,60,7,1.53,216,17
41,041,  2024-04-29 05:00,  2024-04-29 13:00,102,13,1.9,216,16,1.15,60,7,1.52,216,17
42,042,  2024-04-29 06:00,  2024-04-29 14:00,98,13,1.89,216,16,1.15,60,6,1.51,216,17
43,043,  2024-04-29 07:00,  2024-04-29 15:00,96,13,1.88,216,16,1.15,60,6,1.5,216,17
44,044,  2024-04-29 08:00,  2024-04-29 16:00,92,14,1.87,216,16,1.15,60,6,1.49,216,15
45,045,  2024-04-29 09:00,  2024-04-29 17:00,89,13,1.86,216,15,1.15,60,6,1.47,216,15
46,046,  2024-04-29 10:00,  2024-04-29 18:00,87,14,1.86,216,15,1.16,60,6,1.46,216,15
47,047,  2024-04-29 11:00,  2024-04-29 19:00,87,14,1.85,216,15,1.17,60,6,1.45,216,15
48,048,  2024-04-29 12:00,  2024-04-29 20:00,83,15,1.85,216,15,1.18,60,6,1.44,216,15
49,049,  2024-04-29 13:00,  2024-04-29 21:00,82,14,1.85,216,15,1.19,60,6,1.43,216,15
50,050,  2024-04-29 14:00,  2024-04-29 22:00,77,12,1.83,216,15,1.17,60,6,1.42,216,15
51,051,  2024-04-29 15:00,  2024-04-29 23:00,80,10,1.81,216,15,1.15,60,6,1.41,216,15
52,052,  2024-04-29 16:00,  2024-04-30 00:00,81,10,1.79,216,15,1.12,60,6,1.4,216,15
53,053,  2024-04-29 17:00,  2024-04-30 01:00,79,10,1.77,216,15,1.1,60,6,1.4,216,15
54,054,  2024-04-29 18:00,  2024-04-30 02:00,86,9,1.75,216,15,1.07,60,6,1.39,216,15
55,055,  2024-04-29 19:00,  2024-04-30 03:00,93,9,1.73,216,15,1.05,60,6,1.39,216,15
56,056,  2024-04-29 20:00,  2024-04-30 04:00,95,9,1.72,216,15,1.03,60,6,1.38,216,15
57,057,  2024-04-29 21:00,  2024-04-30 05:00,92,9,1.71,216,15,1.02,60,7,1.38,216,15
58,058,  2024-04-29 22:00,  2024-04-30 06:00,96,11,1.7,216,15,1.02,60,7,1.38,216,15
59,059,  2024-04-29 23:00,  2024-04-30 07:00,121,14,1.73,216,15,1.06,60,7,1.38,216,15
60,060,  2024-04-30 00:00,  2024-04-30 08:00,118,15,1.76,216,14,1.13,60,7,1.37,216,15
61,061,  2024-04-30 01:00,  2024-04-30 09:00,114,16,1.81,216,14,1.21,60,7,1.36,216,15
62,062,  2024-04-30 02:00,  2024-04-30 10:00,109,16,1.85,216,14,1.29,60,7,1.35,216,14
63,063,  2024-04-30 03:00,  2024-04-30 11:00,99,16,1.89,216,14,1.34,60,7,1.34,216,14
64,064,  2024-04-30 04:00,  2024-04-30 12:00,93,15,1.9,216,14,1.38,60,7,1.33,216,14
65,065,  2024-04-30 05:00,  2024-04-30 13:00,93,15,1.91,216,14,1.4,60,7,1.32,216,14
66,066,  2024-04-30 06:00,  2024-04-30 14:00,90,15,1.9,216,14,1.4,60,7,1.31,216,14
67,067,  2024-04-30 07:00,  2024-04-30 15:00,90,14,1.89,216,14,1.4,60,7,1.3,216,14
68,068,  2024-04-30 08:00,  2024-04-30 16:00,90,14,1.88,216,14,1.39,60,7,1.29,216,14
69,069,  2024-04-30 09:00,  2024-04-30 17:00,90,15,1.87,216,14,1.38,60,7,1.28,216,14
70,070,  2024-04-30 10:00,  2024-04-30 18:00,89,16,1.87,216,14,1.4,60,7,1.27,216,14
71,071,  2024-04-30 11:00,  2024-04-30 19:00,86,18,1.89,216,14,1.43,60,7,1.26,216,14
72,072,  2024-04-30 12:00,  2024-04-30 20:00,79,17,1.91,216,13,1.46,60,7,1.25,216,14
73,073,  2024-04-30 13:00,  2024-04-30 21:00,73,16,1.9,216,13,1.47,60,6,1.24,216,14
74,074,  2024-04-30 14:00,  2024-04-30 22:00,69,15,1.9,216,13,1.46,60,6,1.23,216,14
75,075,  2024-04-30 15:00,  2024-04-30 23:00,66,13,1.88,216,13,1.45,60,6,1.22,216,14
76,076,  2024-04-30 16:00,  2024-05-01 00:00,63,13,1.87,216,13,1.45,60,6,1.21,216,14
77,077,  2024-04-30 17:00,  2024-05-01 01:00,61,12,1.87,216,13,1.45,60,7,1.21,216,14
78,078,  2024-04-30 18:00,  2024-05-01 02:00,60,12,1.86,216,13,1.45,60,7,1.2,216,14
79,079,  2024-04-30 19:00,  2024-05-01 03:00,62,11,1.86,216,13,1.45,60,7,1.2,216,14
80,080,  2024-04-30 20:00,  2024-05-01 04:00,77,12,1.86,216,13,1.46,60,7,1.19,216,14
81,081,  2024-04-30 21:00,  2024-05-01 05:00,98,13,1.86,216,13,1.46,60,8,1.19,216,14
82,082,  2024-04-30 22:00,  2024-05-01 06:00,109,16,1.87,216,13,1.49,60,8,1.18,216,14
83,083,  2024-04-30 23:00,  2024-05-01 07:00,110,17,1.9,216,13,1.52,72,8,1.17,216,14
84,084,  2024-05-01 00:00,  2024-05-01 08:00,108,18,1.92,216,13,1.56,72,8,1.16,216,14
85,085,  2024-05-01 01:00,  2024-05-01 09:00,105,18,1.94,216,13,1.6,72,8,1.15,216,14
86,086,  2024-05-01 02:00,  2024-05-01 10:00,105,18,1.96,216,13,1.63,72,8,1.13,216,14
87,087,  2024-05-01 03:00,  2024-05-01 11:00,103,18,1.97,216,13,1.65,72,8,1.11,216,14
88,088,  2024-05-01 04:00,  2024-05-01 12:00,97,18,1.96,216,13,1.65,72,8,1.09,216,14
89,089,  2024-05-01 05:00,  2024-05-01 13:00,91,18,1.97,216,13,1.67,72,7,1.08,216,14
90,090,  2024-05-01 06:00,  2024-05-01 14:00,86,18,1.98,216,13,1.69,72,7,1.06,216,14
91,091,  2024-05-01 07:00,  2024-05-01 15:00,86,17,1.98,216,13,1.7,72,7,1.04,216,14
92,092,  2024-05-01 08:00,  2024-05-01 16:00,87,16,1.96,216,13,1.69,72,7,1.03,216,14
93,093,  2024-05-01 09:00,  2024-05-01 17:00,89,16,1.95,204,13,1.69,72,7,1.01,216,14
94,094,  2024-05-01 10:00,  2024-05-01 18:00,91,16,1.95,204,13,1.69,72,7,1.0,204,12
95,095,  2024-05-01 11:00,  2024-05-01 19:00,87,15,1.94,204,7,1.68,72,7,0.99,204,12
96,096,  2024-05-01 12:00,  2024-05-01 20:00,78,14,1.93,204,7,1.68,72,7,0.99,204,12
97,097,  2024-05-01 13:00,  2024-05-01 21:00,71,13,1.91,204,7,1.66,72,7,0.98,204,12
98,098,  2024-05-01 14:00,  2024-05-01 22:00,67,12,1.88,204,7,1.63,72,7,0.97,204,12
99,099,  2024-05-01 15:00,  2024-05-01 23:00,68,12,1.85,204,7,1.6,72,7,0.97,204,12
100,100,  2024-05-01 16:00,  2024-05-02 00:00,68,12,1.82,204,7,1.57,72,7,0.96,204,12
101,101,  2024-05-01 17:00,  2024-05-02 01:00,65,12,1.78,204,7,1.53,72,7,0.95,204,12
102,102,  2024-05-01 18:00,  2024-05-02 02:00,68,12,1.74,204,7,1.49,72,7,0.94,204,12
103,103,  2024-05-01 19:00,  2024-05-02 03:00,77,11,1.7,204,7,1.44,72,7,0.94,204,12
104,104,  2024-05-01 20:00,  2024-05-02 04:00,98,11,1.66,204,12,1.4,84,7,0.93,204,12
105,105,  2024-05-01 21:00,  2024-05-02 05:00,110,12,1.63,204,12,1.36,84,7,0.92,204,12
106,106,  2024-05-01 22:00,  2024-05-02 06:00,116,13,1.6,204,12,1.33,84,7,0.91,216,12
107,107,  2024-05-01 23:00,  2024-05-02 07:00,114,14,1.58,204,12,1.32,84,7,0.91,216,12
108,108,  2024-05-02 00:00,  2024-05-02 08:00,114,15,1.57,216,12,1.31,84,7,0.9,216,12
109,109,  2024-05-02 01:00,  2024-05-02 09:00,116,16,1.57,216,12,1.32,84,7,0.89,216,12
110,110,  2024-05-02 02:00,  2024-05-02 10:00,113,17,1.59,216,12,1.35,84,7,0.88,216,12
111,111,  2024-05-02 03:00,  2024-05-02 11:00,106,17,1.61,216,12,1.37,84,7,0.87,216,12
112,112,  2024-05-02 04:00,  2024-05-02 12:00,99,17,1.62,216,12,1.4,84,7,0.85,216,12
113,113,  2024-05-02 05:00,  2024-05-02 13:00,96,17,1.64,216,12,1.43,84,6,0.84,216,12
114,114,  2024-05-02 06:00,  2024-05-02 14:00,94,18,1.68,216,12,1.47,84,6,0.83,216,12
115,115,  2024-05-02 07:00,  2024-05-02 15:00,92,18,1.72,216,12,1.53,84,6,0.82,216,12
116,116,  2024-05-02 08:00,  2024-05-02 16:00,91,17,1.76,216,6,1.57,72,6,0.81,216,12
117,117,  2024-05-02 09:00,  2024-05-02 17:00,90,16,1.78,216,6,1.6,72,6,0.8,216,12
118,118,  2024-05-02 10:00,  2024-05-02 18:00,88,16,1.79,216,6,1.62,72,6,0.79,216,12
