,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s]
0,000,  2024-04-27 12:00,  2024-04-27 20:00,287,7,0.21,300,15,0.1,12,6,0.19,300,15
1,001,  2024-04-27 13:00,  2024-04-27 21:00,282,6,0.22,300,15,0.1,12,6,0.19,300,15
2,002,  2024-04-27 14:00,  2024-04-27 22:00,283,5,0.22,300,22,0.1,12,6,0.2,300,22
3,003,  2024-04-27 15:00,  2024-04-27 23:00,267,4,0.22,300,22,0.1,12,6,0.2,300,22
4,004,  2024-04-27 16:00,  2024-04-28 00:00,253,5,0.22,300,22,0.1,12,6,0.2,300,22
5,005,  2024-04-27 17:00,  2024-04-28 01:00,239,6,0.23,300,21,0.1,12,6,0.21,300,22
6,006,  2024-04-27 18:00,  2024-04-28 02:00,215,6,0.23,300,21,0.1,12,6,0.21,300,22
7,007,  2024-04-27 19:00,  2024-04-28 03:00,195,7,0.24,300,21,0.1,12,6,0.21,300,20
8,008,  2024-04-27 20:00,  2024-04-28 04:00,190,7,0.24,300,20,0.1,12,6,0.22,300,20
9,009,  2024-04-27 21:00,  2024-04-28 05:00,186,8,0.24,300,20,0.1,12,6,0.22,300,20
10,010,  2024-04-27 22:00,  2024-04-28 06:00,176,9,0.25,300,20,0.1,12,6,0.23,300,20
11,011,  2024-04-27 23:00,  2024-04-28 07:00,158,9,0.25,300,20,0.1,12,6,0.23,300,20
12,012,  2024-04-28 00:00,  2024-04-28 08:00,138,7,0.26,300,20,0.1,12,6,0.23,300,20
13,013,  2024-04-28 01:00,  2024-04-28 09:00,116,7,0.26,300,20,0.1,12,6,0.24,300,20
14,014,  2024-04-28 02:00,  2024-04-28 10:00,99,6,0.26,300,20,0.1,12,6,0.24,300,20
15,015,  2024-04-28 03:00,  2024-04-28 11:00,45,4,0.26,300,20,0.11,12,6,0.24,300,20
16,016,  2024-04-28 04:00,  2024-04-28 12:00,357,6,0.27,300,20,0.11,12,6,0.25,300,20
17,017,  2024-04-28 05:00,  2024-04-28 13:00,350,8,0.27,300,19,0.11,12,6,0.25,300,20
18,018,  2024-04-28 06:00,  2024-04-28 14:00,346,9,0.27,300,19,0.11,12,6,0.25,300,20
19,019,  2024-04-28 07:00,  2024-04-28 15:00,342,9,0.28,300,19,0.12,12,6,0.25,300,18
20,020,  2024-04-28 08:00,  2024-04-28 16:00,336,8,0.28,300,19,0.12,12,6,0.25,300,18
21,021,  2024-04-28 09:00,  2024-04-28 17:00,330,6,0.28,300,18,0.12,12,6,0.26,300,18
22,022,  2024-04-28 10:00,  2024-04-28 18:00,315,7,0.29,300,18,0.13,12,6,0.26,300,18
23,023,  2024-04-28 11:00,  2024-04-28 19:00,313,7,0.29,300,18,0.13,12,6,0.26,300,18
24,024,  2024-04-28 12:00,  2024-04-28 20:00,326,7,0.29,300,18,0.13,12,6,0.26,300,18
25,025,  2024-04-28 13:00,  2024-04-28 21:00,323,6,0.29,300,18,0.13,12,6,0.26,300,18
26,026,  2024-04-28 14:00,  2024-04-28 22:00,290,6,0.29,300,18,0.14,12,6,0.26,300,18
27,027,  2024-04-28 15:00,  2024-04-28 23:00,242,5,0.3,300,18,0.16,12,6,0.26,300,18
28,028,  2024-04-28 16:00,  2024-04-29 00:00,196,6,0.32,300,18,0.19,12,6,0.26,300,18
29,029,  2024-04-28 17:00,  2024-04-29 01:00,188,6,0.34,300,18,0.23,12,4,0.26,300,18
30,030,  2024-04-28 18:00,  2024-04-29 02:00,195,6,0.36,300,18,0.25,12,4,0.26,300,18
31,031,  2024-04-28 19:00,  2024-04-29 03:00,187,6,0.36,300,17,0.25,12,4,0.26,300,18
32,032,  2024-04-28 20:00,  2024-04-29 04:00,171,6,0.36,300,17,0.25,12,4,0.26,300,17
33,033,  2024-04-28 21:00,  2024-04-29 05:00,151,5,0.35,300,17,0.24,12,6,0.26,300,17
34,034,  2024-04-28 22:00,  2024-04-29 06:00,78,5,0.35,300,17,0.23,12,6,0.26,300,17
35,035,  2024-04-28 23:00,  2024-04-29 07:00,78,6,0.34,300,17,0.22,12,6,0.26,300,17
36,036,  2024-04-29 00:00,  2024-04-29 08:00,95,6,0.33,300,17,0.21,12,6,0.26,300,17
37,037,  2024-04-29 01:00,  2024-04-29 09:00,111,5,0.33,300,17,0.2,12,6,0.26,300,17
38,038,  2024-04-29 02:00,  2024-04-29 10:00,113,5,0.32,300,17,0.19,12,6,0.26,300,17
39,039,  2024-04-29 03:00,  2024-04-29 11:00,108,3,0.32,300,16,0.18,12,6,0.26,300,17
40,040,  2024-04-29 04:00,  2024-04-29 12:00,17,3,0.32,300,16,0.18,12,6,0.26,300,17
41,041,  2024-04-29 05:00,  2024-04-29 13:00,351,6,0.31,300,16,0.18,12,7,0.26,300,17
42,042,  2024-04-29 06:00,  2024-04-29 14:00,342,7,0.31,300,16,0.17,12,7,0.26,300,17
43,043,  2024-04-29 07:00,  2024-04-29 15:00,344,7,0.31,300,16,0.17,12,7,0.26,300,17
