,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s]
0,000,  2024-04-27 12:00,  2024-04-27 20:00,113,12,1.61,72,6,1.58,72,6,0.33,240,9
1,001,  2024-04-27 13:00,  2024-04-27 21:00,119,12,1.58,72,6,1.55,72,6,0.33,240,9
2,002,  2024-04-27 14:00,  2024-04-27 22:00,120,13,1.56,72,6,1.54,72,6,0.33,240,9
3,003,  2024-04-27 15:00,  2024-04-27 23:00,117,13,1.55,72,6,1.52,72,6,0.33,240,9
4,004,  2024-04-27 16:00,  2024-04-28 00:00,117,12,1.53,72,6,1.5,72,6,0.34,240,9
5,005,  2024-04-27 17:00,  2024-04-28 01:00,120,13,1.51,72,6,1.48,72,6,0.34,240,9
6,006,  2024-04-27 18:00,  2024-04-28 02:00,126,13,1.49,72,7,1.46,72,6,0.35,240,9
7,007,  2024-04-27 19:00,  2024-04-28 03:00,131,14,1.47,72,7,1.44,72,6,0.36,240,9
8,008,  2024-04-27 20:00,  2024-04-28 04:00,128,14,1.46,72,7,1.43,72,6,0.37,240,9
9,009,  2024-04-27 21:00,  2024-04-28 05:00,125,14,1.46,72,7,1.42,72,7,0.38,72,9
10,010,  2024-04-27 22:00,  2024-04-28 06:00,126,15,1.46,72,7,1.42,72,7,0.38,72,9
11,011,  2024-04-27 23:00,  2024-04-28 07:00,126,16,1.47,72,7,1.43,72,7,0.39,72,9
12,012,  2024-04-28 00:00,  2024-04-28 08:00,123,18,1.51,72,7,1.47,72,7,0.4,72,9
13,013,  2024-04-28 01:00,  2024-04-28 09:00,120,18,1.57,72,5,1.53,72,5,0.4,72,9
14,014,  2024-04-28 02:00,  2024-04-28 10:00,119,18,1.62,72,5,1.59,72,5,0.4,72,9
15,015,  2024-04-28 03:00,  2024-04-28 11:00,116,18,1.66,72,5,1.62,72,5,0.4,72,9
16,016,  2024-04-28 04:00,  2024-04-28 12:00,113,18,1.68,72,6,1.65,72,6,0.4,72,9
17,017,  2024-04-28 05:00,  2024-04-28 13:00,110,18,1.7,72,6,1.67,72,6,0.4,72,9
18,018,  2024-04-28 06:00,  2024-04-28 14:00,110,17,1.71,72,6,1.67,72,6,0.4,72,9
19,019,  2024-04-28 07:00,  2024-04-28 15:00,113,17,1.7,72,6,1.67,72,6,0.39,72,9
20,020,  2024-04-28 08:00,  2024-04-28 16:00,116,17,1.69,72,6,1.66,72,6,0.39,72,9
21,021,  2024-04-28 09:00,  2024-04-28 17:00,117,16,1.67,72,6,1.64,72,6,0.38,72,9
22,022,  2024-04-28 10:00,  2024-04-28 18:00,119,16,1.64,72,6,1.61,72,6,0.37,72,9
23,023,  2024-04-28 11:00,  2024-04-28 19:00,119,16,1.62,72,6,1.59,72,6,0.36,72,9
24,024,  2024-04-28 12:00,  2024-04-28 20:00,120,16,1.6,72,6,1.57,72,6,0.35,72,9
25,025,  2024-04-28 13:00,  2024-04-28 21:00,119,16,1.58,72,6,1.55,72,6,0.34,240,9
26,026,  2024-04-28 14:00,  2024-04-28 22:00,120,15,1.55,72,6,1.52,72,6,0.34,240,9
27,027,  2024-04-28 15:00,  2024-04-28 23:00,123,14,1.51,72,6,1.48,72,6,0.33,240,9
28,028,  2024-04-28 16:00,  2024-04-29 00:00,127,13,1.47,72,6,1.44,72,6,0.33,240,9
