,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s]
0,000,  2024-04-28 12:00,  2024-04-28 20:00,319,5,0.47,300,19,0.4,24,5,0.25,300,18
1,001,  2024-04-28 13:00,  2024-04-28 21:00,304,3,0.47,300,18,0.4,24,5,0.26,300,18
2,002,  2024-04-28 14:00,  2024-04-28 22:00,231,4,0.47,300,18,0.39,24,5,0.26,300,18
3,003,  2024-04-28 15:00,  2024-04-28 23:00,202,8,0.46,300,18,0.37,24,6,0.27,300,18
4,004,  2024-04-28 16:00,  2024-04-29 00:00,190,9,0.44,300,18,0.35,24,6,0.27,300,18
5,005,  2024-04-28 17:00,  2024-04-29 01:00,188,8,0.43,300,18,0.34,24,6,0.28,300,18
6,006,  2024-04-28 18:00,  2024-04-29 02:00,186,9,0.43,300,18,0.32,24,6,0.28,300,18
7,007,  2024-04-28 19:00,  2024-04-29 03:00,182,11,0.42,300,18,0.31,24,6,0.28,300,18
8,008,  2024-04-28 20:00,  2024-04-29 04:00,174,11,0.41,300,18,0.3,24,6,0.29,300,18
9,009,  2024-04-28 21:00,  2024-04-29 05:00,152,10,0.41,300,18,0.3,24,6,0.29,300,18
10,010,  2024-04-28 22:00,  2024-04-29 06:00,133,11,0.41,300,18,0.3,24,6,0.29,300,18
11,011,  2024-04-28 23:00,  2024-04-29 07:00,119,12,0.45,300,18,0.35,24,6,0.29,300,18
12,012,  2024-04-29 00:00,  2024-04-29 08:00,110,12,0.51,300,17,0.42,24,6,0.29,300,18
13,013,  2024-04-29 01:00,  2024-04-29 09:00,103,12,0.53,300,17,0.45,24,6,0.29,300,17
14,014,  2024-04-29 02:00,  2024-04-29 10:00,87,13,0.56,300,17,0.48,24,6,0.29,300,17
15,015,  2024-04-29 03:00,  2024-04-29 11:00,67,13,0.6,300,17,0.52,24,3,0.29,300,17
16,016,  2024-04-29 04:00,  2024-04-29 12:00,50,13,0.6,300,17,0.52,24,3,0.29,300,17
17,017,  2024-04-29 05:00,  2024-04-29 13:00,42,13,0.6,300,17,0.53,24,7,0.3,300,17
18,018,  2024-04-29 06:00,  2024-04-29 14:00,29,12,0.61,300,17,0.54,24,7,0.3,300,17
19,019,  2024-04-29 07:00,  2024-04-29 15:00,19,12,0.63,300,17,0.56,24,6,0.3,300,17
20,020,  2024-04-29 08:00,  2024-04-29 16:00,11,11,0.66,300,16,0.59,24,5,0.3,300,17
21,021,  2024-04-29 09:00,  2024-04-29 17:00,2,10,0.66,300,16,0.59,36,6,0.29,300,17
22,022,  2024-04-29 10:00,  2024-04-29 18:00,338,6,0.64,300,16,0.58,36,6,0.29,300,17
23,023,  2024-04-29 11:00,  2024-04-29 19:00,329,4,0.63,300,16,0.55,36,6,0.29,300,17
24,024,  2024-04-29 12:00,  2024-04-29 20:00,249,3,0.6,300,16,0.53,24,6,0.29,300,17
