,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s]
0,000,  2024-04-25 12:00,  2024-04-25 20:00,3,8,0.54,24,4,0.52,36,4,0.16,288,12
1,001,  2024-04-25 13:00,  2024-04-25 21:00,352,6,0.55,36,4,0.53,36,4,0.15,288,12
2,002,  2024-04-25 14:00,  2024-04-25 22:00,338,6,0.53,36,4,0.5,24,4,0.15,288,12
3,003,  2024-04-25 15:00,  2024-04-25 23:00,330,5,0.49,24,4,0.47,24,4,0.15,288,12
4,004,  2024-04-25 16:00,  2024-04-26 00:00,324,3,0.45,24,4,0.43,24,4,0.15,288,12
5,005,  2024-04-25 17:00,  2024-04-26 01:00,214,3,0.41,24,4,0.38,24,4,0.15,288,12
6,006,  2024-04-25 18:00,  2024-04-26 02:00,180,5,0.37,288,4,0.34,24,4,0.15,288,12
7,007,  2024-04-25 19:00,  2024-04-26 03:00,159,5,0.34,288,13,0.3,12,4,0.15,288,14
8,008,  2024-04-25 20:00,  2024-04-26 04:00,126,5,0.31,288,13,0.27,12,4,0.15,288,14
9,009,  2024-04-25 21:00,  2024-04-26 05:00,101,7,0.29,288,13,0.24,12,3,0.15,288,14
10,010,  2024-04-25 22:00,  2024-04-26 06:00,97,8,0.27,288,13,0.22,12,3,0.15,288,14
11,011,  2024-04-25 23:00,  2024-04-26 07:00,103,8,0.25,288,14,0.21,12,3,0.15,288,14
12,012,  2024-04-26 00:00,  2024-04-26 08:00,110,8,0.24,288,14,0.19,12,3,0.15,288,14
13,013,  2024-04-26 01:00,  2024-04-26 09:00,112,8,0.23,288,14,0.18,12,3,0.15,288,14
14,014,  2024-04-26 02:00,  2024-04-26 10:00,96,7,0.22,288,14,0.17,12,3,0.15,288,14
15,015,  2024-04-26 03:00,  2024-04-26 11:00,50,7,0.22,288,14,0.16,276,3,0.15,288,14
16,016,  2024-04-26 04:00,  2024-04-26 12:00,19,8,0.21,300,14,0.16,276,9,0.15,288,14
17,017,  2024-04-26 05:00,  2024-04-26 13:00,357,9,0.21,300,14,0.15,276,9,0.15,288,14
18,018,  2024-04-26 06:00,  2024-04-26 14:00,358,11,0.21,300,14,0.15,276,9,0.15,288,14
19,019,  2024-04-26 07:00,  2024-04-26 15:00,3,13,0.33,300,14,0.3,0,2,0.15,288,14
20,020,  2024-04-26 08:00,  2024-04-26 16:00,1,13,0.46,300,3,0.43,24,3,0.15,288,14
21,021,  2024-04-26 09:00,  2024-04-26 17:00,356,11,0.5,36,3,0.48,36,3,0.15,288,14
22,022,  2024-04-26 10:00,  2024-04-26 18:00,349,10,0.5,36,3,0.48,48,4,0.14,288,14
23,023,  2024-04-26 11:00,  2024-04-26 19:00,343,9,0.47,48,4,0.45,36,4,0.14,288,14
24,024,  2024-04-26 12:00,  2024-04-26 20:00,340,8,0.43,48,4,0.41,36,4,0.14,300,14
25,025,  2024-04-26 13:00,  2024-04-26 21:00,334,8,0.39,300,4,0.36,36,4,0.15,300,14
26,026,  2024-04-26 14:00,  2024-04-26 22:00,327,7,0.35,300,4,0.32,36,4,0.15,300,17
27,027,  2024-04-26 15:00,  2024-04-26 23:00,319,7,0.32,300,16,0.28,36,4,0.15,300,17
28,028,  2024-04-26 16:00,  2024-04-27 00:00,297,6,0.29,300,16,0.25,36,3,0.15,300,17
29,029,  2024-04-26 17:00,  2024-04-27 01:00,245,6,0.27,300,16,0.22,36,3,0.15,300,17
30,030,  2024-04-26 18:00,  2024-04-27 02:00,202,7,0.25,300,16,0.2,48,3,0.15,300,17
31,031,  2024-04-26 19:00,  2024-04-27 03:00,183,7,0.24,300,16,0.18,48,3,0.15,300,17
32,032,  2024-04-26 20:00,  2024-04-27 04:00,177,6,0.23,300,16,0.16,48,4,0.16,300,17
33,033,  2024-04-26 21:00,  2024-04-27 05:00,173,6,0.22,300,16,0.15,48,4,0.16,300,17
34,034,  2024-04-26 22:00,  2024-04-27 06:00,160,6,0.21,300,16,0.14,48,4,0.16,300,17
35,035,  2024-04-26 23:00,  2024-04-27 07:00,143,6,0.21,300,16,0.14,48,4,0.16,300,17
36,036,  2024-04-27 00:00,  2024-04-27 08:00,125,6,0.21,300,16,0.13,48,5,0.16,300,17
37,037,  2024-04-27 01:00,  2024-04-27 09:00,97,6,0.21,300,16,0.13,48,5,0.16,300,17
38,038,  2024-04-27 02:00,  2024-04-27 10:00,57,7,0.2,300,16,0.12,276,5,0.16,300,17
39,039,  2024-04-27 03:00,  2024-04-27 11:00,33,7,0.2,300,16,0.12,276,5,0.16,300,17
40,040,  2024-04-27 04:00,  2024-04-27 12:00,14,8,0.2,300,16,0.12,276,6,0.17,300,17
41,041,  2024-04-27 05:00,  2024-04-27 13:00,2,9,0.2,300,16,0.12,276,6,0.17,300,15
42,042,  2024-04-27 06:00,  2024-04-27 14:00,349,10,0.21,300,15,0.11,276,6,0.17,300,15
43,043,  2024-04-27 07:00,  2024-04-27 15:00,332,9,0.21,300,15,0.11,276,6,0.17,300,15
44,044,  2024-04-27 08:00,  2024-04-27 16:00,318,8,0.21,300,15,0.11,276,6,0.18,300,15
45,045,  2024-04-27 09:00,  2024-04-27 17:00,309,8,0.21,300,15,0.11,276,6,0.18,300,15
46,046,  2024-04-27 10:00,  2024-04-27 18:00,298,8,0.21,300,15,0.11,276,6,0.18,300,15
47,047,  2024-04-27 11:00,  2024-04-27 19:00,289,7,0.21,300,15,0.11,276,6,0.19,300,15
48,048,  2024-04-27 12:00,  2024-04-27 20:00,279,7,0.21,300,15,0.1,276,6,0.19,300,15
49,049,  2024-04-27 13:00,  2024-04-27 21:00,268,7,0.22,300,15,0.1,276,6,0.19,300,15
50,050,  2024-04-27 14:00,  2024-04-27 22:00,256,8,0.22,300,22,0.1,12,6,0.19,300,22
51,051,  2024-04-27 15:00,  2024-04-27 23:00,240,7,0.22,300,22,0.1,12,6,0.2,300,22
52,052,  2024-04-27 16:00,  2024-04-28 00:00,218,7,0.22,300,22,0.1,12,6,0.2,300,22
53,053,  2024-04-27 17:00,  2024-04-28 01:00,193,7,0.23,300,21,0.1,12,6,0.2,300,22
54,054,  2024-04-27 18:00,  2024-04-28 02:00,183,8,0.23,300,21,0.1,12,6,0.21,300,22
55,055,  2024-04-27 19:00,  2024-04-28 03:00,184,8,0.23,300,21,0.1,12,6,0.21,300,20
56,056,  2024-04-27 20:00,  2024-04-28 04:00,182,9,0.24,300,20,0.1,12,6,0.22,300,20
57,057,  2024-04-27 21:00,  2024-04-28 05:00,172,7,0.24,300,20,0.1,12,6,0.22,300,20
58,058,  2024-04-27 22:00,  2024-04-28 06:00,169,7,0.24,300,20,0.1,12,6,0.23,300,20
59,059,  2024-04-27 23:00,  2024-04-28 07:00,171,7,0.25,300,20,0.1,12,6,0.23,300,20
60,060,  2024-04-28 00:00,  2024-04-28 08:00,165,7,0.25,300,20,0.1,12,6,0.23,300,20
61,061,  2024-04-28 01:00,  2024-04-28 09:00,158,7,0.25,300,20,0.1,12,6,0.24,300,20
62,062,  2024-04-28 02:00,  2024-04-28 10:00,151,5,0.26,300,20,0.1,12,6,0.24,300,20
63,063,  2024-04-28 03:00,  2024-04-28 11:00,131,3,0.26,300,20,0.1,12,6,0.24,300,20
64,064,  2024-04-28 04:00,  2024-04-28 12:00,1,5,0.26,300,20,0.1,12,6,0.24,300,20
65,065,  2024-04-28 05:00,  2024-04-28 13:00,334,8,0.27,300,19,0.1,12,6,0.25,300,20
66,066,  2024-04-28 06:00,  2024-04-28 14:00,315,9,0.27,300,19,0.11,12,6,0.25,300,20
67,067,  2024-04-28 07:00,  2024-04-28 15:00,305,8,0.27,300,19,0.11,12,6,0.25,300,18
68,068,  2024-04-28 08:00,  2024-04-28 16:00,298,8,0.28,300,19,0.11,12,6,0.25,300,18
69,069,  2024-04-28 09:00,  2024-04-28 17:00,297,9,0.28,300,18,0.11,12,6,0.25,300,18
70,070,  2024-04-28 10:00,  2024-04-28 18:00,293,9,0.28,300,18,0.12,12,6,0.26,300,18
71,071,  2024-04-28 11:00,  2024-04-28 19:00,287,9,0.28,300,18,0.12,12,6,0.26,300,18
72,072,  2024-04-28 12:00,  2024-04-28 20:00,277,9,0.28,300,18,0.12,12,6,0.26,300,18
73,073,  2024-04-28 13:00,  2024-04-28 21:00,271,9,0.28,300,18,0.12,12,6,0.26,300,18
74,074,  2024-04-28 14:00,  2024-04-28 22:00,271,8,0.29,300,18,0.13,12,7,0.26,300,18
75,075,  2024-04-28 15:00,  2024-04-28 23:00,256,8,0.29,300,18,0.13,12,7,0.26,300,18
76,076,  2024-04-28 16:00,  2024-04-29 00:00,212,8,0.29,300,18,0.13,12,7,0.26,300,18
77,077,  2024-04-28 17:00,  2024-04-29 01:00,188,9,0.29,300,18,0.13,12,7,0.26,300,18
