,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s]
0,000,  2024-04-25 12:00,  2024-04-25 20:00,54,5,0.38,300,14,0.34,48,4,0.19,300,14
1,001,  2024-04-25 13:00,  2024-04-25 21:00,91,6,0.36,300,14,0.3,48,4,0.19,300,14
2,002,  2024-04-25 14:00,  2024-04-25 22:00,97,6,0.33,300,14,0.28,48,4,0.18,300,14
3,003,  2024-04-25 15:00,  2024-04-25 23:00,106,7,0.32,300,14,0.26,48,4,0.18,300,14
4,004,  2024-04-25 16:00,  2024-04-26 00:00,122,9,0.3,300,14,0.24,48,4,0.18,300,14
5,005,  2024-04-25 17:00,  2024-04-26 01:00,124,10,0.29,300,14,0.23,48,4,0.18,300,14
6,006,  2024-04-25 18:00,  2024-04-26 02:00,114,11,0.28,300,14,0.22,48,4,0.18,300,14
7,007,  2024-04-25 19:00,  2024-04-26 03:00,108,13,0.29,300,14,0.23,24,4,0.17,300,14
8,008,  2024-04-25 20:00,  2024-04-26 04:00,105,14,0.44,300,14,0.4,84,2,0.17,300,14
9,009,  2024-04-25 21:00,  2024-04-26 05:00,105,15,0.54,300,3,0.51,72,3,0.17,300,14
10,010,  2024-04-25 22:00,  2024-04-26 06:00,105,16,0.64,72,3,0.62,84,3,0.17,300,14
11,011,  2024-04-25 23:00,  2024-04-26 07:00,105,16,0.72,72,3,0.7,72,4,0.17,300,14
12,012,  2024-04-26 00:00,  2024-04-26 08:00,101,17,0.77,72,4,0.75,84,4,0.16,300,14
13,013,  2024-04-26 01:00,  2024-04-26 09:00,93,18,0.83,72,4,0.81,60,4,0.16,300,14
14,014,  2024-04-26 02:00,  2024-04-26 10:00,82,16,0.83,60,4,0.81,60,4,0.16,300,14
15,015,  2024-04-26 03:00,  2024-04-26 11:00,67,16,0.84,48,4,0.83,60,4,0.15,300,14
16,016,  2024-04-26 04:00,  2024-04-26 12:00,59,17,0.93,48,4,0.92,48,4,0.15,300,14
17,017,  2024-04-26 05:00,  2024-04-26 13:00,53,17,1.0,48,4,0.99,48,4,0.15,300,14
18,018,  2024-04-26 06:00,  2024-04-26 14:00,47,17,1.01,48,4,1.0,48,4,0.14,300,14
19,019,  2024-04-26 07:00,  2024-04-26 15:00,43,16,0.95,48,4,0.94,48,4,0.14,300,14
20,020,  2024-04-26 08:00,  2024-04-26 16:00,37,14,0.84,48,4,0.83,48,4,0.14,300,14
21,021,  2024-04-26 09:00,  2024-04-26 17:00,32,12,0.73,48,4,0.71,48,4,0.14,300,14
22,022,  2024-04-26 10:00,  2024-04-26 18:00,24,11,0.63,48,5,0.61,48,5,0.15,300,14
23,023,  2024-04-26 11:00,  2024-04-26 19:00,12,10,0.56,48,5,0.54,48,5,0.15,300,14
24,024,  2024-04-26 12:00,  2024-04-26 20:00,2,9,0.51,48,5,0.48,48,5,0.15,300,14
25,025,  2024-04-26 13:00,  2024-04-26 21:00,350,7,0.46,48,5,0.44,48,5,0.15,300,14
26,026,  2024-04-26 14:00,  2024-04-26 22:00,330,5,0.43,48,5,0.4,48,5,0.15,300,14
27,027,  2024-04-26 15:00,  2024-04-26 23:00,285,2,0.4,300,5,0.37,48,5,0.15,300,14
28,028,  2024-04-26 16:00,  2024-04-27 00:00,165,5,0.38,300,14,0.34,48,5,0.15,300,14
29,029,  2024-04-26 17:00,  2024-04-27 01:00,154,6,0.35,300,14,0.32,48,5,0.15,300,14
30,030,  2024-04-26 18:00,  2024-04-27 02:00,148,7,0.33,300,14,0.3,48,5,0.15,300,14
31,031,  2024-04-26 19:00,  2024-04-27 03:00,153,6,0.32,300,14,0.28,48,5,0.16,300,14
32,032,  2024-04-26 20:00,  2024-04-27 04:00,156,6,0.31,300,14,0.26,48,4,0.16,300,14
33,033,  2024-04-26 21:00,  2024-04-27 05:00,140,7,0.29,300,14,0.25,48,4,0.16,300,14
34,034,  2024-04-26 22:00,  2024-04-27 06:00,112,9,0.29,300,16,0.24,48,4,0.16,300,17
35,035,  2024-04-26 23:00,  2024-04-27 07:00,95,11,0.28,300,16,0.23,48,4,0.16,300,17
36,036,  2024-04-27 00:00,  2024-04-27 08:00,96,12,0.28,300,16,0.23,48,4,0.16,300,17
37,037,  2024-04-27 01:00,  2024-04-27 09:00,90,13,0.29,300,16,0.24,48,4,0.16,300,17
