,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s]
0,000,  2024-04-22 00:00,  2024-04-22 08:00,109,12,1.33,156,6,1.26,144,6.0,0.44,240,14.0
1,001,  2024-04-22 01:00,  2024-04-22 09:00,99,11,1.32,156,6,1.24,144,6.0,0.44,240,14.0
2,002,  2024-04-22 02:00,  2024-04-22 10:00,104,11,1.31,156,6,1.23,144,6.0,0.44,240,14.0
3,003,  2024-04-22 03:00,  2024-04-22 11:00,113,13,1.31,156,6,1.23,144,6.0,0.44,240,14.0
4,004,  2024-04-22 04:00,  2024-04-22 12:00,119,13,1.32,156,6,1.24,144,6.0,0.44,240,14.0
5,005,  2024-04-22 05:00,  2024-04-22 13:00,120,13,1.32,156,6,1.24,144,6.0,0.44,240,14.0
6,006,  2024-04-22 06:00,  2024-04-22 14:00,118,12,1.31,156,6,1.23,144,6.0,0.44,240,14.0
7,007,  2024-04-22 07:00,  2024-04-22 15:00,117,12,1.29,156,6,1.21,144,6.0,0.44,240,14.0
8,008,  2024-04-22 08:00,  2024-04-22 16:00,119,11,1.27,156,6,1.19,144,6.0,0.44,240,14.0
9,009,  2024-04-22 09:00,  2024-04-22 17:00,117,11,1.26,144,6,1.18,144,6.0,0.44,240,14.0
10,010,  2024-04-22 10:00,  2024-04-22 18:00,115,11,1.24,144,6,1.16,144,6.0,0.44,240,14.0
11,011,  2024-04-22 11:00,  2024-04-22 19:00,115,11,1.23,144,6,1.15,144,6.0,0.44,240,14.0
12,012,  2024-04-22 12:00,  2024-04-22 20:00,115,12,1.22,144,6,1.14,144,6.0,0.44,240,14.0
13,013,  2024-04-22 13:00,  2024-04-22 21:00,115,12,1.2,144,6,1.12,144,6.0,0.44,240,14.0
14,014,  2024-04-22 14:00,  2024-04-22 22:00,113,11,1.19,144,6,1.1,144,6.0,0.45,240,14.0
15,015,  2024-04-22 15:00,  2024-04-22 23:00,115,11,1.17,84,6,1.08,144,6.0,0.45,240,14.0
16,016,  2024-04-22 16:00,  2024-04-23 00:00,114,10,1.16,84,6,1.06,144,6.0,0.46,240,15.0
17,017,  2024-04-22 17:00,  2024-04-23 01:00,116,10,1.14,84,6,1.04,144,6.0,0.46,240,15.0
18,018,  2024-04-22 18:00,  2024-04-23 02:00,117,9,1.12,84,6,1.02,144,6.0,0.47,240,15.0
19,019,  2024-04-22 19:00,  2024-04-23 03:00,116,9,1.11,84,6,1.0,144,6.0,0.48,240,15.0
20,020,  2024-04-22 20:00,  2024-04-23 04:00,117,8,1.1,84,6,0.99,84,6.0,0.49,240,15.0
21,021,  2024-04-22 21:00,  2024-04-23 05:00,113,8,1.09,84,5,0.97,84,5.0,0.49,240,15.0
22,022,  2024-04-22 22:00,  2024-04-23 06:00,110,8,1.07,84,5,0.95,84,5.0,0.5,240,15.0
23,023,  2024-04-22 23:00,  2024-04-23 07:00,107,8,1.06,84,15,0.93,84,5.0,0.5,240,15.0
24,024,  2024-04-23 00:00,  2024-04-23 08:00,105,9,1.04,84,15,0.91,84,5.0,0.51,240,15.0
25,025,  2024-04-23 01:00,  2024-04-23 09:00,107,10,1.02,84,15,0.88,84,5.0,0.51,240,15.0
26,026,  2024-04-23 02:00,  2024-04-23 10:00,113,10,1.0,84,14,0.86,84,5.0,0.51,240,15.0
27,027,  2024-04-23 03:00,  2024-04-23 11:00,118,10,0.99,84,14,0.84,84,5.0,0.52,240,15.0
28,028,  2024-04-23 04:00,  2024-04-23 12:00,125,10,0.96,240,14,0.81,84,5.0,0.52,240,15.0
29,029,  2024-04-23 05:00,  2024-04-23 13:00,127,11,0.95,240,14,0.8,84,5.0,0.52,240,14.0
30,030,  2024-04-23 06:00,  2024-04-23 14:00,128,10,0.93,240,14,0.77,84,5.0,0.53,240,14.0
31,031,  2024-04-23 07:00,  2024-04-23 15:00,128,9,0.92,240,14,0.75,84,5.0,0.53,240,14.0
32,032,  2024-04-23 08:00,  2024-04-23 16:00,128,8,0.89,240,14,0.72,84,7.0,0.53,240,14.0
33,033,  2024-04-23 09:00,  2024-04-23 17:00,130,8,0.87,240,14,0.69,84,7.0,0.53,240,14.0
34,034,  2024-04-23 10:00,  2024-04-23 18:00,131,9,0.86,240,14,0.67,84,7.0,0.54,240,14.0
35,035,  2024-04-23 11:00,  2024-04-23 19:00,132,10,0.85,240,14,0.65,84,7.0,0.54,240,14.0
36,036,  2024-04-23 12:00,  2024-04-23 20:00,127,12,0.86,240,14,0.67,84,7.0,0.54,240,14.0
37,037,  2024-04-23 13:00,  2024-04-23 21:00,126,13,0.89,240,14,0.71,84,4.0,0.54,240,14.0
38,038,  2024-04-23 14:00,  2024-04-23 22:00,123,13,0.93,240,14,0.76,84,4.0,0.54,240,14.0
39,039,  2024-04-23 15:00,  2024-04-23 23:00,122,12,0.97,240,14,0.81,84,5.0,0.54,240,14.0
40,040,  2024-04-23 16:00,  2024-04-24 00:00,117,10,1.0,240,14,0.84,84,5.0,0.54,240,14.0
41,041,  2024-04-23 17:00,  2024-04-24 01:00,109,10,1.02,240,14,0.87,156,5.0,0.54,240,14.0
42,042,  2024-04-23 18:00,  2024-04-24 02:00,98,9,1.03,240,14,0.88,156,5.0,0.54,240,14.0
43,043,  2024-04-23 19:00,  2024-04-24 03:00,91,8,1.02,240,14,0.87,156,5.0,0.54,240,14.0
44,044,  2024-04-23 20:00,  2024-04-24 04:00,88,8,1.02,240,14,0.86,156,5.0,0.54,240,14.0
45,045,  2024-04-23 21:00,  2024-04-24 05:00,93,8,0.99,240,14,0.84,156,5.0,0.53,240,14.0
46,046,  2024-04-23 22:00,  2024-04-24 06:00,103,9,0.98,240,14,0.83,156,5.0,0.53,240,14.0
47,047,  2024-04-23 23:00,  2024-04-24 07:00,108,9,0.97,240,14,0.81,84,5.0,0.53,240,14.0
48,048,  2024-04-24 00:00,  2024-04-24 08:00,114,9,0.95,240,14,0.79,84,5.0,0.53,240,14.0
49,049,  2024-04-24 01:00,  2024-04-24 09:00,117,8,0.93,240,14,0.77,84,5.0,0.53,240,14.0
50,050,  2024-04-24 02:00,  2024-04-24 10:00,123,8,0.92,240,14,0.75,84,5.0,0.53,240,14.0
51,051,  2024-04-24 03:00,  2024-04-24 11:00,133,8,0.9,240,14,0.73,84,5.0,0.53,240,14.0
52,052,  2024-04-24 04:00,  2024-04-24 12:00,139,8,0.89,240,14,0.71,84,5.0,0.53,240,14.0
53,053,  2024-04-24 05:00,  2024-04-24 13:00,142,7,0.86,240,14,0.69,84,5.0,0.52,240,14.0
54,054,  2024-04-24 06:00,  2024-04-24 14:00,138,7,0.85,240,14,0.67,84,6.0,0.52,240,14.0
