,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s]
0,000,  2024-04-28 12:00,  2024-04-28 20:00,154,7,0.58,192,4,0.56,192,4,0.16,252,12
1,001,  2024-04-28 13:00,  2024-04-28 21:00,149,7,0.56,192,5,0.54,192,4,0.16,252,12
2,002,  2024-04-28 14:00,  2024-04-28 22:00,137,7,0.55,192,4,0.53,192,4,0.16,252,12
3,003,  2024-04-28 15:00,  2024-04-28 23:00,136,6,0.56,192,4,0.54,192,4,0.16,252,12
4,004,  2024-04-28 16:00,  2024-04-29 00:00,148,8,0.58,192,4,0.56,192,4,0.16,252,12
5,005,  2024-04-28 17:00,  2024-04-29 01:00,149,12,0.6,192,4,0.58,192,4,0.16,252,17
6,006,  2024-04-28 18:00,  2024-04-29 02:00,142,14,0.67,192,4,0.65,192,4,0.16,252,17
7,007,  2024-04-28 19:00,  2024-04-29 03:00,137,15,0.76,192,4,0.74,192,4,0.16,252,17
8,008,  2024-04-28 20:00,  2024-04-29 04:00,131,16,0.86,192,4,0.84,192,4,0.16,252,17
9,009,  2024-04-28 21:00,  2024-04-29 05:00,127,17,0.97,192,4,0.96,192,4,0.16,252,17
10,010,  2024-04-28 22:00,  2024-04-29 06:00,123,18,1.08,192,4,1.07,192,4,0.16,252,17
11,011,  2024-04-28 23:00,  2024-04-29 07:00,118,18,1.15,192,5,1.14,192,5,0.17,264,15
12,012,  2024-04-29 00:00,  2024-04-29 08:00,112,17,1.17,192,5,1.16,192,5,0.17,264,15
13,013,  2024-04-29 01:00,  2024-04-29 09:00,115,17,1.18,192,5,1.17,192,5,0.17,264,15
14,014,  2024-04-29 02:00,  2024-04-29 10:00,118,16,1.17,180,5,1.16,180,5,0.17,264,15
15,015,  2024-04-29 03:00,  2024-04-29 11:00,118,15,1.13,180,5,1.12,180,5,0.17,264,15
16,016,  2024-04-29 04:00,  2024-04-29 12:00,122,14,1.1,192,5,1.08,192,5,0.17,264,15
17,017,  2024-04-29 05:00,  2024-04-29 13:00,125,13,1.05,192,5,1.04,192,5,0.17,264,15
18,018,  2024-04-29 06:00,  2024-04-29 14:00,126,12,1.0,192,5,0.98,192,5,0.18,264,15
19,019,  2024-04-29 07:00,  2024-04-29 15:00,124,10,0.93,192,5,0.92,192,5,0.18,264,20
20,020,  2024-04-29 08:00,  2024-04-29 16:00,121,8,0.87,192,5,0.85,192,5,0.18,264,20
21,021,  2024-04-29 09:00,  2024-04-29 17:00,128,6,0.81,192,5,0.79,192,5,0.19,264,20
22,022,  2024-04-29 10:00,  2024-04-29 18:00,153,6,0.76,192,5,0.73,192,5,0.19,264,20
23,023,  2024-04-29 11:00,  2024-04-29 19:00,166,6,0.71,192,5,0.69,192,5,0.19,264,20
24,024,  2024-04-29 12:00,  2024-04-29 20:00,171,5,0.67,192,5,0.65,192,5,0.19,264,20
25,025,  2024-04-29 13:00,  2024-04-29 21:00,178,4,0.64,192,5,0.61,192,5,0.2,264,20
26,026,  2024-04-29 14:00,  2024-04-29 22:00,186,5,0.6,192,5,0.57,192,5,0.2,264,20
27,027,  2024-04-29 15:00,  2024-04-29 23:00,188,8,0.58,192,5,0.54,192,5,0.2,264,20
28,028,  2024-04-29 16:00,  2024-04-30 00:00,182,10,0.56,192,5,0.53,192,5,0.2,264,20
29,029,  2024-04-29 17:00,  2024-04-30 01:00,176,12,0.58,192,5,0.54,192,5,0.21,264,20
30,030,  2024-04-29 18:00,  2024-04-30 02:00,164,13,0.64,192,5,0.61,192,5,0.21,264,20
31,031,  2024-04-29 19:00,  2024-04-30 03:00,132,17,0.78,192,3,0.76,192,4,0.21,264,18
32,032,  2024-04-29 20:00,  2024-04-30 04:00,108,20,0.95,192,4,0.93,192,4,0.21,264,18
33,033,  2024-04-29 21:00,  2024-04-30 05:00,105,20,1.06,132,4,1.04,132,4,0.22,264,18
34,034,  2024-04-29 22:00,  2024-04-30 06:00,108,19,1.1,120,4,1.08,120,4,0.22,264,18
35,035,  2024-04-29 23:00,  2024-04-30 07:00,113,19,1.13,132,4,1.11,132,4,0.22,264,18
36,036,  2024-04-30 00:00,  2024-04-30 08:00,115,18,1.14,120,4,1.12,120,4,0.22,264,18
37,037,  2024-04-30 01:00,  2024-04-30 09:00,113,18,1.16,120,4,1.14,120,4,0.22,264,18
38,038,  2024-04-30 02:00,  2024-04-30 10:00,111,18,1.19,108,5,1.17,108,4,0.23,264,18
39,039,  2024-04-30 03:00,  2024-04-30 11:00,111,17,1.2,96,5,1.18,96,5,0.23,264,18
40,040,  2024-04-30 04:00,  2024-04-30 12:00,110,15,1.18,96,5,1.16,96,5,0.23,264,18
