,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s]
0,000,  2024-04-25 12:00,  2024-04-25 20:00,98,13,1.43,96,6,1.38,96,6,0.39,252,14
1,001,  2024-04-25 13:00,  2024-04-25 21:00,103,13,1.39,96,6,1.34,96,6,0.39,252,14
2,002,  2024-04-25 14:00,  2024-04-25 22:00,109,14,1.36,96,6,1.31,96,6,0.39,252,14
3,003,  2024-04-25 15:00,  2024-04-25 23:00,109,14,1.34,96,6,1.28,96,6,0.39,252,14
4,004,  2024-04-25 16:00,  2024-04-26 00:00,104,13,1.32,96,6,1.26,96,6,0.39,252,14
5,005,  2024-04-25 17:00,  2024-04-26 01:00,107,14,1.3,96,6,1.24,96,6,0.39,252,14
6,006,  2024-04-25 18:00,  2024-04-26 02:00,109,14,1.29,96,6,1.23,96,6,0.39,252,14
7,007,  2024-04-25 19:00,  2024-04-26 03:00,109,15,1.29,96,6,1.23,96,6,0.39,252,14
8,008,  2024-04-25 20:00,  2024-04-26 04:00,114,16,1.31,96,6,1.25,96,6,0.39,252,14
9,009,  2024-04-25 21:00,  2024-04-26 05:00,122,17,1.35,96,6,1.29,96,6,0.38,252,14
10,010,  2024-04-25 22:00,  2024-04-26 06:00,125,18,1.4,96,6,1.35,96,6,0.38,252,14
11,011,  2024-04-25 23:00,  2024-04-26 07:00,121,19,1.47,96,6,1.42,96,6,0.38,252,14
12,012,  2024-04-26 00:00,  2024-04-26 08:00,116,19,1.56,96,6,1.52,96,6,0.38,252,14
13,013,  2024-04-26 01:00,  2024-04-26 09:00,113,19,1.65,96,6,1.61,96,6,0.38,252,14
14,014,  2024-04-26 02:00,  2024-04-26 10:00,111,20,1.71,96,6,1.67,96,6,0.38,252,14
15,015,  2024-04-26 03:00,  2024-04-26 11:00,108,20,1.76,96,6,1.72,96,6,0.38,252,14
16,016,  2024-04-26 04:00,  2024-04-26 12:00,105,20,1.8,96,6,1.76,96,6,0.38,252,14
17,017,  2024-04-26 05:00,  2024-04-26 13:00,104,20,1.83,96,6,1.79,96,6,0.38,252,14
