,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s]
0,000,  2024-04-25 12:00,  2024-04-25 20:00,154,5,0.7,264,4,0.65,132,4,0.27,276,14
1,001,  2024-04-25 13:00,  2024-04-25 21:00,150,6,0.66,264,4,0.6,132,4,0.27,276,14
2,002,  2024-04-25 14:00,  2024-04-25 22:00,149,6,0.62,264,4,0.56,132,4,0.27,276,14
3,003,  2024-04-25 15:00,  2024-04-25 23:00,122,4,0.59,264,14,0.53,48,4,0.27,276,14
4,004,  2024-04-25 16:00,  2024-04-26 00:00,113,3,0.56,264,14,0.49,48,4,0.27,276,14
5,005,  2024-04-25 17:00,  2024-04-26 01:00,150,5,0.54,264,13,0.47,48,4,0.26,276,14
6,006,  2024-04-25 18:00,  2024-04-26 02:00,153,7,0.52,264,13,0.45,48,4,0.26,276,14
7,007,  2024-04-25 19:00,  2024-04-26 03:00,151,10,0.51,264,13,0.44,48,4,0.26,276,14
8,008,  2024-04-25 20:00,  2024-04-26 04:00,144,13,0.56,264,13,0.5,48,4,0.26,276,14
9,009,  2024-04-25 21:00,  2024-04-26 05:00,132,16,0.69,264,3,0.65,132,3,0.26,264,14
10,010,  2024-04-25 22:00,  2024-04-26 06:00,116,19,0.86,120,4,0.82,120,4,0.25,264,14
11,011,  2024-04-25 23:00,  2024-04-26 07:00,102,20,1.01,108,4,0.98,108,4,0.25,264,14
12,012,  2024-04-26 00:00,  2024-04-26 08:00,100,19,1.11,96,4,1.08,108,4,0.25,264,14
13,013,  2024-04-26 01:00,  2024-04-26 09:00,99,19,1.2,96,4,1.18,108,4,0.25,264,14
14,014,  2024-04-26 02:00,  2024-04-26 10:00,101,18,1.25,96,5,1.23,108,5,0.24,264,14
15,015,  2024-04-26 03:00,  2024-04-26 11:00,104,16,1.25,96,5,1.22,96,5,0.24,264,14
16,016,  2024-04-26 04:00,  2024-04-26 12:00,111,17,1.24,96,5,1.22,96,5,0.24,264,14
17,017,  2024-04-26 05:00,  2024-04-26 13:00,111,16,1.23,96,5,1.21,108,5,0.24,264,14
18,018,  2024-04-26 06:00,  2024-04-26 14:00,113,15,1.21,60,5,1.18,108,5,0.23,264,14
19,019,  2024-04-26 07:00,  2024-04-26 15:00,114,14,1.17,60,5,1.15,60,5,0.23,264,14
20,020,  2024-04-26 08:00,  2024-04-26 16:00,119,12,1.12,48,5,1.1,60,5,0.23,264,14
21,021,  2024-04-26 09:00,  2024-04-26 17:00,130,11,1.08,48,5,1.06,60,5,0.22,264,14
