,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s]
0,000,  2024-04-23 12:00,  2024-04-23 20:00,52,6,1.5,228,14,0.79,228,9,1.3,240,15
1,001,  2024-04-23 13:00,  2024-04-23 21:00,52,5,1.51,228,14,0.79,228,9,1.3,240,14
2,002,  2024-04-23 14:00,  2024-04-23 22:00,45,5,1.52,228,14,0.8,228,9,1.31,240,14
3,003,  2024-04-23 15:00,  2024-04-23 23:00,50,4,1.52,228,14,0.81,228,9,1.31,228,14
4,004,  2024-04-23 16:00,  2024-04-24 00:00,70,3,1.52,228,14,0.81,228,9,1.31,228,14
5,005,  2024-04-23 17:00,  2024-04-24 01:00,79,4,1.52,228,14,0.81,228,9,1.3,228,14
6,006,  2024-04-23 18:00,  2024-04-24 02:00,95,6,1.51,228,14,0.8,228,9,1.29,228,14
7,007,  2024-04-23 19:00,  2024-04-24 03:00,120,7,1.5,228,14,0.79,228,9,1.28,228,14
8,008,  2024-04-23 20:00,  2024-04-24 04:00,128,8,1.48,228,13,0.78,228,9,1.27,228,14
9,009,  2024-04-23 21:00,  2024-04-24 05:00,120,11,1.46,228,13,0.77,228,9,1.25,228,14
10,010,  2024-04-23 22:00,  2024-04-24 06:00,120,12,1.45,228,13,0.79,228,9,1.23,228,14
11,011,  2024-04-23 23:00,  2024-04-24 07:00,121,13,1.46,228,13,0.83,228,9,1.21,228,14
12,012,  2024-04-24 00:00,  2024-04-24 08:00,124,15,1.47,228,13,0.89,228,9,1.18,228,14
13,013,  2024-04-24 01:00,  2024-04-24 09:00,119,17,1.51,228,13,0.99,228,9,1.16,228,14
14,014,  2024-04-24 02:00,  2024-04-24 10:00,100,17,1.56,228,13,1.1,228,9,1.13,228,14
15,015,  2024-04-24 03:00,  2024-04-24 11:00,90,17,1.61,228,13,1.19,228,4,1.1,228,14
16,016,  2024-04-24 04:00,  2024-04-24 12:00,85,17,1.64,228,13,1.26,228,5,1.07,228,14
17,017,  2024-04-24 05:00,  2024-04-24 13:00,81,16,1.66,228,13,1.3,60,5,1.04,228,14
18,018,  2024-04-24 06:00,  2024-04-24 14:00,76,16,1.65,228,13,1.31,60,5,1.02,228,14
19,019,  2024-04-24 07:00,  2024-04-24 15:00,72,15,1.63,228,13,1.3,60,5,0.99,228,14
20,020,  2024-04-24 08:00,  2024-04-24 16:00,69,15,1.59,228,13,1.27,60,5,0.97,228,14
21,021,  2024-04-24 09:00,  2024-04-24 17:00,63,14,1.55,228,13,1.24,60,6,0.95,228,14
22,022,  2024-04-24 10:00,  2024-04-24 18:00,56,14,1.51,228,13,1.2,72,6,0.93,228,14
23,023,  2024-04-24 11:00,  2024-04-24 19:00,47,13,1.47,228,13,1.17,72,6,0.91,228,14
24,024,  2024-04-24 12:00,  2024-04-24 20:00,40,13,1.43,228,13,1.13,72,6,0.89,240,14
25,025,  2024-04-24 13:00,  2024-04-24 21:00,36,11,1.38,228,13,1.08,72,6,0.87,240,14
