,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s]
0,000,  2024-04-25 12:00,  2024-04-25 20:00,123,8,1.66,156,9,1.51,156,9,0.77,156,9
1,001,  2024-04-25 13:00,  2024-04-25 21:00,125,6,1.66,156,9,1.5,156,9,0.77,156,9
2,002,  2024-04-25 14:00,  2024-04-25 22:00,131,7,1.65,156,9,1.5,156,9,0.77,156,9
3,003,  2024-04-25 15:00,  2024-04-25 23:00,138,8,1.65,156,9,1.5,156,9,0.77,156,9
4,004,  2024-04-25 16:00,  2024-04-26 00:00,132,8,1.66,156,9,1.5,156,9,0.77,156,9
5,005,  2024-04-25 17:00,  2024-04-26 01:00,134,8,1.66,156,8,1.51,156,9,0.77,156,9
6,006,  2024-04-25 18:00,  2024-04-26 02:00,134,9,1.66,156,8,1.51,156,9,0.77,156,9
7,007,  2024-04-25 19:00,  2024-04-26 03:00,134,10,1.67,156,8,1.52,156,9,0.77,156,9
8,008,  2024-04-25 20:00,  2024-04-26 04:00,131,12,1.68,156,8,1.53,156,9,0.77,156,9
9,009,  2024-04-25 21:00,  2024-04-26 05:00,128,13,1.69,156,8,1.54,156,9,0.77,156,9
10,010,  2024-04-25 22:00,  2024-04-26 06:00,126,14,1.71,156,8,1.57,156,9,0.77,156,9
11,011,  2024-04-25 23:00,  2024-04-26 07:00,117,14,1.73,156,9,1.58,156,9,0.78,156,9
12,012,  2024-04-26 00:00,  2024-04-26 08:00,118,13,1.73,156,9,1.58,156,9,0.78,156,9
13,013,  2024-04-26 01:00,  2024-04-26 09:00,125,13,1.73,156,9,1.58,156,9,0.79,156,9
14,014,  2024-04-26 02:00,  2024-04-26 10:00,130,15,1.75,156,9,1.6,156,9,0.79,156,9
15,015,  2024-04-26 03:00,  2024-04-26 11:00,135,16,1.77,156,9,1.62,156,9,0.79,156,9
16,016,  2024-04-26 04:00,  2024-04-26 12:00,140,17,1.81,156,9,1.67,156,9,0.79,156,9
17,017,  2024-04-26 05:00,  2024-04-26 13:00,144,18,1.87,156,8,1.73,156,9,0.78,156,9
18,018,  2024-04-26 06:00,  2024-04-26 14:00,143,19,1.92,156,8,1.79,156,9,0.77,156,9
19,019,  2024-04-26 07:00,  2024-04-26 15:00,138,19,1.95,156,8,1.83,156,9,0.76,156,9
20,020,  2024-04-26 08:00,  2024-04-26 16:00,135,18,1.95,156,8,1.83,156,9,0.74,156,9
21,021,  2024-04-26 09:00,  2024-04-26 17:00,128,17,1.92,156,8,1.81,156,9,0.73,156,9
22,022,  2024-04-26 10:00,  2024-04-26 18:00,127,17,1.89,156,8,1.78,156,9,0.71,156,9
23,023,  2024-04-26 11:00,  2024-04-26 19:00,124,16,1.84,144,8,1.74,156,9,0.69,156,9
24,024,  2024-04-26 12:00,  2024-04-26 20:00,120,14,1.8,144,8,1.7,156,9,0.67,156,9
25,025,  2024-04-26 13:00,  2024-04-26 21:00,118,14,1.76,144,8,1.66,156,9,0.65,144,9
26,026,  2024-04-26 14:00,  2024-04-26 22:00,118,13,1.73,144,8,1.63,156,9,0.64,144,9
27,027,  2024-04-26 15:00,  2024-04-26 23:00,117,13,1.7,144,8,1.61,156,9,0.63,144,9
