,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s]
0,000,  2024-04-25 12:00,  2024-04-25 20:00,83,11,1.04,240,5,0.95,108,5,0.44,240,12
1,001,  2024-04-25 13:00,  2024-04-25 21:00,82,10,1.01,240,5,0.92,108,5,0.43,240,12
2,002,  2024-04-25 14:00,  2024-04-25 22:00,79,9,0.98,240,5,0.88,108,5,0.43,240,12
3,003,  2024-04-25 15:00,  2024-04-25 23:00,72,7,0.94,240,5,0.84,108,5,0.42,240,12
4,004,  2024-04-25 16:00,  2024-04-26 00:00,59,5,0.9,240,5,0.8,108,5,0.41,240,12
5,005,  2024-04-25 17:00,  2024-04-26 01:00,54,5,0.86,240,12,0.75,108,5,0.41,240,12
6,006,  2024-04-25 18:00,  2024-04-26 02:00,75,6,0.82,240,12,0.72,108,5,0.4,240,12
7,007,  2024-04-25 19:00,  2024-04-26 03:00,86,5,0.79,240,12,0.68,108,5,0.4,240,12
8,008,  2024-04-25 20:00,  2024-04-26 04:00,95,4,0.76,240,12,0.65,96,5,0.39,240,12
9,009,  2024-04-25 21:00,  2024-04-26 05:00,111,4,0.73,240,12,0.62,96,5,0.39,240,12
10,010,  2024-04-25 22:00,  2024-04-26 06:00,123,5,0.7,240,12,0.59,96,5,0.38,240,12
11,011,  2024-04-25 23:00,  2024-04-26 07:00,124,7,0.67,240,12,0.56,96,5,0.38,240,12
12,012,  2024-04-26 00:00,  2024-04-26 08:00,117,8,0.65,240,12,0.54,96,5,0.37,240,12
13,013,  2024-04-26 01:00,  2024-04-26 09:00,112,8,0.63,240,12,0.51,96,5,0.37,240,12
14,014,  2024-04-26 02:00,  2024-04-26 10:00,107,8,0.61,240,12,0.49,96,5,0.36,240,12
15,015,  2024-04-26 03:00,  2024-04-26 11:00,102,8,0.59,240,12,0.48,96,5,0.36,240,12
16,016,  2024-04-26 04:00,  2024-04-26 12:00,99,9,0.58,240,12,0.46,228,4,0.36,240,12
17,017,  2024-04-26 05:00,  2024-04-26 13:00,94,9,0.58,240,12,0.46,228,4,0.35,240,12
18,018,  2024-04-26 06:00,  2024-04-26 14:00,85,9,0.58,240,12,0.47,228,4,0.35,240,12
19,019,  2024-04-26 07:00,  2024-04-26 15:00,77,10,0.61,240,12,0.51,228,4,0.35,240,12
20,020,  2024-04-26 08:00,  2024-04-26 16:00,71,11,0.67,240,12,0.57,120,4,0.34,240,12
