,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s]
0,000,  2024-04-28 12:00,  2024-04-28 20:00,144,3,0.29,204,4,0.26,204,4,0.12,264,12
1,001,  2024-04-28 13:00,  2024-04-28 21:00,160,2,0.27,204,4,0.24,204,4,0.12,264,12
2,002,  2024-04-28 14:00,  2024-04-28 22:00,163,2,0.26,264,12,0.23,204,4,0.12,264,12
3,003,  2024-04-28 15:00,  2024-04-28 23:00,156,3,0.25,264,12,0.22,204,4,0.12,264,12
4,004,  2024-04-28 16:00,  2024-04-29 00:00,171,4,0.25,204,12,0.23,204,4,0.12,264,12
5,005,  2024-04-28 17:00,  2024-04-29 01:00,175,7,0.27,204,4,0.24,204,4,0.12,264,12
6,006,  2024-04-28 18:00,  2024-04-29 02:00,155,10,0.29,204,4,0.26,204,4,0.12,264,12
7,007,  2024-04-28 19:00,  2024-04-29 03:00,134,12,0.3,204,4,0.28,204,4,0.12,264,12
8,008,  2024-04-28 20:00,  2024-04-29 04:00,127,14,0.42,204,4,0.4,204,4,0.12,264,12
9,009,  2024-04-28 21:00,  2024-04-29 05:00,121,16,0.57,204,3,0.56,204,3,0.12,264,17
10,010,  2024-04-28 22:00,  2024-04-29 06:00,113,16,0.67,132,3,0.66,132,3,0.12,264,17
11,011,  2024-04-28 23:00,  2024-04-29 07:00,121,15,0.74,144,4,0.73,144,4,0.12,264,15
12,012,  2024-04-29 00:00,  2024-04-29 08:00,118,15,0.79,144,4,0.78,144,4,0.13,264,15
13,013,  2024-04-29 01:00,  2024-04-29 09:00,117,15,0.82,144,4,0.81,144,4,0.13,264,15
14,014,  2024-04-29 02:00,  2024-04-29 10:00,120,14,0.81,216,4,0.8,216,4,0.13,264,15
15,015,  2024-04-29 03:00,  2024-04-29 11:00,116,13,0.78,216,4,0.77,216,4,0.13,264,15
16,016,  2024-04-29 04:00,  2024-04-29 12:00,112,11,0.73,216,4,0.72,216,4,0.13,264,15
17,017,  2024-04-29 05:00,  2024-04-29 13:00,110,9,0.67,216,4,0.66,216,4,0.13,264,15
18,018,  2024-04-29 06:00,  2024-04-29 14:00,98,7,0.6,216,4,0.59,216,4,0.13,264,15
19,019,  2024-04-29 07:00,  2024-04-29 15:00,76,6,0.55,204,4,0.53,204,4,0.13,264,15
20,020,  2024-04-29 08:00,  2024-04-29 16:00,72,6,0.5,204,5,0.48,204,5,0.14,264,20
21,021,  2024-04-29 09:00,  2024-04-29 17:00,74,5,0.47,204,5,0.45,204,5,0.14,264,20
22,022,  2024-04-29 10:00,  2024-04-29 18:00,89,3,0.44,204,5,0.42,204,5,0.14,264,20
23,023,  2024-04-29 11:00,  2024-04-29 19:00,177,2,0.42,204,5,0.39,204,5,0.14,264,20
24,024,  2024-04-29 12:00,  2024-04-29 20:00,210,4,0.39,204,5,0.37,204,5,0.14,264,20
25,025,  2024-04-29 13:00,  2024-04-29 21:00,218,4,0.37,204,5,0.34,204,5,0.14,264,20
26,026,  2024-04-29 14:00,  2024-04-29 22:00,220,4,0.35,204,20,0.32,204,5,0.15,264,20
27,027,  2024-04-29 15:00,  2024-04-29 23:00,208,5,0.33,204,20,0.29,204,5,0.15,264,20
28,028,  2024-04-29 16:00,  2024-04-30 00:00,194,5,0.31,204,20,0.27,204,5,0.15,264,20
29,029,  2024-04-29 17:00,  2024-04-30 01:00,165,6,0.29,264,19,0.25,204,5,0.15,264,20
30,030,  2024-04-29 18:00,  2024-04-30 02:00,127,13,0.28,264,19,0.24,204,5,0.15,264,20
31,031,  2024-04-29 19:00,  2024-04-30 03:00,104,18,0.48,264,3,0.45,204,2,0.15,264,18
32,032,  2024-04-29 20:00,  2024-04-30 04:00,100,17,0.61,84,3,0.59,84,3,0.15,264,18
33,033,  2024-04-29 21:00,  2024-04-30 05:00,108,17,0.72,120,3,0.7,120,3,0.16,264,18
