,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s]
0,000,  2024-04-23 12:00,  2024-04-23 20:00,43,6,1.12,264,15,0.85,60,5,0.73,264,15
1,001,  2024-04-23 13:00,  2024-04-23 21:00,41,7,1.1,264,15,0.84,60,5,0.73,264,15
2,002,  2024-04-23 14:00,  2024-04-23 22:00,45,6,1.09,264,15,0.81,60,5,0.73,264,15
3,003,  2024-04-23 15:00,  2024-04-23 23:00,81,4,1.07,264,15,0.79,60,5,0.73,264,15
4,004,  2024-04-23 16:00,  2024-04-24 00:00,113,5,1.05,264,15,0.76,60,5,0.73,264,15
5,005,  2024-04-23 17:00,  2024-04-24 01:00,136,6,1.03,264,15,0.74,252,5,0.73,264,15
6,006,  2024-04-23 18:00,  2024-04-24 02:00,133,8,1.02,264,14,0.72,252,5,0.73,264,15
7,007,  2024-04-23 19:00,  2024-04-24 03:00,124,10,1.01,264,14,0.71,60,6,0.72,264,15
8,008,  2024-04-23 20:00,  2024-04-24 04:00,124,12,1.02,264,14,0.72,60,6,0.72,264,15
9,009,  2024-04-23 21:00,  2024-04-24 05:00,132,13,1.05,264,14,0.78,60,6,0.71,264,14
10,010,  2024-04-23 22:00,  2024-04-24 06:00,137,14,1.08,264,14,0.82,60,6,0.7,264,14
11,011,  2024-04-23 23:00,  2024-04-24 07:00,137,17,1.14,264,14,0.91,60,6,0.7,264,14
12,012,  2024-04-24 00:00,  2024-04-24 08:00,121,18,1.24,264,14,1.04,60,4,0.68,264,14
13,013,  2024-04-24 01:00,  2024-04-24 09:00,108,20,1.35,264,14,1.17,72,4,0.67,264,14
14,014,  2024-04-24 02:00,  2024-04-24 10:00,104,19,1.44,264,14,1.28,72,5,0.66,264,14
15,015,  2024-04-24 03:00,  2024-04-24 11:00,100,18,1.49,264,5,1.34,72,5,0.64,264,14
16,016,  2024-04-24 04:00,  2024-04-24 12:00,94,18,1.52,264,5,1.38,72,5,0.63,264,14
17,017,  2024-04-24 05:00,  2024-04-24 13:00,88,18,1.53,264,5,1.41,84,5,0.62,264,14
18,018,  2024-04-24 06:00,  2024-04-24 14:00,84,17,1.53,264,5,1.41,84,5,0.6,264,14
19,019,  2024-04-24 07:00,  2024-04-24 15:00,80,16,1.5,264,5,1.38,72,5,0.59,264,14
20,020,  2024-04-24 08:00,  2024-04-24 16:00,77,14,1.44,264,5,1.33,72,5,0.57,264,14
21,021,  2024-04-24 09:00,  2024-04-24 17:00,72,13,1.38,264,6,1.27,72,6,0.56,264,14
22,022,  2024-04-24 10:00,  2024-04-24 18:00,62,11,1.32,264,6,1.2,72,6,0.55,264,14
23,023,  2024-04-24 11:00,  2024-04-24 19:00,55,11,1.26,264,6,1.14,72,6,0.54,264,14
24,024,  2024-04-24 12:00,  2024-04-24 20:00,51,10,1.2,264,6,1.08,72,6,0.53,264,14
25,025,  2024-04-24 13:00,  2024-04-24 21:00,43,9,1.15,264,6,1.03,72,6,0.52,264,14
26,026,  2024-04-24 14:00,  2024-04-24 22:00,46,7,1.1,264,6,0.98,72,6,0.51,264,14
27,027,  2024-04-24 15:00,  2024-04-24 23:00,51,6,1.06,264,13,0.94,72,6,0.5,264,14
28,028,  2024-04-24 16:00,  2024-04-25 00:00,60,4,1.03,264,13,0.9,72,6,0.49,264,14
29,029,  2024-04-24 17:00,  2024-04-25 01:00,92,5,1.0,264,13,0.87,72,6,0.49,264,14
30,030,  2024-04-24 18:00,  2024-04-25 02:00,117,6,0.97,264,13,0.85,72,6,0.48,264,14
31,031,  2024-04-24 19:00,  2024-04-25 03:00,132,8,0.95,264,13,0.82,72,6,0.47,264,14
32,032,  2024-04-24 20:00,  2024-04-25 04:00,133,10,0.92,264,13,0.8,72,6,0.46,264,14
33,033,  2024-04-24 21:00,  2024-04-25 05:00,133,11,0.9,264,13,0.78,72,6,0.46,264,14
34,034,  2024-04-24 22:00,  2024-04-25 06:00,132,11,0.89,264,13,0.77,72,6,0.45,264,14
35,035,  2024-04-24 23:00,  2024-04-25 07:00,123,13,0.9,264,13,0.78,72,6,0.44,264,14
36,036,  2024-04-25 00:00,  2024-04-25 08:00,108,15,0.95,264,13,0.85,72,6,0.44,264,14
37,037,  2024-04-25 01:00,  2024-04-25 09:00,102,16,1.03,264,13,0.94,72,6,0.43,264,12
38,038,  2024-04-25 02:00,  2024-04-25 10:00,97,15,1.08,264,13,1.0,72,4,0.42,264,12
39,039,  2024-04-25 03:00,  2024-04-25 11:00,93,14,1.1,72,5,1.02,72,4,0.41,264,12
40,040,  2024-04-25 04:00,  2024-04-25 12:00,86,14,1.1,72,5,1.03,72,5,0.41,264,12
41,041,  2024-04-25 05:00,  2024-04-25 13:00,80,14,1.1,72,5,1.03,72,5,0.4,264,12
42,042,  2024-04-25 06:00,  2024-04-25 14:00,72,14,1.09,72,5,1.02,72,5,0.39,264,12
43,043,  2024-04-25 07:00,  2024-04-25 15:00,64,13,1.07,72,5,1.0,72,5,0.39,264,12
44,044,  2024-04-25 08:00,  2024-04-25 16:00,57,12,1.05,72,5,0.98,72,5,0.38,264,12
45,045,  2024-04-25 09:00,  2024-04-25 17:00,49,10,1.02,72,5,0.95,72,5,0.37,264,12
46,046,  2024-04-25 10:00,  2024-04-25 18:00,42,9,0.99,72,5,0.92,84,5,0.37,264,12
47,047,  2024-04-25 11:00,  2024-04-25 19:00,41,9,0.96,84,5,0.89,84,5,0.36,264,12
48,048,  2024-04-25 12:00,  2024-04-25 20:00,40,8,0.93,84,5,0.85,84,5,0.36,264,12
49,049,  2024-04-25 13:00,  2024-04-25 21:00,36,6,0.89,252,5,0.82,84,5,0.35,264,12
50,050,  2024-04-25 14:00,  2024-04-25 22:00,28,6,0.86,252,5,0.78,84,5,0.35,264,12
51,051,  2024-04-25 15:00,  2024-04-25 23:00,16,5,0.82,252,5,0.75,84,5,0.34,264,12
52,052,  2024-04-25 16:00,  2024-04-26 00:00,5,6,0.79,252,5,0.71,84,5,0.34,264,12
53,053,  2024-04-25 17:00,  2024-04-26 01:00,355,6,0.76,252,5,0.68,84,5,0.34,264,12
54,054,  2024-04-25 18:00,  2024-04-26 02:00,342,6,0.73,252,5,0.65,84,5,0.33,264,12
55,055,  2024-04-25 19:00,  2024-04-26 03:00,333,7,0.7,252,5,0.62,84,5,0.33,264,12
56,056,  2024-04-25 20:00,  2024-04-26 04:00,325,6,0.67,252,5,0.59,84,5,0.32,264,12
57,057,  2024-04-25 21:00,  2024-04-26 05:00,226,2,0.64,264,12,0.55,84,5,0.32,264,12
58,058,  2024-04-25 22:00,  2024-04-26 06:00,162,5,0.61,264,12,0.52,84,5,0.32,264,12
59,059,  2024-04-25 23:00,  2024-04-26 07:00,145,8,0.59,264,13,0.5,84,5,0.31,264,12
60,060,  2024-04-26 00:00,  2024-04-26 08:00,132,11,0.57,264,13,0.48,84,5,0.31,264,12
61,061,  2024-04-26 01:00,  2024-04-26 09:00,125,11,0.57,264,13,0.48,84,5,0.31,264,12
62,062,  2024-04-26 02:00,  2024-04-26 10:00,124,9,0.57,264,13,0.48,84,5,0.31,264,12
63,063,  2024-04-26 03:00,  2024-04-26 11:00,130,7,0.55,264,13,0.46,84,5,0.3,264,12
64,064,  2024-04-26 04:00,  2024-04-26 12:00,127,5,0.52,264,13,0.43,84,5,0.3,264,12
65,065,  2024-04-26 05:00,  2024-04-26 13:00,122,5,0.5,264,13,0.41,84,5,0.3,264,12
66,066,  2024-04-26 06:00,  2024-04-26 14:00,117,4,0.49,264,13,0.39,84,5,0.3,264,14
67,067,  2024-04-26 07:00,  2024-04-26 15:00,96,4,0.47,264,13,0.37,84,5,0.3,264,14
68,068,  2024-04-26 08:00,  2024-04-26 16:00,72,4,0.46,264,13,0.35,84,5,0.3,264,14
69,069,  2024-04-26 09:00,  2024-04-26 17:00,50,4,0.45,264,13,0.34,84,5,0.3,264,14
70,070,  2024-04-26 10:00,  2024-04-26 18:00,31,5,0.44,264,13,0.33,72,5,0.3,264,14
71,071,  2024-04-26 11:00,  2024-04-26 19:00,23,5,0.43,264,13,0.32,252,4,0.3,264,14
72,072,  2024-04-26 12:00,  2024-04-26 20:00,9,4,0.43,264,13,0.31,252,4,0.3,264,14
73,073,  2024-04-26 13:00,  2024-04-26 21:00,14,4,0.42,264,13,0.3,252,4,0.3,264,14
74,074,  2024-04-26 14:00,  2024-04-26 22:00,27,4,0.42,264,13,0.3,240,4,0.3,264,14
75,075,  2024-04-26 15:00,  2024-04-26 23:00,19,4,0.42,264,13,0.3,240,4,0.3,264,14
76,076,  2024-04-26 16:00,  2024-04-27 00:00,353,2,0.42,264,13,0.29,240,6,0.3,264,14
77,077,  2024-04-26 17:00,  2024-04-27 01:00,302,2,0.42,264,13,0.29,240,6,0.3,264,14
78,078,  2024-04-26 18:00,  2024-04-27 02:00,259,3,0.42,264,13,0.29,240,6,0.3,264,14
79,079,  2024-04-26 19:00,  2024-04-27 03:00,239,5,0.42,264,16,0.29,240,6,0.3,264,17
80,080,  2024-04-26 20:00,  2024-04-27 04:00,234,6,0.42,264,16,0.29,240,6,0.3,264,17
81,081,  2024-04-26 21:00,  2024-04-27 05:00,225,7,0.42,264,16,0.29,240,6,0.3,264,17
82,082,  2024-04-26 22:00,  2024-04-27 06:00,218,8,0.42,264,16,0.29,240,6,0.31,264,17
83,083,  2024-04-26 23:00,  2024-04-27 07:00,215,9,0.42,264,16,0.29,240,6,0.31,264,17
84,084,  2024-04-27 00:00,  2024-04-27 08:00,198,6,0.42,264,16,0.29,24,6,0.31,264,17
85,085,  2024-04-27 01:00,  2024-04-27 09:00,133,6,0.43,264,16,0.29,24,6,0.31,276,17
