,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s]
0,000,  2024-04-28 12:00,  2024-04-28 20:00,44,7,0.92,240,18,0.46,24,6,0.8,240,18
1,001,  2024-04-28 13:00,  2024-04-28 21:00,38,6,0.93,240,18,0.47,36,6,0.81,240,18
2,002,  2024-04-28 14:00,  2024-04-28 22:00,40,6,0.95,240,18,0.49,36,6,0.81,240,18
3,003,  2024-04-28 15:00,  2024-04-28 23:00,35,3,0.96,240,18,0.5,36,6,0.82,240,18
4,004,  2024-04-28 16:00,  2024-04-29 00:00,107,1,0.97,240,18,0.52,36,6,0.82,240,18
5,005,  2024-04-28 17:00,  2024-04-29 01:00,184,3,0.98,240,17,0.53,36,6,0.82,240,18
6,006,  2024-04-28 18:00,  2024-04-29 02:00,182,5,0.99,240,17,0.54,36,6,0.83,240,17
7,007,  2024-04-28 19:00,  2024-04-29 03:00,175,7,0.99,240,17,0.55,36,6,0.83,240,17
8,008,  2024-04-28 20:00,  2024-04-29 04:00,166,7,1.0,240,17,0.55,36,6,0.84,240,17
9,009,  2024-04-28 21:00,  2024-04-29 05:00,159,9,1.0,240,17,0.55,36,6,0.84,240,17
10,010,  2024-04-28 22:00,  2024-04-29 06:00,152,11,1.0,240,16,0.54,36,6,0.85,240,17
11,011,  2024-04-28 23:00,  2024-04-29 07:00,150,11,1.0,240,16,0.53,36,6,0.86,240,17
12,012,  2024-04-29 00:00,  2024-04-29 08:00,149,10,1.0,240,16,0.52,36,6,0.86,240,17
13,013,  2024-04-29 01:00,  2024-04-29 09:00,150,9,1.01,240,16,0.52,36,6,0.87,240,17
14,014,  2024-04-29 02:00,  2024-04-29 10:00,150,9,1.01,240,16,0.52,36,6,0.87,240,17
15,015,  2024-04-29 03:00,  2024-04-29 11:00,143,10,1.01,240,16,0.53,36,6,0.87,240,17
16,016,  2024-04-29 04:00,  2024-04-29 12:00,135,9,1.01,240,16,0.53,36,6,0.87,240,17
17,017,  2024-04-29 05:00,  2024-04-29 13:00,117,8,1.01,240,16,0.52,36,6,0.87,240,17
18,018,  2024-04-29 06:00,  2024-04-29 14:00,96,9,1.0,240,16,0.51,36,6,0.87,240,17
19,019,  2024-04-29 07:00,  2024-04-29 15:00,74,11,1.0,240,16,0.51,36,6,0.86,240,17
20,020,  2024-04-29 08:00,  2024-04-29 16:00,61,14,1.04,240,16,0.59,36,6,0.86,240,17
21,021,  2024-04-29 09:00,  2024-04-29 17:00,54,16,1.12,240,16,0.74,36,6,0.85,240,17
22,022,  2024-04-29 10:00,  2024-04-29 18:00,51,16,1.22,240,16,0.88,36,4,0.85,240,15
23,023,  2024-04-29 11:00,  2024-04-29 19:00,44,15,1.25,240,15,0.93,36,4,0.84,240,15
24,024,  2024-04-29 12:00,  2024-04-29 20:00,29,14,1.24,240,15,0.92,36,4,0.84,240,15
