,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s]
0,000,  2024-04-23 12:00,  2024-04-23 20:00,357,4,2.22,216,14,0.93,216,9,2.04,228,14
1,001,  2024-04-23 13:00,  2024-04-23 21:00,19,6,2.21,216,14,0.91,216,9,2.03,228,14
2,002,  2024-04-23 14:00,  2024-04-23 22:00,26,8,2.19,216,14,0.9,216,9,2.02,228,14
3,003,  2024-04-23 15:00,  2024-04-23 23:00,14,5,2.17,216,14,0.89,216,9,2.0,228,14
4,004,  2024-04-23 16:00,  2024-04-24 00:00,309,1,2.15,216,13,0.89,216,9,1.98,228,14
5,005,  2024-04-23 17:00,  2024-04-24 01:00,20,0,2.13,216,13,0.88,216,9,1.96,228,14
6,006,  2024-04-23 18:00,  2024-04-24 02:00,104,2,2.09,216,13,0.88,216,9,1.92,228,14
7,007,  2024-04-23 19:00,  2024-04-24 03:00,122,2,2.06,216,13,0.87,216,9,1.88,228,14
8,008,  2024-04-23 20:00,  2024-04-24 04:00,125,2,2.01,216,13,0.87,216,9,1.84,228,14
9,009,  2024-04-23 21:00,  2024-04-24 05:00,109,4,1.97,216,13,0.86,216,9,1.79,228,14
10,010,  2024-04-23 22:00,  2024-04-24 06:00,135,5,1.92,216,13,0.86,216,9,1.74,228,14
11,011,  2024-04-23 23:00,  2024-04-24 07:00,133,7,1.88,216,13,0.85,216,9,1.7,228,14
12,012,  2024-04-24 00:00,  2024-04-24 08:00,132,8,1.84,216,13,0.85,216,9,1.65,228,14
13,013,  2024-04-24 01:00,  2024-04-24 09:00,131,9,1.8,216,13,0.84,216,9,1.61,228,14
14,014,  2024-04-24 02:00,  2024-04-24 10:00,119,12,1.76,216,13,0.84,216,9,1.57,228,14
15,015,  2024-04-24 03:00,  2024-04-24 11:00,112,14,1.74,216,13,0.87,216,9,1.52,228,14
16,016,  2024-04-24 04:00,  2024-04-24 12:00,105,13,1.73,216,13,0.92,216,9,1.48,228,14
17,017,  2024-04-24 05:00,  2024-04-24 13:00,92,12,1.71,216,13,0.93,216,9,1.45,228,14
18,018,  2024-04-24 06:00,  2024-04-24 14:00,72,11,1.68,216,13,0.93,216,9,1.41,228,14
19,019,  2024-04-24 07:00,  2024-04-24 15:00,51,10,1.64,216,13,0.92,216,9,1.37,228,14
20,020,  2024-04-24 08:00,  2024-04-24 16:00,34,11,1.61,216,13,0.91,216,9,1.34,228,14
21,021,  2024-04-24 09:00,  2024-04-24 17:00,25,11,1.58,216,13,0.91,216,9,1.31,228,14
22,022,  2024-04-24 10:00,  2024-04-24 18:00,21,11,1.57,216,13,0.92,216,9,1.28,228,14
23,023,  2024-04-24 11:00,  2024-04-24 19:00,23,11,1.56,216,13,0.93,216,9,1.26,228,14
24,024,  2024-04-24 12:00,  2024-04-24 20:00,24,11,1.55,216,13,0.95,216,9,1.24,228,14
25,025,  2024-04-24 13:00,  2024-04-24 21:00,23,10,1.54,216,13,0.96,216,9,1.21,228,14
26,026,  2024-04-24 14:00,  2024-04-24 22:00,23,8,1.52,216,13,0.96,216,9,1.19,228,14
27,027,  2024-04-24 15:00,  2024-04-24 23:00,24,5,1.5,216,13,0.95,216,9,1.18,228,12
28,028,  2024-04-24 16:00,  2024-04-25 00:00,45,1,1.48,216,13,0.93,216,9,1.16,216,12
29,029,  2024-04-24 17:00,  2024-04-25 01:00,157,2,1.45,216,13,0.91,216,9,1.14,216,12
30,030,  2024-04-24 18:00,  2024-04-25 02:00,146,4,1.42,216,13,0.89,216,9,1.13,216,12
31,031,  2024-04-24 19:00,  2024-04-25 03:00,135,6,1.39,216,12,0.86,216,9,1.11,216,12
32,032,  2024-04-24 20:00,  2024-04-25 04:00,128,9,1.37,216,12,0.83,216,9,1.1,216,12
33,033,  2024-04-24 21:00,  2024-04-25 05:00,131,10,1.34,216,12,0.81,216,9,1.08,216,12
34,034,  2024-04-24 22:00,  2024-04-25 06:00,135,12,1.32,216,12,0.79,216,9,1.07,216,12
35,035,  2024-04-24 23:00,  2024-04-25 07:00,134,13,1.32,216,12,0.81,216,9,1.06,216,12
36,036,  2024-04-25 00:00,  2024-04-25 08:00,131,13,1.32,216,12,0.82,216,9,1.04,216,12
37,037,  2024-04-25 01:00,  2024-04-25 09:00,129,13,1.32,216,12,0.84,216,9,1.03,216,12
38,038,  2024-04-25 02:00,  2024-04-25 10:00,127,13,1.32,216,12,0.85,216,9,1.02,216,12
39,039,  2024-04-25 03:00,  2024-04-25 11:00,123,13,1.31,216,12,0.86,216,9,1.0,216,12
40,040,  2024-04-25 04:00,  2024-04-25 12:00,112,11,1.28,216,12,0.84,216,9,0.98,216,12
41,041,  2024-04-25 05:00,  2024-04-25 13:00,83,9,1.25,216,12,0.81,216,9,0.97,216,12
42,042,  2024-04-25 06:00,  2024-04-25 14:00,57,8,1.22,216,12,0.78,216,9,0.95,216,12
43,043,  2024-04-25 07:00,  2024-04-25 15:00,37,7,1.19,216,12,0.76,216,9,0.93,216,12
44,044,  2024-04-25 08:00,  2024-04-25 16:00,17,6,1.16,216,12,0.73,216,9,0.91,216,12
45,045,  2024-04-25 09:00,  2024-04-25 17:00,2,6,1.13,216,12,0.7,216,9,0.9,216,12
46,046,  2024-04-25 10:00,  2024-04-25 18:00,354,6,1.11,216,12,0.68,216,9,0.88,216,12
47,047,  2024-04-25 11:00,  2024-04-25 19:00,345,6,1.08,216,12,0.66,216,9,0.87,216,12
48,048,  2024-04-25 12:00,  2024-04-25 20:00,338,7,1.06,216,12,0.64,216,9,0.86,216,12
49,049,  2024-04-25 13:00,  2024-04-25 21:00,327,5,1.05,216,12,0.63,216,9,0.84,216,12
50,050,  2024-04-25 14:00,  2024-04-25 22:00,292,4,1.03,216,12,0.62,216,9,0.83,216,12
