,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s]
0,000,  2024-04-27 12:00,  2024-04-27 20:00,29,5,0.37,264,15,0.28,60,5,0.25,264,15
1,001,  2024-04-27 13:00,  2024-04-27 21:00,29,5,0.37,264,15,0.28,60,5,0.25,264,15
2,002,  2024-04-27 14:00,  2024-04-27 22:00,17,4,0.37,264,15,0.27,60,5,0.26,264,15
3,003,  2024-04-27 15:00,  2024-04-27 23:00,352,3,0.38,264,22,0.27,48,5,0.26,264,22
4,004,  2024-04-27 16:00,  2024-04-28 00:00,340,1,0.38,264,22,0.27,36,4,0.27,264,22
5,005,  2024-04-27 17:00,  2024-04-28 01:00,173,2,0.38,264,22,0.27,36,4,0.27,264,22
6,006,  2024-04-27 18:00,  2024-04-28 02:00,185,3,0.39,264,22,0.28,36,4,0.28,264,22
7,007,  2024-04-27 19:00,  2024-04-28 03:00,185,5,0.4,264,21,0.28,36,4,0.28,264,22
8,008,  2024-04-27 20:00,  2024-04-28 04:00,175,8,0.41,264,21,0.29,36,4,0.29,264,20
9,009,  2024-04-27 21:00,  2024-04-28 05:00,162,9,0.41,264,20,0.29,36,4,0.3,264,20
10,010,  2024-04-27 22:00,  2024-04-28 06:00,158,11,0.42,264,20,0.3,24,4,0.3,264,20
11,011,  2024-04-27 23:00,  2024-04-28 07:00,155,11,0.43,264,20,0.3,24,4,0.31,264,20
12,012,  2024-04-28 00:00,  2024-04-28 08:00,148,12,0.44,264,20,0.31,24,4,0.31,264,20
13,013,  2024-04-28 01:00,  2024-04-28 09:00,134,11,0.45,264,20,0.32,36,5,0.32,264,20
14,014,  2024-04-28 02:00,  2024-04-28 10:00,119,11,0.46,264,20,0.33,36,5,0.32,264,20
15,015,  2024-04-28 03:00,  2024-04-28 11:00,106,10,0.48,264,20,0.35,36,5,0.33,264,20
16,016,  2024-04-28 04:00,  2024-04-28 12:00,91,10,0.5,264,20,0.37,36,5,0.33,264,20
17,017,  2024-04-28 05:00,  2024-04-28 13:00,82,9,0.52,264,20,0.39,36,5,0.33,264,20
18,018,  2024-04-28 06:00,  2024-04-28 14:00,70,9,0.54,264,20,0.42,36,5,0.34,264,20
19,019,  2024-04-28 07:00,  2024-04-28 15:00,65,10,0.57,264,19,0.46,48,5,0.34,264,20
20,020,  2024-04-28 08:00,  2024-04-28 16:00,59,12,0.64,264,19,0.54,48,5,0.34,264,18
21,021,  2024-04-28 09:00,  2024-04-28 17:00,48,14,0.74,264,19,0.66,48,4,0.34,264,18
22,022,  2024-04-28 10:00,  2024-04-28 18:00,44,14,0.82,264,18,0.75,48,4,0.34,264,18
23,023,  2024-04-28 11:00,  2024-04-28 19:00,41,13,0.85,36,18,0.77,48,4,0.34,264,18
24,024,  2024-04-28 12:00,  2024-04-28 20:00,29,11,0.83,36,18,0.76,36,5,0.35,264,18
25,025,  2024-04-28 13:00,  2024-04-28 21:00,17,10,0.81,36,18,0.73,36,5,0.35,264,18
