,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s]
0,000,  2024-04-23 12:00,  2024-04-23 20:00,35,6,1.03,264,15,0.82,60,5,0.63,276,15
1,001,  2024-04-23 13:00,  2024-04-23 21:00,34,7,1.02,264,15,0.8,60,5,0.64,276,15
2,002,  2024-04-23 14:00,  2024-04-23 22:00,46,5,1.0,264,15,0.77,60,5,0.64,276,15
3,003,  2024-04-23 15:00,  2024-04-23 23:00,88,4,0.98,264,15,0.74,60,5,0.64,276,15
4,004,  2024-04-23 16:00,  2024-04-24 00:00,113,5,0.95,264,15,0.71,60,5,0.64,276,15
5,005,  2024-04-23 17:00,  2024-04-24 01:00,137,6,0.93,264,15,0.69,60,5,0.64,276,15
6,006,  2024-04-23 18:00,  2024-04-24 02:00,135,7,0.92,264,15,0.67,48,5,0.63,276,15
7,007,  2024-04-23 19:00,  2024-04-24 03:00,129,10,0.91,264,14,0.66,60,6,0.63,276,15
8,008,  2024-04-23 20:00,  2024-04-24 04:00,130,12,0.92,264,14,0.68,60,6,0.62,276,15
9,009,  2024-04-23 21:00,  2024-04-24 05:00,138,13,0.96,264,14,0.74,60,6,0.62,276,15
10,010,  2024-04-23 22:00,  2024-04-24 06:00,141,14,1.0,264,14,0.79,60,6,0.61,264,14
11,011,  2024-04-23 23:00,  2024-04-24 07:00,136,18,1.1,264,14,0.92,60,6,0.6,264,14
12,012,  2024-04-24 00:00,  2024-04-24 08:00,119,20,1.22,264,14,1.07,60,4,0.59,264,14
13,013,  2024-04-24 01:00,  2024-04-24 09:00,110,21,1.35,264,4,1.22,108,4,0.58,264,14
14,014,  2024-04-24 02:00,  2024-04-24 10:00,106,20,1.44,264,5,1.33,84,5,0.57,264,14
15,015,  2024-04-24 03:00,  2024-04-24 11:00,100,19,1.49,264,5,1.39,72,5,0.56,264,14
16,016,  2024-04-24 04:00,  2024-04-24 12:00,93,18,1.51,72,5,1.41,72,5,0.55,264,14
17,017,  2024-04-24 05:00,  2024-04-24 13:00,87,18,1.52,72,5,1.42,72,5,0.53,264,14
18,018,  2024-04-24 06:00,  2024-04-24 14:00,83,17,1.5,72,5,1.41,72,5,0.52,264,14
19,019,  2024-04-24 07:00,  2024-04-24 15:00,80,16,1.46,72,5,1.37,72,5,0.51,264,14
20,020,  2024-04-24 08:00,  2024-04-24 16:00,74,14,1.4,72,6,1.31,72,5,0.5,264,14
21,021,  2024-04-24 09:00,  2024-04-24 17:00,66,13,1.33,72,6,1.24,72,6,0.49,264,14
22,022,  2024-04-24 10:00,  2024-04-24 18:00,56,12,1.26,72,6,1.17,72,6,0.48,264,14
23,023,  2024-04-24 11:00,  2024-04-24 19:00,52,11,1.2,72,6,1.11,72,6,0.47,264,14
24,024,  2024-04-24 12:00,  2024-04-24 20:00,44,10,1.14,72,6,1.04,72,6,0.46,264,14
25,025,  2024-04-24 13:00,  2024-04-24 21:00,44,8,1.08,264,6,0.99,72,6,0.45,276,14
26,026,  2024-04-24 14:00,  2024-04-24 22:00,52,6,1.03,264,6,0.94,72,6,0.44,276,14
27,027,  2024-04-24 15:00,  2024-04-24 23:00,62,5,1.0,264,6,0.9,60,6,0.44,276,14
28,028,  2024-04-24 16:00,  2024-04-25 00:00,74,4,0.96,264,6,0.86,60,6,0.43,276,14
29,029,  2024-04-24 17:00,  2024-04-25 01:00,102,5,0.94,264,6,0.84,60,6,0.42,276,14
30,030,  2024-04-24 18:00,  2024-04-25 02:00,120,7,0.91,264,6,0.81,72,6,0.42,276,14
31,031,  2024-04-24 19:00,  2024-04-25 03:00,131,9,0.89,264,6,0.79,72,6,0.41,276,14
32,032,  2024-04-24 20:00,  2024-04-25 04:00,132,10,0.86,264,6,0.77,72,6,0.41,276,14
33,033,  2024-04-24 21:00,  2024-04-25 05:00,133,11,0.84,264,6,0.75,72,6,0.4,276,14
34,034,  2024-04-24 22:00,  2024-04-25 06:00,127,12,0.85,264,6,0.75,72,6,0.39,276,14
35,035,  2024-04-24 23:00,  2024-04-25 07:00,118,15,0.89,264,6,0.8,72,6,0.39,264,14
36,036,  2024-04-25 00:00,  2024-04-25 08:00,110,17,0.97,72,13,0.9,72,6,0.38,264,14
37,037,  2024-04-25 01:00,  2024-04-25 09:00,104,16,1.04,72,4,0.97,72,4,0.37,264,14
38,038,  2024-04-25 02:00,  2024-04-25 10:00,96,16,1.09,72,4,1.03,72,4,0.37,264,12
39,039,  2024-04-25 03:00,  2024-04-25 11:00,90,15,1.11,72,5,1.05,72,4,0.36,264,12
40,040,  2024-04-25 04:00,  2024-04-25 12:00,83,15,1.11,72,5,1.06,72,5,0.35,264,12
41,041,  2024-04-25 05:00,  2024-04-25 13:00,76,15,1.11,72,5,1.05,72,5,0.35,264,12
42,042,  2024-04-25 06:00,  2024-04-25 14:00,68,15,1.1,72,5,1.04,72,5,0.34,264,12
43,043,  2024-04-25 07:00,  2024-04-25 15:00,60,13,1.08,72,5,1.02,72,5,0.34,264,12
44,044,  2024-04-25 08:00,  2024-04-25 16:00,54,12,1.05,72,5,0.99,72,5,0.33,264,12
45,045,  2024-04-25 09:00,  2024-04-25 17:00,46,11,1.01,72,5,0.96,72,5,0.33,264,12
46,046,  2024-04-25 10:00,  2024-04-25 18:00,39,10,0.98,72,5,0.92,72,5,0.32,264,12
47,047,  2024-04-25 11:00,  2024-04-25 19:00,40,9,0.94,72,5,0.89,72,5,0.32,264,12
48,048,  2024-04-25 12:00,  2024-04-25 20:00,40,8,0.91,72,5,0.85,72,5,0.31,264,12
49,049,  2024-04-25 13:00,  2024-04-25 21:00,36,6,0.87,72,5,0.81,72,5,0.31,264,12
50,050,  2024-04-25 14:00,  2024-04-25 22:00,23,6,0.83,72,5,0.77,72,5,0.31,264,12
51,051,  2024-04-25 15:00,  2024-04-25 23:00,10,6,0.79,72,5,0.73,72,5,0.3,264,12
52,052,  2024-04-25 16:00,  2024-04-26 00:00,1,6,0.76,72,5,0.7,72,5,0.3,264,12
53,053,  2024-04-25 17:00,  2024-04-26 01:00,353,6,0.73,72,5,0.67,72,5,0.29,264,12
54,054,  2024-04-25 18:00,  2024-04-26 02:00,341,6,0.7,72,5,0.63,72,5,0.29,264,12
55,055,  2024-04-25 19:00,  2024-04-26 03:00,322,5,0.66,72,5,0.6,72,5,0.29,264,12
56,056,  2024-04-25 20:00,  2024-04-26 04:00,311,3,0.63,264,5,0.57,72,5,0.28,264,12
57,057,  2024-04-25 21:00,  2024-04-26 05:00,187,3,0.6,264,5,0.53,72,5,0.28,264,12
58,058,  2024-04-25 22:00,  2024-04-26 06:00,152,7,0.57,264,5,0.5,72,5,0.28,264,12
59,059,  2024-04-25 23:00,  2024-04-26 07:00,137,11,0.55,264,13,0.48,72,5,0.28,264,12
60,060,  2024-04-26 00:00,  2024-04-26 08:00,128,12,0.54,264,13,0.46,72,5,0.27,264,12
61,061,  2024-04-26 01:00,  2024-04-26 09:00,125,10,0.53,264,13,0.46,72,5,0.27,264,12
62,062,  2024-04-26 02:00,  2024-04-26 10:00,127,7,0.52,264,13,0.44,72,5,0.27,264,12
63,063,  2024-04-26 03:00,  2024-04-26 11:00,138,6,0.49,264,13,0.42,72,5,0.27,264,12
64,064,  2024-04-26 04:00,  2024-04-26 12:00,131,5,0.47,264,13,0.39,72,5,0.27,264,14
65,065,  2024-04-26 05:00,  2024-04-26 13:00,115,4,0.46,264,13,0.37,72,5,0.27,264,14
66,066,  2024-04-26 06:00,  2024-04-26 14:00,99,4,0.44,264,13,0.36,72,5,0.26,264,14
67,067,  2024-04-26 07:00,  2024-04-26 15:00,77,4,0.43,264,13,0.34,72,5,0.26,264,14
68,068,  2024-04-26 08:00,  2024-04-26 16:00,57,5,0.42,264,13,0.33,72,5,0.26,264,14
69,069,  2024-04-26 09:00,  2024-04-26 17:00,38,5,0.41,264,13,0.32,72,5,0.26,264,14
70,070,  2024-04-26 10:00,  2024-04-26 18:00,24,5,0.4,264,13,0.31,72,5,0.26,264,14
71,071,  2024-04-26 11:00,  2024-04-26 19:00,16,5,0.4,264,13,0.3,72,4,0.26,264,14
72,072,  2024-04-26 12:00,  2024-04-26 20:00,4,4,0.39,264,13,0.29,72,4,0.26,264,14
73,073,  2024-04-26 13:00,  2024-04-26 21:00,8,4,0.39,264,13,0.29,72,4,0.26,264,14
74,074,  2024-04-26 14:00,  2024-04-26 22:00,19,4,0.39,264,13,0.28,72,4,0.26,264,14
75,075,  2024-04-26 15:00,  2024-04-26 23:00,10,4,0.39,264,13,0.28,72,4,0.26,264,14
76,076,  2024-04-26 16:00,  2024-04-27 00:00,340,3,0.38,264,13,0.28,252,6,0.26,264,14
77,077,  2024-04-26 17:00,  2024-04-27 01:00,301,3,0.38,264,14,0.28,252,6,0.26,264,14
78,078,  2024-04-26 18:00,  2024-04-27 02:00,265,4,0.38,264,14,0.28,252,6,0.27,264,14
79,079,  2024-04-26 19:00,  2024-04-27 03:00,244,6,0.38,264,16,0.28,36,6,0.27,276,17
80,080,  2024-04-26 20:00,  2024-04-27 04:00,233,7,0.38,276,16,0.27,36,6,0.27,276,17
81,081,  2024-04-26 21:00,  2024-04-27 05:00,223,8,0.38,276,16,0.27,24,6,0.27,276,17
82,082,  2024-04-26 22:00,  2024-04-27 06:00,217,10,0.38,276,16,0.27,24,6,0.27,276,17
83,083,  2024-04-26 23:00,  2024-04-27 07:00,217,10,0.38,276,16,0.27,24,6,0.28,276,17
84,084,  2024-04-27 00:00,  2024-04-27 08:00,184,7,0.39,276,16,0.27,24,6,0.28,276,17
85,085,  2024-04-27 01:00,  2024-04-27 09:00,141,7,0.39,276,16,0.27,24,6,0.28,276,17
86,086,  2024-04-27 02:00,  2024-04-27 10:00,128,7,0.4,276,16,0.28,24,6,0.28,276,17
87,087,  2024-04-27 03:00,  2024-04-27 11:00,116,6,0.4,276,16,0.29,24,6,0.28,276,17
88,088,  2024-04-27 04:00,  2024-04-27 12:00,96,5,0.41,276,16,0.3,24,6,0.29,276,17
89,089,  2024-04-27 05:00,  2024-04-27 13:00,84,4,0.42,276,16,0.31,24,6,0.29,276,17
90,090,  2024-04-27 06:00,  2024-04-27 14:00,83,3,0.43,276,16,0.31,24,6,0.29,276,17
91,091,  2024-04-27 07:00,  2024-04-27 15:00,73,2,0.43,276,16,0.32,24,6,0.29,276,15
92,092,  2024-04-27 08:00,  2024-04-27 16:00,68,1,0.44,276,15,0.33,24,6,0.3,276,15
93,093,  2024-04-27 09:00,  2024-04-27 17:00,281,0,0.45,276,15,0.34,24,6,0.3,276,15
94,094,  2024-04-27 10:00,  2024-04-27 18:00,303,1,0.46,276,15,0.35,24,6,0.31,276,15
95,095,  2024-04-27 11:00,  2024-04-27 19:00,318,2,0.48,276,15,0.36,24,6,0.31,276,15
96,096,  2024-04-27 12:00,  2024-04-27 20:00,279,2,0.49,276,15,0.38,24,6,0.32,276,15
97,097,  2024-04-27 13:00,  2024-04-27 21:00,241,2,0.51,276,15,0.4,24,6,0.32,276,15
98,098,  2024-04-27 14:00,  2024-04-27 22:00,217,2,0.53,276,15,0.42,12,6,0.33,276,15
99,099,  2024-04-27 15:00,  2024-04-27 23:00,205,3,0.54,276,15,0.43,12,6,0.33,276,15
100,100,  2024-04-27 16:00,  2024-04-28 00:00,225,3,0.55,276,15,0.43,12,6,0.34,276,15
101,101,  2024-04-27 17:00,  2024-04-28 01:00,243,5,0.56,276,15,0.44,12,6,0.35,276,15
102,102,  2024-04-27 18:00,  2024-04-28 02:00,223,6,0.56,276,15,0.43,12,6,0.35,276,15
103,103,  2024-04-27 19:00,  2024-04-28 03:00,204,8,0.55,276,15,0.42,12,6,0.36,276,15
104,104,  2024-04-27 20:00,  2024-04-28 04:00,191,10,0.55,276,15,0.41,12,6,0.37,276,15
105,105,  2024-04-27 21:00,  2024-04-28 05:00,183,11,0.55,276,21,0.4,12,6,0.38,276,20
106,106,  2024-04-27 22:00,  2024-04-28 06:00,175,12,0.54,276,20,0.39,48,6,0.38,288,20
107,107,  2024-04-27 23:00,  2024-04-28 07:00,171,12,0.55,276,20,0.38,48,6,0.39,288,20
108,108,  2024-04-28 00:00,  2024-04-28 08:00,165,11,0.55,276,20,0.38,48,6,0.4,288,20
109,109,  2024-04-28 01:00,  2024-04-28 09:00,153,10,0.61,276,20,0.45,48,6,0.41,288,20
110,110,  2024-04-28 02:00,  2024-04-28 10:00,138,8,0.61,276,20,0.44,48,6,0.42,288,20
111,111,  2024-04-28 03:00,  2024-04-28 11:00,130,7,0.6,276,20,0.42,48,6,0.43,288,20
112,112,  2024-04-28 04:00,  2024-04-28 12:00,116,6,0.59,276,20,0.41,48,6,0.43,288,20
