,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s]
0,000,  2024-04-25 12:00,  2024-04-25 20:00,60,9,1.14,228,12,0.91,84,5,0.69,228,12
1,001,  2024-04-25 13:00,  2024-04-25 21:00,52,9,1.13,228,12,0.9,84,5,0.68,228,12
2,002,  2024-04-25 14:00,  2024-04-25 22:00,45,9,1.11,228,12,0.89,84,5,0.67,228,12
3,003,  2024-04-25 15:00,  2024-04-25 23:00,38,8,1.09,228,12,0.87,84,5,0.66,228,12
4,004,  2024-04-25 16:00,  2024-04-26 00:00,33,8,1.06,228,12,0.84,84,5,0.65,228,12
5,005,  2024-04-25 17:00,  2024-04-26 01:00,27,7,1.03,228,12,0.82,84,5,0.64,228,12
6,006,  2024-04-25 18:00,  2024-04-26 02:00,20,7,1.01,228,12,0.79,84,5,0.63,228,12
7,007,  2024-04-25 19:00,  2024-04-26 03:00,4,6,0.98,228,12,0.76,84,5,0.62,228,12
8,008,  2024-04-25 20:00,  2024-04-26 04:00,37,5,0.95,228,12,0.73,84,5,0.61,228,12
9,009,  2024-04-25 21:00,  2024-04-26 05:00,90,6,0.93,228,12,0.71,84,5,0.6,228,12
10,010,  2024-04-25 22:00,  2024-04-26 06:00,108,6,0.9,228,12,0.69,84,5,0.6,228,12
11,011,  2024-04-25 23:00,  2024-04-26 07:00,119,7,0.88,228,12,0.66,84,5,0.59,228,12
12,012,  2024-04-26 00:00,  2024-04-26 08:00,123,7,0.86,228,12,0.64,84,5,0.59,228,12
13,013,  2024-04-26 01:00,  2024-04-26 09:00,117,8,0.84,228,12,0.62,84,5,0.58,228,12
14,014,  2024-04-26 02:00,  2024-04-26 10:00,113,9,0.83,228,12,0.6,84,5,0.58,228,12
15,015,  2024-04-26 03:00,  2024-04-26 11:00,112,10,0.82,228,12,0.59,228,5,0.57,228,12
