,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s]
0,000,  2024-04-27 12:00,  2024-04-27 20:00,36,9,0.45,300,15,0.37,36,3,0.26,300,15
1,001,  2024-04-27 13:00,  2024-04-27 21:00,23,8,0.43,300,15,0.34,36,3,0.27,300,15
2,002,  2024-04-27 14:00,  2024-04-27 22:00,2,7,0.42,312,15,0.32,36,4,0.27,312,15
3,003,  2024-04-27 15:00,  2024-04-27 23:00,337,6,0.42,312,15,0.32,36,4,0.28,312,15
4,004,  2024-04-27 16:00,  2024-04-28 00:00,282,2,0.42,312,15,0.31,36,4,0.28,312,15
5,005,  2024-04-27 17:00,  2024-04-28 01:00,175,4,0.42,312,15,0.3,36,4,0.29,312,15
6,006,  2024-04-27 18:00,  2024-04-28 02:00,154,5,0.42,312,15,0.3,36,4,0.3,312,15
7,007,  2024-04-27 19:00,  2024-04-28 03:00,159,6,0.43,312,15,0.3,36,4,0.3,312,15
8,008,  2024-04-27 20:00,  2024-04-28 04:00,159,7,0.43,312,21,0.3,36,4,0.31,312,22
9,009,  2024-04-27 21:00,  2024-04-28 05:00,157,8,0.43,312,21,0.3,36,5,0.32,312,20
10,010,  2024-04-27 22:00,  2024-04-28 06:00,151,9,0.44,312,21,0.3,36,5,0.32,312,20
11,011,  2024-04-27 23:00,  2024-04-28 07:00,136,9,0.45,312,20,0.3,24,5,0.33,312,20
12,012,  2024-04-28 00:00,  2024-04-28 08:00,122,9,0.45,312,20,0.3,24,5,0.34,312,20
13,013,  2024-04-28 01:00,  2024-04-28 09:00,114,10,0.46,312,20,0.3,24,5,0.35,312,20
14,014,  2024-04-28 02:00,  2024-04-28 10:00,102,11,0.48,312,20,0.32,24,5,0.36,312,20
15,015,  2024-04-28 03:00,  2024-04-28 11:00,97,11,0.51,312,20,0.36,24,5,0.36,312,20
