,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s]
0,000,  2024-04-28 12:00,  2024-04-28 20:00,212,5,1.33,228,17,0.45,216,9,1.25,228,18
1,001,  2024-04-28 13:00,  2024-04-28 21:00,202,6,1.33,228,17,0.45,204,9,1.26,228,17
2,002,  2024-04-28 14:00,  2024-04-28 22:00,194,6,1.34,228,17,0.46,204,9,1.27,228,17
3,003,  2024-04-28 15:00,  2024-04-28 23:00,189,6,1.35,228,17,0.47,204,9,1.28,228,17
4,004,  2024-04-28 16:00,  2024-04-29 00:00,183,6,1.37,228,17,0.47,204,9,1.29,228,17
5,005,  2024-04-28 17:00,  2024-04-29 01:00,182,6,1.38,228,16,0.48,204,9,1.3,228,17
6,006,  2024-04-28 18:00,  2024-04-29 02:00,181,8,1.39,228,16,0.48,204,9,1.31,228,17
7,007,  2024-04-28 19:00,  2024-04-29 03:00,171,10,1.4,228,16,0.49,204,9,1.32,228,17
8,008,  2024-04-28 20:00,  2024-04-29 04:00,161,10,1.42,228,16,0.5,204,9,1.33,228,17
9,009,  2024-04-28 21:00,  2024-04-29 05:00,147,10,1.42,228,16,0.51,204,9,1.34,228,17
10,010,  2024-04-28 22:00,  2024-04-29 06:00,137,11,1.43,228,16,0.52,36,9,1.34,228,17
11,011,  2024-04-28 23:00,  2024-04-29 07:00,138,12,1.44,228,16,0.53,36,9,1.34,228,17
12,012,  2024-04-29 00:00,  2024-04-29 08:00,140,12,1.47,228,16,0.6,36,9,1.34,228,17
13,013,  2024-04-29 01:00,  2024-04-29 09:00,134,12,1.48,228,16,0.63,36,9,1.34,228,17
14,014,  2024-04-29 02:00,  2024-04-29 10:00,132,11,1.48,228,16,0.65,36,7,1.34,228,17
15,015,  2024-04-29 03:00,  2024-04-29 11:00,132,10,1.47,228,16,0.64,36,6,1.33,228,17
16,016,  2024-04-29 04:00,  2024-04-29 12:00,139,8,1.46,228,16,0.63,36,7,1.33,228,15
17,017,  2024-04-29 05:00,  2024-04-29 13:00,149,6,1.45,228,15,0.61,36,7,1.32,228,15
18,018,  2024-04-29 06:00,  2024-04-29 14:00,175,3,1.44,228,15,0.6,36,7,1.31,228,15
19,019,  2024-04-29 07:00,  2024-04-29 15:00,220,3,1.43,228,15,0.58,36,9,1.31,228,15
20,020,  2024-04-29 08:00,  2024-04-29 16:00,243,5,1.42,228,15,0.57,36,9,1.3,228,15
21,021,  2024-04-29 09:00,  2024-04-29 17:00,240,6,1.41,228,15,0.57,36,9,1.3,228,15
22,022,  2024-04-29 10:00,  2024-04-29 18:00,220,7,1.4,228,15,0.56,36,9,1.29,228,15
23,023,  2024-04-29 11:00,  2024-04-29 19:00,207,6,1.4,228,15,0.56,36,9,1.29,228,15
24,024,  2024-04-29 12:00,  2024-04-29 20:00,203,6,1.39,228,15,0.57,36,9,1.28,228,15
25,025,  2024-04-29 13:00,  2024-04-29 21:00,181,4,1.39,228,15,0.57,36,9,1.28,228,15
26,026,  2024-04-29 14:00,  2024-04-29 22:00,146,3,1.39,228,15,0.58,36,9,1.27,228,15
27,027,  2024-04-29 15:00,  2024-04-29 23:00,150,3,1.38,228,15,0.59,36,9,1.26,228,15
28,028,  2024-04-29 16:00,  2024-04-30 00:00,159,5,1.38,228,15,0.6,36,9,1.25,228,15
29,029,  2024-04-29 17:00,  2024-04-30 01:00,179,6,1.37,228,15,0.62,36,9,1.24,228,15
30,030,  2024-04-29 18:00,  2024-04-30 02:00,179,7,1.37,228,15,0.63,36,9,1.23,228,15
31,031,  2024-04-29 19:00,  2024-04-30 03:00,175,6,1.37,228,14,0.66,36,9,1.22,228,15
32,032,  2024-04-29 20:00,  2024-04-30 04:00,162,5,1.37,228,14,0.68,36,9,1.2,228,15
33,033,  2024-04-29 21:00,  2024-04-30 05:00,152,6,1.37,228,14,0.7,36,9,1.19,228,15
34,034,  2024-04-29 22:00,  2024-04-30 06:00,114,7,1.37,228,14,0.71,36,9,1.18,228,14
35,035,  2024-04-29 23:00,  2024-04-30 07:00,106,9,1.36,228,14,0.72,36,9,1.17,228,14
36,036,  2024-04-30 00:00,  2024-04-30 08:00,106,8,1.36,228,14,0.72,36,9,1.16,228,14
37,037,  2024-04-30 01:00,  2024-04-30 09:00,104,8,1.35,228,14,0.72,36,9,1.15,228,14
38,038,  2024-04-30 02:00,  2024-04-30 10:00,93,10,1.34,228,14,0.72,36,9,1.14,228,14
39,039,  2024-04-30 03:00,  2024-04-30 11:00,82,11,1.33,228,14,0.72,36,9,1.13,228,14
40,040,  2024-04-30 04:00,  2024-04-30 12:00,75,12,1.34,228,14,0.76,36,9,1.12,228,14
41,041,  2024-04-30 05:00,  2024-04-30 13:00,71,12,1.35,228,14,0.79,36,9,1.11,228,14
42,042,  2024-04-30 06:00,  2024-04-30 14:00,59,13,1.36,228,14,0.83,36,9,1.1,228,14
43,043,  2024-04-30 07:00,  2024-04-30 15:00,53,14,1.4,228,14,0.89,36,9,1.09,228,14
44,044,  2024-04-30 08:00,  2024-04-30 16:00,48,13,1.42,216,14,0.95,36,9,1.08,228,14
45,045,  2024-04-30 09:00,  2024-04-30 17:00,39,12,1.44,216,14,0.98,36,9,1.07,216,14
46,046,  2024-04-30 10:00,  2024-04-30 18:00,31,11,1.44,216,13,0.99,36,9,1.06,216,14
47,047,  2024-04-30 11:00,  2024-04-30 19:00,25,11,1.44,216,13,1.01,36,9,1.05,216,14
48,048,  2024-04-30 12:00,  2024-04-30 20:00,17,11,1.44,216,13,1.02,36,9,1.04,216,14
49,049,  2024-04-30 13:00,  2024-04-30 21:00,13,10,1.44,216,13,1.03,36,9,1.03,216,14
50,050,  2024-04-30 14:00,  2024-04-30 22:00,8,9,1.44,216,13,1.04,36,6,1.02,216,14
51,051,  2024-04-30 15:00,  2024-04-30 23:00,11,7,1.43,216,13,1.04,36,6,1.01,216,14
52,052,  2024-04-30 16:00,  2024-05-01 00:00,21,3,1.42,216,13,1.03,36,6,1.0,216,14
53,053,  2024-04-30 17:00,  2024-05-01 01:00,93,3,1.4,216,13,1.01,36,6,0.99,216,14
54,054,  2024-04-30 18:00,  2024-05-01 02:00,86,5,1.38,216,13,0.99,36,6,0.98,216,14
55,055,  2024-04-30 19:00,  2024-05-01 03:00,83,6,1.36,216,13,0.97,36,6,0.97,216,14
56,056,  2024-04-30 20:00,  2024-05-01 04:00,87,8,1.34,216,13,0.95,48,6,0.96,216,14
57,057,  2024-04-30 21:00,  2024-05-01 05:00,89,11,1.32,216,13,0.93,48,6,0.95,216,14
58,058,  2024-04-30 22:00,  2024-05-01 06:00,88,13,1.32,216,13,0.95,48,6,0.94,216,14
59,059,  2024-04-30 23:00,  2024-05-01 07:00,89,14,1.35,216,13,0.99,48,9,0.93,216,14
60,060,  2024-05-01 00:00,  2024-05-01 08:00,90,15,1.38,216,13,1.05,48,9,0.92,216,14
61,061,  2024-05-01 01:00,  2024-05-01 09:00,89,16,1.42,216,13,1.11,48,9,0.91,216,14
62,062,  2024-05-01 02:00,  2024-05-01 10:00,78,18,1.49,216,13,1.21,48,8,0.9,216,14
63,063,  2024-05-01 03:00,  2024-05-01 11:00,71,18,1.57,216,13,1.32,48,4,0.89,216,12
64,064,  2024-05-01 04:00,  2024-05-01 12:00,67,17,1.63,216,13,1.39,48,5,0.88,216,12
65,065,  2024-05-01 05:00,  2024-05-01 13:00,63,15,1.65,216,13,1.41,48,5,0.87,216,12
66,066,  2024-05-01 06:00,  2024-05-01 14:00,55,14,1.63,216,13,1.4,48,6,0.86,216,12
67,067,  2024-05-01 07:00,  2024-05-01 15:00,38,13,1.59,216,13,1.36,48,6,0.85,216,12
68,068,  2024-05-01 08:00,  2024-05-01 16:00,26,13,1.55,216,13,1.32,48,6,0.84,216,12
69,069,  2024-05-01 09:00,  2024-05-01 17:00,19,11,1.51,216,13,1.27,48,6,0.83,216,12
70,070,  2024-05-01 10:00,  2024-05-01 18:00,13,10,1.47,216,12,1.23,48,7,0.82,216,12
71,071,  2024-05-01 11:00,  2024-05-01 19:00,14,7,1.44,216,12,1.21,48,7,0.82,216,12
72,072,  2024-05-01 12:00,  2024-05-01 20:00,18,4,1.44,216,12,1.2,48,7,0.82,216,12
73,073,  2024-05-01 13:00,  2024-05-01 21:00,39,4,1.44,48,12,1.21,48,8,0.83,216,12
74,074,  2024-05-01 14:00,  2024-05-01 22:00,37,5,1.45,48,12,1.21,48,8,0.83,216,12
75,075,  2024-05-01 15:00,  2024-05-01 23:00,66,2,1.43,48,8,1.2,48,8,0.83,216,12
76,076,  2024-05-01 16:00,  2024-05-02 00:00,155,4,1.4,48,8,1.17,48,8,0.82,216,12
77,077,  2024-05-01 17:00,  2024-05-02 01:00,157,5,1.36,48,12,1.13,48,8,0.81,216,12
78,078,  2024-05-01 18:00,  2024-05-02 02:00,160,6,1.32,48,12,1.08,48,8,0.8,216,12
79,079,  2024-05-01 19:00,  2024-05-02 03:00,169,6,1.27,48,12,1.03,48,8,0.79,216,12
80,080,  2024-05-01 20:00,  2024-05-02 04:00,173,5,1.23,216,12,0.98,48,8,0.77,216,12
81,081,  2024-05-01 21:00,  2024-05-02 05:00,169,4,1.19,216,12,0.94,48,8,0.76,216,12
82,082,  2024-05-01 22:00,  2024-05-02 06:00,139,4,1.15,216,12,0.91,48,8,0.74,216,12
83,083,  2024-05-01 23:00,  2024-05-02 07:00,110,4,1.12,216,12,0.87,48,8,0.73,216,12
84,084,  2024-05-02 00:00,  2024-05-02 08:00,97,6,1.09,216,12,0.84,48,8,0.72,216,12
85,085,  2024-05-02 01:00,  2024-05-02 09:00,94,8,1.06,216,12,0.82,48,8,0.71,216,12
86,086,  2024-05-02 02:00,  2024-05-02 10:00,92,11,1.04,216,12,0.79,48,8,0.69,216,12
87,087,  2024-05-02 03:00,  2024-05-02 11:00,89,12,1.04,216,12,0.8,48,8,0.68,216,12
88,088,  2024-05-02 04:00,  2024-05-02 12:00,84,12,1.05,216,12,0.83,48,8,0.67,216,12
89,089,  2024-05-02 05:00,  2024-05-02 13:00,76,12,1.05,216,12,0.84,48,8,0.66,216,12
90,090,  2024-05-02 06:00,  2024-05-02 14:00,63,12,1.05,216,12,0.85,48,8,0.65,216,12
91,091,  2024-05-02 07:00,  2024-05-02 15:00,55,11,1.06,216,12,0.85,48,8,0.64,216,12
92,092,  2024-05-02 08:00,  2024-05-02 16:00,51,10,1.05,216,12,0.85,48,9,0.64,216,12
93,093,  2024-05-02 09:00,  2024-05-02 17:00,48,8,1.05,216,12,0.85,48,9,0.63,216,12
94,094,  2024-05-02 10:00,  2024-05-02 18:00,41,8,1.05,216,12,0.86,48,6,0.62,216,12
95,095,  2024-05-02 11:00,  2024-05-02 19:00,30,7,1.06,216,12,0.88,48,6,0.62,216,11
96,096,  2024-05-02 12:00,  2024-05-02 20:00,18,7,1.08,216,12,0.9,48,6,0.62,216,11
97,097,  2024-05-02 13:00,  2024-05-02 21:00,23,5,1.1,216,12,0.93,48,6,0.61,216,11
98,098,  2024-05-02 14:00,  2024-05-02 22:00,45,3,1.11,216,12,0.94,48,6,0.61,216,11
