,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s],sw2_ht[m],sw2_dir[degree],sw2_pd[s],sw3_ht[m],sw3_dir[degree],sw3_pd[s]
0,000,  2024-04-25 12:00,  2024-04-25 20:00,56,9,0.68,60,5,0.63,60,5,0.19,300,13,0.18,300,14,0.09,300,17
1,001,  2024-04-25 13:00,  2024-04-25 21:00,45,9,0.64,60,5,0.59,60,5,0.19,300,13,0.18,300,14,0.09,300,17
2,002,  2024-04-25 14:00,  2024-04-25 22:00,37,8,0.6,60,5,0.55,60,5,0.19,300,13,0.18,300,14,0.09,300,17
3,003,  2024-04-25 15:00,  2024-04-25 23:00,37,6,0.57,60,5,0.52,60,5,0.18,300,13,0.18,300,14,0.09,300,17
4,004,  2024-04-25 16:00,  2024-04-26 00:00,54,5,0.54,60,5,0.48,60,5,0.18,300,13,0.18,300,14,0.09,300,17
5,005,  2024-04-25 17:00,  2024-04-26 01:00,80,6,0.51,60,5,0.46,60,5,0.18,300,13,0.18,300,14,0.09,300,17
6,006,  2024-04-25 18:00,  2024-04-26 02:00,88,6,0.49,300,14,0.43,60,5,0.18,300,13,0.18,300,14,0.09,300,17
7,007,  2024-04-25 19:00,  2024-04-26 03:00,108,7,0.47,300,14,0.41,60,5,0.17,300,13,0.17,300,14,0.09,300,17
8,008,  2024-04-25 20:00,  2024-04-26 04:00,122,8,0.45,300,14,0.39,60,5,0.17,300,13,0.17,300,14,0.09,300,17
9,009,  2024-04-25 21:00,  2024-04-26 05:00,124,8,0.43,300,14,0.37,60,5,0.17,300,13,0.17,300,14,0.09,300,17
10,010,  2024-04-25 22:00,  2024-04-26 06:00,126,9,0.42,300,14,0.35,60,5,0.17,300,13,0.17,300,14,0.09,300,17
11,011,  2024-04-25 23:00,  2024-04-26 07:00,122,10,0.4,300,14,0.33,60,5,0.17,300,13,0.17,300,14,0.09,300,17
