,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s]
0,000,  2024-04-25 12:00,  2024-04-25 20:00,76,10,1.08,240,5,0.97,96,5,0.47,240,12
1,001,  2024-04-25 13:00,  2024-04-25 21:00,72,9,1.05,240,5,0.94,96,5,0.46,240,12
2,002,  2024-04-25 14:00,  2024-04-25 22:00,68,9,1.02,240,5,0.91,96,5,0.46,240,12
3,003,  2024-04-25 15:00,  2024-04-25 23:00,61,8,0.98,240,5,0.88,96,5,0.45,240,12
4,004,  2024-04-25 16:00,  2024-04-26 00:00,55,7,0.95,240,5,0.84,96,5,0.45,240,12
5,005,  2024-04-25 17:00,  2024-04-26 01:00,33,5,0.91,240,12,0.8,96,5,0.44,240,12
6,006,  2024-04-25 18:00,  2024-04-26 02:00,31,4,0.87,240,12,0.75,96,5,0.43,240,12
7,007,  2024-04-25 19:00,  2024-04-26 03:00,78,5,0.83,240,12,0.72,96,5,0.43,240,12
8,008,  2024-04-25 20:00,  2024-04-26 04:00,85,4,0.8,240,12,0.68,84,5,0.42,240,12
9,009,  2024-04-25 21:00,  2024-04-26 05:00,102,4,0.77,240,12,0.65,96,5,0.42,240,12
10,010,  2024-04-25 22:00,  2024-04-26 06:00,121,5,0.74,240,12,0.62,84,5,0.41,240,12
11,011,  2024-04-25 23:00,  2024-04-26 07:00,125,7,0.71,240,12,0.59,84,5,0.41,240,12
12,012,  2024-04-26 00:00,  2024-04-26 08:00,126,8,0.69,240,12,0.57,84,5,0.4,240,12
13,013,  2024-04-26 01:00,  2024-04-26 09:00,119,8,0.67,240,12,0.54,84,5,0.4,240,12
14,014,  2024-04-26 02:00,  2024-04-26 10:00,111,8,0.65,240,12,0.53,84,5,0.39,240,12
15,015,  2024-04-26 03:00,  2024-04-26 11:00,106,9,0.64,240,12,0.51,84,5,0.39,240,12
16,016,  2024-04-26 04:00,  2024-04-26 12:00,100,9,0.63,240,12,0.5,228,5,0.38,240,12
17,017,  2024-04-26 05:00,  2024-04-26 13:00,98,9,0.63,240,12,0.5,228,5,0.38,240,12
