,name,time,field,value
0,Woodside - North Rankin 7 days,2024-04-03 12:00:00,total_ht,1.38
1,Woodside - North Rankin 7 days,2024-04-03 15:00:00,total_ht,1.16
2,Woodside - North Rankin 7 days,2024-04-03 18:00:00,total_ht,1.01
3,Woodside - North Rankin 7 days,2024-04-03 21:00:00,total_ht,1.25
4,Woodside - North Rankin 7 days,2024-04-04 00:00:00,total_ht,2.0
5,Woodside - North Rankin 7 days,2024-04-04 03:00:00,total_ht,2.5
6,Woodside - North Rankin 7 days,2024-04-04 06:00:00,total_ht,2.42
7,Woodside - North Rankin 7 days,2024-04-04 09:00:00,total_ht,2.05
8,Woodside - North Rankin 7 days,2024-04-04 12:00:00,total_ht,1.73
9,Woodside - North Rankin 7 days,2024-04-04 15:00:00,total_ht,1.48
10,Woodside - North Rankin 7 days,2024-04-04 18:00:00,total_ht,1.23
11,Woodside - North Rankin 7 days,2024-04-04 21:00:00,total_ht,1.15
12,Woodside - North Rankin 7 days,2024-04-05 00:00:00,total_ht,1.39
13,Woodside - North Rankin 7 days,2024-04-05 03:00:00,total_ht,1.66
14,Woodside - North Rankin 7 days,2024-04-05 06:00:00,total_ht,1.67
15,Woodside - North Rankin 7 days,2024-04-05 09:00:00,total_ht,1.65
16,Woodside - North Rankin 7 days,2024-04-05 12:00:00,total_ht,1.53
17,Woodside - North Rankin 7 days,2024-04-05 15:00:00,total_ht,1.4
18,Woodside - North Rankin 7 days,2024-04-05 18:00:00,total_ht,1.27
19,Woodside - North Rankin 7 days,2024-04-05 21:00:00,total_ht,1.21
20,Woodside - North Rankin 7 days,2024-04-06 00:00:00,total_ht,1.25
21,Woodside - North Rankin 7 days,2024-04-06 03:00:00,total_ht,1.3
22,Woodside - North Rankin 7 days,2024-04-06 06:00:00,total_ht,1.27
23,Woodside - North Rankin 7 days,2024-04-06 09:00:00,total_ht,1.2
24,Woodside - North Rankin 7 days,2024-04-06 12:00:00,total_ht,1.09
25,Woodside - North Rankin 7 days,2024-04-06 15:00:00,total_ht,1.01
26,Woodside - North Rankin 7 days,2024-04-06 18:00:00,total_ht,1.0
27,Woodside - North Rankin 7 days,2024-04-06 21:00:00,total_ht,0.99
28,Woodside - North Rankin 7 days,2024-04-07 00:00:00,total_ht,0.97
29,Woodside - North Rankin 7 days,2024-04-07 03:00:00,total_ht,1.0
30,Woodside - North Rankin 7 days,2024-04-07 06:00:00,total_ht,1.0
31,Woodside - North Rankin 7 days,2024-04-07 09:00:00,total_ht,1.03
32,Woodside - North Rankin 7 days,2024-04-07 12:00:00,total_ht,1.02
33,Woodside - North Rankin 7 days,2024-04-07 15:00:00,total_ht,0.99
34,Woodside - North Rankin 7 days,2024-04-07 18:00:00,total_ht,0.96
35,Woodside - North Rankin 7 days,2024-04-07 21:00:00,total_ht,0.95
36,Woodside - North Rankin 7 days,2024-04-08 00:00:00,total_ht,0.96
37,Woodside - North Rankin 7 days,2024-04-08 03:00:00,total_ht,1.05
38,Woodside - North Rankin 7 days,2024-04-08 06:00:00,total_ht,1.19
39,Woodside - North Rankin 7 days,2024-04-08 09:00:00,total_ht,1.23
40,Woodside - North Rankin 7 days,2024-04-08 12:00:00,total_ht,1.21
41,Woodside - North Rankin 7 days,2024-04-08 15:00:00,total_ht,1.2
42,Woodside - North Rankin 7 days,2024-04-08 18:00:00,total_ht,1.24
43,Woodside - North Rankin 7 days,2024-04-08 21:00:00,total_ht,1.31
44,Woodside - North Rankin 7 days,2024-04-09 00:00:00,total_ht,1.45
45,Woodside - North Rankin 7 days,2024-04-09 03:00:00,total_ht,1.72
46,Woodside - North Rankin 7 days,2024-04-09 06:00:00,total_ht,1.95
