,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s]
0,000,  2024-04-25 12:00,  2024-04-25 20:00,61,9,1.11,228,12,0.94,84,5,0.6,228,12
1,001,  2024-04-25 13:00,  2024-04-25 21:00,55,9,1.1,228,12,0.93,84,5,0.6,228,12
2,002,  2024-04-25 14:00,  2024-04-25 22:00,47,8,1.08,228,12,0.91,84,5,0.59,228,12
3,003,  2024-04-25 15:00,  2024-04-25 23:00,40,8,1.05,228,12,0.88,84,5,0.58,228,12
4,004,  2024-04-25 16:00,  2024-04-26 00:00,36,8,1.02,228,12,0.86,84,5,0.57,228,12
5,005,  2024-04-25 17:00,  2024-04-26 01:00,29,7,1.0,228,12,0.83,84,5,0.56,228,12
6,006,  2024-04-25 18:00,  2024-04-26 02:00,15,6,0.97,228,12,0.8,84,5,0.55,228,12
7,007,  2024-04-25 19:00,  2024-04-26 03:00,2,5,0.93,228,12,0.76,84,5,0.54,228,12
8,008,  2024-04-25 20:00,  2024-04-26 04:00,69,5,0.9,228,12,0.73,84,5,0.54,228,12
9,009,  2024-04-25 21:00,  2024-04-26 05:00,91,6,0.88,228,12,0.71,84,5,0.53,228,12
10,010,  2024-04-25 22:00,  2024-04-26 06:00,108,5,0.85,228,12,0.68,84,5,0.52,228,12
11,011,  2024-04-25 23:00,  2024-04-26 07:00,121,7,0.83,228,12,0.65,84,5,0.52,228,12
12,012,  2024-04-26 00:00,  2024-04-26 08:00,123,7,0.81,228,12,0.63,84,5,0.51,228,12
13,013,  2024-04-26 01:00,  2024-04-26 09:00,117,8,0.79,228,12,0.61,84,5,0.51,228,12
14,014,  2024-04-26 02:00,  2024-04-26 10:00,114,9,0.77,228,12,0.59,84,5,0.5,228,12
15,015,  2024-04-26 03:00,  2024-04-26 11:00,113,10,0.76,228,12,0.58,228,5,0.5,228,12
16,016,  2024-04-26 04:00,  2024-04-26 12:00,109,10,0.76,228,12,0.58,228,5,0.5,228,12
17,017,  2024-04-26 05:00,  2024-04-26 13:00,100,9,0.75,228,12,0.57,228,5,0.49,228,12
18,018,  2024-04-26 06:00,  2024-04-26 14:00,91,9,0.75,228,12,0.57,228,5,0.49,228,12
19,019,  2024-04-26 07:00,  2024-04-26 15:00,84,9,0.75,228,12,0.57,228,5,0.49,228,12
20,020,  2024-04-26 08:00,  2024-04-26 16:00,74,9,0.75,228,12,0.58,228,9,0.49,228,12
21,021,  2024-04-26 09:00,  2024-04-26 17:00,66,9,0.76,228,12,0.59,228,5,0.48,228,12
22,022,  2024-04-26 10:00,  2024-04-26 18:00,56,9,0.77,228,12,0.61,228,5,0.48,228,12
23,023,  2024-04-26 11:00,  2024-04-26 19:00,49,9,0.79,228,12,0.63,228,5,0.48,228,12
24,024,  2024-04-26 12:00,  2024-04-26 20:00,40,9,0.8,228,12,0.64,228,5,0.48,228,12
25,025,  2024-04-26 13:00,  2024-04-26 21:00,34,8,0.81,228,12,0.66,228,5,0.48,228,12
26,026,  2024-04-26 14:00,  2024-04-26 22:00,24,7,0.82,228,12,0.67,96,5,0.48,228,12
27,027,  2024-04-26 15:00,  2024-04-26 23:00,15,6,0.83,228,12,0.68,96,5,0.48,228,12
28,028,  2024-04-26 16:00,  2024-04-27 00:00,3,5,0.83,228,12,0.68,96,5,0.48,228,12
29,029,  2024-04-26 17:00,  2024-04-27 01:00,348,5,0.83,228,12,0.68,96,5,0.49,228,12
30,030,  2024-04-26 18:00,  2024-04-27 02:00,328,4,0.83,228,12,0.68,96,5,0.49,228,12
31,031,  2024-04-26 19:00,  2024-04-27 03:00,300,3,0.82,228,12,0.66,84,5,0.49,228,12
32,032,  2024-04-26 20:00,  2024-04-27 04:00,265,3,0.81,228,13,0.65,84,5,0.49,228,12
33,033,  2024-04-26 21:00,  2024-04-27 05:00,237,4,0.8,228,13,0.64,84,5,0.49,228,12
34,034,  2024-04-26 22:00,  2024-04-27 06:00,224,5,0.79,228,13,0.62,84,6,0.49,228,12
35,035,  2024-04-26 23:00,  2024-04-27 07:00,182,6,0.77,228,13,0.6,84,6,0.49,228,12
36,036,  2024-04-27 00:00,  2024-04-27 08:00,142,8,0.76,240,16,0.59,84,6,0.49,240,17
37,037,  2024-04-27 01:00,  2024-04-27 09:00,129,9,0.75,240,15,0.57,84,6,0.49,240,15
