,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s]
0,000,  2024-04-23 12:00,  2024-04-23 20:00,89,11,2.66,216,15,1.35,204,9,2.32,216,15
1,001,  2024-04-23 13:00,  2024-04-23 21:00,77,9,2.67,216,14,1.32,204,9,2.35,216,15
2,002,  2024-04-23 14:00,  2024-04-23 22:00,72,8,2.67,216,14,1.29,204,9,2.37,216,15
3,003,  2024-04-23 15:00,  2024-04-23 23:00,72,8,2.67,216,14,1.26,204,9,2.38,216,14
4,004,  2024-04-23 16:00,  2024-04-24 00:00,91,6,2.66,216,14,1.23,204,9,2.38,216,14
5,005,  2024-04-23 17:00,  2024-04-24 01:00,104,8,2.65,216,14,1.22,204,9,2.38,216,14
6,006,  2024-04-23 18:00,  2024-04-24 02:00,105,9,2.63,216,13,1.2,204,9,2.37,216,14
7,007,  2024-04-23 19:00,  2024-04-24 03:00,102,9,2.61,216,13,1.19,204,9,2.34,216,14
8,008,  2024-04-23 20:00,  2024-04-24 04:00,97,10,2.58,216,13,1.19,204,9,2.32,216,14
9,009,  2024-04-23 21:00,  2024-04-24 05:00,103,9,2.56,216,13,1.18,204,9,2.29,216,14
10,010,  2024-04-23 22:00,  2024-04-24 06:00,110,9,2.53,216,13,1.18,204,9,2.26,216,14
11,011,  2024-04-23 23:00,  2024-04-24 07:00,106,10,2.5,216,13,1.18,192,9,2.23,216,14
12,012,  2024-04-24 00:00,  2024-04-24 08:00,100,11,2.47,204,13,1.19,192,9,2.19,216,14
13,013,  2024-04-24 01:00,  2024-04-24 09:00,98,12,2.44,204,13,1.2,192,9,2.15,216,14
14,014,  2024-04-24 02:00,  2024-04-24 10:00,97,12,2.41,204,13,1.22,192,9,2.11,216,14
15,015,  2024-04-24 03:00,  2024-04-24 11:00,96,12,2.38,204,13,1.23,192,9,2.06,216,14
16,016,  2024-04-24 04:00,  2024-04-24 12:00,98,13,2.34,204,13,1.25,192,9,2.01,216,14
17,017,  2024-04-24 05:00,  2024-04-24 13:00,97,12,2.31,204,13,1.26,192,9,1.96,216,14
18,018,  2024-04-24 06:00,  2024-04-24 14:00,96,12,2.27,204,13,1.26,192,9,1.91,216,14
19,019,  2024-04-24 07:00,  2024-04-24 15:00,98,11,2.22,204,13,1.25,192,9,1.86,216,14
20,020,  2024-04-24 08:00,  2024-04-24 16:00,101,11,2.18,204,13,1.24,192,9,1.81,216,14
21,021,  2024-04-24 09:00,  2024-04-24 17:00,102,11,2.13,204,13,1.23,192,9,1.77,216,14
22,022,  2024-04-24 10:00,  2024-04-24 18:00,103,11,2.09,204,13,1.22,192,9,1.72,216,14
23,023,  2024-04-24 11:00,  2024-04-24 19:00,101,11,2.05,204,13,1.21,192,9,1.68,216,14
24,024,  2024-04-24 12:00,  2024-04-24 20:00,94,11,2.01,204,13,1.2,192,9,1.64,216,14
25,025,  2024-04-24 13:00,  2024-04-24 21:00,83,11,1.98,204,13,1.19,192,9,1.6,216,14
26,026,  2024-04-24 14:00,  2024-04-24 22:00,74,10,1.94,204,13,1.18,204,9,1.56,216,14
27,027,  2024-04-24 15:00,  2024-04-24 23:00,63,10,1.91,204,13,1.16,204,9,1.53,216,14
28,028,  2024-04-24 16:00,  2024-04-25 00:00,54,9,1.88,204,13,1.14,204,9,1.5,216,14
29,029,  2024-04-24 17:00,  2024-04-25 01:00,48,8,1.85,204,13,1.13,204,9,1.48,216,12
