,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s]
0,000,  2024-04-25 12:00,  2024-04-25 20:00,14,10,1.22,216,12,0.71,204,9,1.01,216,12
1,001,  2024-04-25 13:00,  2024-04-25 21:00,7,9,1.2,216,12,0.7,204,9,0.99,216,12
2,002,  2024-04-25 14:00,  2024-04-25 22:00,10,7,1.19,216,12,0.7,204,9,0.98,216,12
3,003,  2024-04-25 15:00,  2024-04-25 23:00,15,3,1.18,216,12,0.7,204,9,0.97,216,12
4,004,  2024-04-25 16:00,  2024-04-26 00:00,209,0,1.17,216,12,0.69,204,9,0.96,216,12
5,005,  2024-04-25 17:00,  2024-04-26 01:00,199,1,1.16,216,12,0.69,204,9,0.95,216,12
6,006,  2024-04-25 18:00,  2024-04-26 02:00,164,2,1.16,216,12,0.69,204,9,0.95,216,11
7,007,  2024-04-25 19:00,  2024-04-26 03:00,139,3,1.15,216,12,0.68,204,9,0.94,216,11
8,008,  2024-04-25 20:00,  2024-04-26 04:00,120,3,1.14,216,12,0.68,204,9,0.94,216,11
9,009,  2024-04-25 21:00,  2024-04-26 05:00,108,3,1.14,216,12,0.68,204,9,0.93,216,11
10,010,  2024-04-25 22:00,  2024-04-26 06:00,102,3,1.13,216,12,0.67,204,9,0.93,216,11
11,011,  2024-04-25 23:00,  2024-04-26 07:00,95,5,1.13,216,12,0.67,204,9,0.92,216,11
12,012,  2024-04-26 00:00,  2024-04-26 08:00,94,7,1.12,216,12,0.67,204,9,0.92,216,11
13,013,  2024-04-26 01:00,  2024-04-26 09:00,93,7,1.12,216,12,0.67,204,9,0.91,216,11
14,014,  2024-04-26 02:00,  2024-04-26 10:00,87,7,1.12,216,12,0.67,204,9,0.91,216,11
15,015,  2024-04-26 03:00,  2024-04-26 11:00,83,7,1.12,216,12,0.67,204,9,0.91,216,11
16,016,  2024-04-26 04:00,  2024-04-26 12:00,80,7,1.11,216,12,0.67,204,9,0.9,216,12
17,017,  2024-04-26 05:00,  2024-04-26 13:00,74,7,1.11,216,12,0.67,204,9,0.9,216,12
18,018,  2024-04-26 06:00,  2024-04-26 14:00,61,5,1.11,216,12,0.67,204,9,0.9,216,12
19,019,  2024-04-26 07:00,  2024-04-26 15:00,38,5,1.11,216,12,0.67,204,9,0.9,216,12
20,020,  2024-04-26 08:00,  2024-04-26 16:00,20,5,1.11,216,13,0.66,204,9,0.9,216,12
21,021,  2024-04-26 09:00,  2024-04-26 17:00,3,5,1.11,216,13,0.66,204,9,0.91,216,12
22,022,  2024-04-26 10:00,  2024-04-26 18:00,352,5,1.11,216,13,0.66,204,9,0.91,216,12
23,023,  2024-04-26 11:00,  2024-04-26 19:00,339,5,1.11,216,13,0.65,204,9,0.92,216,12
24,024,  2024-04-26 12:00,  2024-04-26 20:00,335,4,1.12,216,13,0.65,204,9,0.92,216,12
25,025,  2024-04-26 13:00,  2024-04-26 21:00,333,2,1.12,216,13,0.65,204,9,0.93,216,12
26,026,  2024-04-26 14:00,  2024-04-26 22:00,314,2,1.12,216,16,0.64,204,9,0.93,216,17
27,027,  2024-04-26 15:00,  2024-04-26 23:00,310,3,1.12,216,16,0.63,204,9,0.93,216,17
28,028,  2024-04-26 16:00,  2024-04-27 00:00,289,3,1.11,216,16,0.62,204,9,0.94,216,17
29,029,  2024-04-26 17:00,  2024-04-27 01:00,264,2,1.11,216,16,0.61,204,9,0.94,216,17
30,030,  2024-04-26 18:00,  2024-04-27 02:00,234,2,1.1,216,16,0.6,204,9,0.94,216,17
31,031,  2024-04-26 19:00,  2024-04-27 03:00,203,2,1.09,216,16,0.59,204,9,0.94,216,15
32,032,  2024-04-26 20:00,  2024-04-27 04:00,175,3,1.09,216,15,0.58,204,9,0.94,216,15
33,033,  2024-04-26 21:00,  2024-04-27 05:00,168,4,1.09,216,15,0.57,204,9,0.94,216,15
34,034,  2024-04-26 22:00,  2024-04-27 06:00,155,5,1.08,216,15,0.56,204,9,0.94,216,15
35,035,  2024-04-26 23:00,  2024-04-27 07:00,144,5,1.08,216,15,0.55,204,9,0.94,216,15
36,036,  2024-04-27 00:00,  2024-04-27 08:00,128,5,1.08,216,15,0.54,204,9,0.95,216,15
37,037,  2024-04-27 01:00,  2024-04-27 09:00,123,5,1.08,216,15,0.53,204,9,0.95,216,15
38,038,  2024-04-27 02:00,  2024-04-27 10:00,117,6,1.08,216,15,0.52,204,9,0.96,216,15
39,039,  2024-04-27 03:00,  2024-04-27 11:00,111,6,1.09,216,15,0.51,204,9,0.97,216,15
40,040,  2024-04-27 04:00,  2024-04-27 12:00,97,7,1.09,216,15,0.51,204,9,0.97,216,15
41,041,  2024-04-27 05:00,  2024-04-27 13:00,86,6,1.09,216,15,0.5,204,9,0.98,216,15
42,042,  2024-04-27 06:00,  2024-04-27 14:00,62,6,1.1,216,15,0.49,204,9,0.99,216,15
43,043,  2024-04-27 07:00,  2024-04-27 15:00,47,6,1.1,216,15,0.49,204,9,1.0,216,15
44,044,  2024-04-27 08:00,  2024-04-27 16:00,36,6,1.11,216,15,0.48,204,9,1.01,216,15
45,045,  2024-04-27 09:00,  2024-04-27 17:00,24,4,1.12,216,15,0.48,204,9,1.02,216,15
46,046,  2024-04-27 10:00,  2024-04-27 18:00,6,3,1.13,216,15,0.48,204,9,1.02,216,15
47,047,  2024-04-27 11:00,  2024-04-27 19:00,325,2,1.14,216,15,0.49,204,9,1.03,216,15
48,048,  2024-04-27 12:00,  2024-04-27 20:00,303,3,1.15,216,14,0.5,204,9,1.04,216,15
49,049,  2024-04-27 13:00,  2024-04-27 21:00,291,4,1.17,216,14,0.51,204,9,1.06,216,14
50,050,  2024-04-27 14:00,  2024-04-27 22:00,277,3,1.18,216,14,0.52,204,9,1.07,216,14
51,051,  2024-04-27 15:00,  2024-04-27 23:00,244,2,1.2,216,14,0.53,204,9,1.09,216,14
52,052,  2024-04-27 16:00,  2024-04-28 00:00,229,3,1.22,216,20,0.54,204,9,1.1,216,20
53,053,  2024-04-27 17:00,  2024-04-28 01:00,225,4,1.24,216,20,0.55,204,9,1.12,216,20
54,054,  2024-04-27 18:00,  2024-04-28 02:00,229,4,1.26,216,20,0.55,204,9,1.14,216,20
55,055,  2024-04-27 19:00,  2024-04-28 03:00,216,4,1.27,216,20,0.56,204,9,1.15,228,20
56,056,  2024-04-27 20:00,  2024-04-28 04:00,200,4,1.29,216,20,0.56,204,9,1.17,228,20
57,057,  2024-04-27 21:00,  2024-04-28 05:00,176,4,1.3,216,20,0.55,204,9,1.19,228,20
58,058,  2024-04-27 22:00,  2024-04-28 06:00,159,6,1.32,228,20,0.55,204,9,1.21,228,20
59,059,  2024-04-27 23:00,  2024-04-28 07:00,146,9,1.33,228,20,0.55,204,9,1.22,228,20
60,060,  2024-04-28 00:00,  2024-04-28 08:00,141,11,1.35,228,19,0.54,204,9,1.24,228,20
61,061,  2024-04-28 01:00,  2024-04-28 09:00,139,12,1.37,228,19,0.54,204,9,1.26,216,18
62,062,  2024-04-28 02:00,  2024-04-28 10:00,132,11,1.39,228,18,0.53,204,9,1.29,216,18
63,063,  2024-04-28 03:00,  2024-04-28 11:00,133,10,1.41,228,18,0.53,204,9,1.32,216,18
64,064,  2024-04-28 04:00,  2024-04-28 12:00,143,8,1.44,228,18,0.53,204,9,1.34,216,18
65,065,  2024-04-28 05:00,  2024-04-28 13:00,135,5,1.46,228,18,0.53,204,9,1.37,216,18
66,066,  2024-04-28 06:00,  2024-04-28 14:00,118,3,1.48,228,18,0.53,204,9,1.39,228,18
67,067,  2024-04-28 07:00,  2024-04-28 15:00,152,2,1.49,228,18,0.52,204,9,1.4,228,18
68,068,  2024-04-28 08:00,  2024-04-28 16:00,192,2,1.5,228,18,0.52,204,9,1.42,228,18
69,069,  2024-04-28 09:00,  2024-04-28 17:00,206,3,1.51,228,18,0.51,204,9,1.42,228,18
70,070,  2024-04-28 10:00,  2024-04-28 18:00,202,4,1.51,228,18,0.51,204,9,1.43,228,18
71,071,  2024-04-28 11:00,  2024-04-28 19:00,202,5,1.52,228,18,0.51,204,9,1.43,228,18
